date,open,high,low,close,volume
2026-02-09,4.15,4.24,3.9475,4.18,4695090.0
2026-02-10,4.16,4.24,4.03,4.1,3642909.0
2026-02-11,4.165,4.21,3.92,4.15,4124650.0
2026-02-12,4.09,4.13,3.75,3.78,4686158.0
2026-02-13,3.78,3.9799,3.75,3.8,3224785.0
2026-02-17,3.765,3.765,3.58,3.66,3355796.0
2026-02-18,3.71,3.81,3.56,3.66,3108039.0
2026-02-19,3.6,3.7,3.53,3.7,2272192.0
2026-02-20,3.67,3.69,3.51,3.55,3183293.0
2026-02-23,3.52,3.625,3.47,3.57,2798707.178026
2026-02-24,3.51,3.68,3.45,3.66,2971312.485536
2026-02-25,3.76,3.85,3.7,3.76,3649544.152209
2026-02-26,3.685,3.86,3.61,3.84,3089390.733064
2026-02-27,3.74,3.79,3.62,3.69,2788669.781662
2026-03-02,3.54,3.8,3.5,3.73,2431848.462108
2026-03-03,3.53,3.62,3.44,3.5,3023986.365898
2026-03-04,3.545,3.605,3.475,3.51,2184872.199843
2026-03-05,3.5,3.5,3.28,3.4,3845768.52774
2026-03-06,3.28,3.5,3.2707,3.37,2848025.515824
2026-03-09,3.25,3.4,3.1607,3.34,3277859.731341
2026-03-10,3.36,3.665,3.35,3.57,3718811.024682
2026-03-11,3.51,3.655,3.45,3.5,4796476.788642
2026-03-12,3.412,3.445,3.285,3.42,4255825.943339
2026-03-13,3.46,3.54,3.2801,3.32,4901507.9268
2026-03-16,3.36,3.43,3.21,3.26,3314786.262245
2026-03-17,3.25,3.365,3.19,3.27,3571910.717449
2026-03-18,3.2,3.26,3.05,3.08,5617653.380169
2026-03-19,3.0,3.115,2.9,3.03,3981327.575397
2026-03-20,3.03,3.055,2.83,2.9,5093490.858911
2026-03-23,2.95,2.99,2.84,2.9,3191944.738849
2026-03-24,2.85,2.91,2.771,2.86,2153584.187529
2026-03-25,2.91,3.0,2.82,2.86,2359463.036126
2026-03-26,2.77,2.81,2.7,2.73,2052574.078031
2026-03-27,2.7,2.745,2.64,2.66,2469927.599076
2026-03-30,2.68,2.68,2.47,2.51,3592859.525359
2026-03-31,2.54,2.85,2.54,2.79,4931022.532716
2026-04-01,2.87,2.88,2.7,2.72,3714731.43649
2026-04-02,2.6,2.8,2.59,2.78,2202889.413451
2026-04-06,2.77,2.86,2.725,2.8,2157827.667977
2026-04-07,2.75,2.77,2.63,2.74,1881745.853272
2026-04-08,2.93,3.02,2.795,2.87,2100121.244962
2026-04-09,2.83,2.88,2.785,2.85,1433491.854411
2026-04-10,2.87,3.035,2.825,2.85,4183901.996553
2026-04-13,2.8,2.99,2.74,2.94,4386868.457075
2026-04-14,3.02,3.06,2.9516,3.03,2665266.967624
2026-04-15,3.06,3.235,3.06,3.2,4294069.332125
2026-04-16,3.25,3.27,3.15,3.21,3256332.840558
2026-04-17,3.31,3.55,3.26,3.4,5305162.560299
2026-04-20,3.29,3.495,3.25,3.47,4842592.58732
2026-04-21,3.49,3.49,3.27,3.31,4636339.284215
2026-04-22,3.35,3.6,3.35,3.59,4306131.921
2026-04-23,3.56,3.64,3.23,3.315,4744072.314494
2026-04-24,3.35,3.386,3.2225,3.28,2190945.678923
2026-04-27,3.25,3.43,3.2201,3.31,4156482.365991
2026-04-28,3.32,3.37,3.16,3.31,7280765.342226
2026-04-29,3.33,3.33,3.06,3.08,4847294.826145
2026-04-30,3.13,3.4,3.13,3.38,4014511.934619
2026-05-01,3.35,3.3692,3.2,3.27,3428335.429
2026-05-04,3.3,3.46,3.18,3.22,5000667.886657
2026-05-05,3.26,3.3,3.13,3.21,3300994.671298
2026-05-06,3.23,3.43,3.15,3.415,5191857.398005
2026-05-07,3.43,3.43,3.0793,3.09,5282819.662274
2026-05-08,3.09,3.21,3.065,3.17,6502088.896864
2026-05-11,3.2,3.4,3.08,3.32,7124065.931474
2026-05-12,3.3,3.3981,3.15,3.25,5090529.305366
2026-05-13,3.23,3.7199,3.2,3.55,8962413.461966
2026-05-14,3.52,3.522,3.26,3.42,4982780.211592
2026-05-15,3.3,3.3,3.1,3.13,4723014.885762
2026-05-18,3.11,3.14,2.8924,2.97,6319581.105949
2026-05-19,2.922,2.93,2.78,2.84,3978950.272907
2026-05-20,2.88,3.05,2.8,3.05,6420846.055531
2026-05-21,3.02,3.245,2.96,3.21,5294315.822002
2026-05-22,3.22,3.35,3.15,3.23,5328831.746319
2026-05-26,3.3,3.55,3.29,3.52,6947271.507867
2026-05-27,3.49,3.64,3.3901,3.58,7577973.910098
2026-05-28,3.53,4.0,3.49,3.79,9275261.407424
2026-05-29,3.73,3.7375,3.5,3.61,8651043.511215
2026-06-01,3.5,3.765,3.46,3.58,5992369.009079
2026-06-02,3.57,4.0,3.5211,3.94,7450243.945039
2026-06-03,3.85,3.85,3.605,3.62,6418697.464225
2026-06-04,3.58,3.79,3.52,3.71,4681317.845403
2026-06-05,3.59,3.6209,3.05,3.11,7028565.549295
