date,open,high,low,close,volume
2026-02-03,2.28,2.44,2.24,2.26,1298286.0
2026-02-04,2.28,2.39,2.22,2.32,1112617.0
2026-02-05,2.34,2.42,2.18,2.2,858069.0
2026-02-06,2.21,2.4,2.18,2.39,664411.0
2026-02-09,2.38,2.4087,2.225,2.39,727659.0
2026-02-10,2.4,2.52,2.34,2.38,805767.0
2026-02-11,2.38,2.46,2.26,2.38,1302225.0
2026-02-12,2.42,2.445,2.245,2.28,811815.0
2026-02-13,2.29,2.3699,2.2,2.24,689833.0
2026-02-17,2.27,2.38,2.165,2.34,1271967.0
2026-02-18,2.32,2.46,2.27,2.41,987728.0
2026-02-19,2.42,2.505,2.33,2.48,811878.0
2026-02-20,2.18,2.66,2.0223,2.61,2085372.0
2026-02-23,2.59,2.665,2.51,2.6,1183623.52191
2026-02-24,2.61,2.68,2.51,2.66,833402.336529
2026-02-25,2.64,2.71,2.535,2.6,723994.378393
2026-02-26,2.63,2.63,2.34,2.42,647814.736034
2026-02-27,2.4,2.435,2.31,2.42,924029.522526
2026-03-02,2.34,2.39,2.28,2.35,599605.211793
2026-03-03,2.29,2.44,2.175,2.4,961098.470433
2026-03-04,2.41,2.446,2.305,2.4,775029.053982
2026-03-05,2.38,2.44,2.285,2.38,769084.134675
2026-03-06,2.36,2.38,2.285,2.36,931023.190137
2026-03-09,2.31,2.375,2.185,2.37,834098.571813
2026-03-10,2.35,2.52,2.32,2.49,634143.631991
2026-03-11,2.45,2.455,2.335,2.44,799717.434529
2026-03-12,2.41,2.46,2.335,2.36,472199.033332
2026-03-13,2.38,2.405,2.32,2.38,631623.134314
2026-03-16,2.46,2.55,2.38,2.42,701105.017754
2026-03-17,2.42,2.509,2.2835,2.36,819090.529947
2026-03-18,2.34,2.34,2.24,2.27,793859.628843
2026-03-19,2.26,2.27,2.01,2.03,1392708.688371
2026-03-20,2.04,2.07,1.885,1.96,2231245.469721
2026-03-23,1.99,2.07,1.92,2.04,781540.44317
2026-03-24,2.01,2.075,1.97,2.01,730227.357159
2026-03-25,2.08,2.18,2.04,2.07,759056.52954
2026-03-26,2.07,2.14,2.055,2.1,633111.498861
2026-03-27,2.08,2.185,2.06,2.09,633650.060502
2026-03-30,2.12,2.185,2.0601,2.16,740799.827687
2026-03-31,2.24,2.38,2.18,2.28,1123845.183819
2026-04-01,2.28,2.561,2.28,2.48,758304.533569
2026-04-02,2.44,2.64,2.39,2.63,618130.289644
2026-04-06,2.61,2.73,2.51,2.69,729491.726043
2026-04-07,2.72,2.723,2.505,2.54,739536.409443
2026-04-08,2.64,2.67,2.52,2.57,882429.224494
2026-04-09,2.54,2.67,2.54,2.63,459292.84427
2026-04-10,2.63,2.82,2.62,2.81,537658.085506
2026-04-13,2.82,3.09,2.82,3.07,1001831.394168
2026-04-14,3.08,3.205,3.005,3.15,785666.115317
2026-04-15,3.12,3.265,3.12,3.15,687721.464392
2026-04-16,3.16,3.375,3.1501,3.33,719611.891896
2026-04-17,3.35,3.44,3.35,3.36,684327.369383
2026-04-20,3.47,3.99,3.36,3.52,1343134.820751
2026-04-21,3.49,3.7099,3.32,3.33,649479.746844
2026-04-22,3.34,3.535,3.31,3.46,599746.22377
2026-04-23,3.48,3.51,3.31,3.36,688401.242389
2026-04-24,3.35,3.4,3.18,3.3,545626.023257
2026-04-27,3.26,3.4698,3.257,3.42,577219.301711
2026-04-28,3.43,3.83,3.39,3.83,589894.457639
2026-04-29,3.82,3.91,3.4425,3.49,799626.174575
2026-04-30,3.44,3.76,3.31,3.71,718023.28537
2026-05-01,3.77,3.81,3.575,3.74,710409.297475
2026-05-04,3.73,3.935,3.67,3.71,664650.98491
2026-05-05,3.75,3.81,3.62,3.76,571751.390775
2026-05-06,3.82,3.84,3.665,3.69,634582.392324
2026-05-07,3.67,3.89,3.64,3.74,660228.843853
2026-05-08,3.72,3.8,3.58,3.58,877370.216665
2026-05-11,3.965,4.6887,3.38,3.89,2799829.671395
2026-05-12,3.83,3.96,2.89,3.2,2479510.244524
2026-05-13,3.2,3.345,3.005,3.15,1427788.930077
2026-05-14,3.1,3.26,3.0,3.04,827286.497725
2026-05-15,2.97,3.175,2.9,2.91,818638.996076
2026-05-18,2.92,2.94,2.73,2.74,1119643.512335
2026-05-19,2.7,2.985,2.7,2.8,904279.700189
2026-05-20,2.76,2.801,2.595,2.67,750857.833988
2026-05-21,2.66,2.755,2.58,2.71,551513.586255
2026-05-22,2.69,3.0,2.69,2.83,617400.668858
2026-05-26,2.82,3.13,2.75,2.76,908855.52327
2026-05-27,2.75,2.925,2.7,2.82,525518.1377
2026-05-28,2.8,2.985,2.78,2.89,638750.000702
2026-05-29,2.86,2.955,2.805,2.84,671027.264438
2026-06-01,2.79,2.891,2.74,2.77,681226.363655
