date,open,high,low,close,volume
2026-02-02,246.6,250.0,244.64,247.56,2024603.0
2026-02-03,244.145,244.29,234.81,235.08,4377706.0
2026-02-04,235.5,237.885,230.78,234.67,4159278.0
2026-02-05,236.575,238.88,232.41,233.99,2797785.0
2026-02-06,234.18,235.69,230.275,231.36,3223418.0
2026-02-09,231.36,231.36,224.93,226.62,3377009.0
2026-02-10,224.005,227.12,223.44,225.53,4475998.0
2026-02-11,225.53,226.075,216.65,217.57,4597528.0
2026-02-12,216.58,217.05,208.62,209.96,7879712.0
2026-02-13,210.67,213.355,209.05,212.11,3840667.0
2026-02-17,212.43,214.85,210.22,213.08,4965309.0
2026-02-18,212.84,217.83,211.62,217.21,3363299.0
2026-02-19,217.21,218.85,213.9,215.97,3597797.0
2026-02-20,215.36,216.18,212.76,214.47,2511656.0
2026-02-23,213.25,214.195,205.33,205.73,4293080.598312
2026-02-24,205.73,207.7775,203.26,205.68,5808244.994589
2026-02-25,206.11,214.34,205.25,214.25,5074668.192884
2026-02-26,214.78,221.73,214.78,218.36,3911021.732255
2026-02-27,214.91,215.8,208.92,214.36,4998950.691226
2026-03-02,212.59,216.25,210.72,214.97,4419506.967873
2026-03-03,214.62,217.55,213.5,216.27,3547516.185626
2026-03-04,216.835,218.36,214.62,217.16,4230461.218635
2026-03-05,217.49,223.445,217.245,222.7,4814099.698005
2026-03-06,220.85,226.5,219.29,226.24,3798924.029537
2026-03-09,224.57,225.49,220.38,223.04,4332333.435976
2026-03-10,221.96,222.41,212.5,217.37,3204877.940394
2026-03-11,217.88,219.7951,211.42,213.0,2605209.697683
2026-03-12,212.7,216.0,207.28,207.45,4174267.387585
2026-03-13,205.76,209.15,205.53,208.52,3135407.857089
2026-03-16,208.45,210.95,207.585,209.11,3394838.181236
2026-03-17,210.19,213.42,208.88,209.73,2702840.447063
2026-03-18,207.36,211.06,207.36,208.28,3243748.851386
2026-03-19,210.74,214.3,209.0,210.66,3286866.038142
2026-03-20,211.27,212.79,208.56,208.69,19084187.582819
2026-03-23,209.58,211.73,208.01,209.71,3822656.776486
2026-03-24,209.33,210.29,204.03,204.89,3100068.275467
2026-03-25,206.26,209.49,198.59,202.11,2854800.1823
2026-03-26,202.03,208.1914,201.9225,204.51,3123725.883064
2026-03-27,203.48,204.59,199.19,201.25,3569513.556822
2026-03-30,203.19,206.66,202.5,205.47,3647196.728922
2026-03-31,206.91,208.17,202.345,203.18,3444866.683169
2026-04-01,203.35,204.4399,197.08,201.28,3077767.33148
2026-04-02,201.25,204.3,199.16,204.01,2868342.936528
2026-04-06,203.49,205.35,202.02,204.34,1675467.98972
2026-04-07,203.89,205.44,202.83,203.61,2259580.620966
2026-04-08,204.51,206.536,199.38,200.78,2835498.799664
2026-04-09,199.775,199.8199,194.54,196.02,2996335.364247
2026-04-10,195.99,196.05,188.16,188.79,3202580.635284
2026-04-13,188.26,195.47,188.26,195.38,3142565.419582
2026-04-14,195.685,197.69,194.14,195.08,2409099.460284
2026-04-15,196.06,198.88,194.53,196.92,3781277.035436
2026-04-16,197.845,201.4,197.845,200.39,2725523.717929
2026-04-17,201.65,202.14,198.33,200.47,2894781.962525
2026-04-20,200.47,203.385,200.46,202.39,2061959.129462
2026-04-21,202.24,206.1,201.82,202.87,3041241.000945
2026-04-22,203.18,203.945,200.62,201.69,2038628.601961
2026-04-23,200.11,200.9,195.11,198.53,4208233.228295
2026-04-24,196.96,197.63,194.9,196.53,3414929.606715
2026-04-27,195.85,199.45,195.7,197.23,2638951.086985
2026-04-28,199.685,201.52,197.6,199.17,3644118.718786
2026-04-29,207.78,215.17,205.06,215.06,4441607.046426
2026-04-30,212.65,215.06,210.3,211.94,4253634.418422
2026-05-01,215.02,216.5499,209.12,214.21,2621759.449459
2026-05-04,213.12,216.1,210.63,211.32,2986897.758837
2026-05-05,210.03,211.23,206.74,210.6,2113945.534821
2026-05-06,208.41,209.21,205.7,207.2,2237657.063887
2026-05-07,206.05,215.09,206.05,214.09,3462763.772877
2026-05-08,212.69,213.56,208.6248,212.995,2804143.548263
2026-05-11,211.26,213.13,209.98,211.67,2260138.569114
2026-05-12,213.78,215.81,211.13,213.81,4018271.175217
2026-05-13,211.47,212.48,204.56,208.63,3251563.296355
2026-05-14,208.63,211.235,207.07,208.37,2818569.036465
2026-05-15,210.095,214.92,210.095,214.48,2922000.668374
2026-05-18,215.3,223.31,215.13,222.94,3256794.498619
2026-05-19,222.94,227.43,220.325,220.44,3575991.414416
2026-05-20,218.22,221.02,215.34,220.69,2846778.145175
2026-05-21,219.03,220.59,216.6184,220.075,2248980.899224
2026-05-22,220.32,226.46,220.18,225.31,2282739.564971
2026-05-26,221.84,223.48,218.28,218.35,2374525.600681
2026-05-27,218.63,221.37,216.72,217.65,2061789.731269
2026-05-28,215.6,221.1,215.6,219.86,1784737.893823
2026-05-29,218.09,224.16,218.01,221.84,3377827.995255
2026-06-01,223.96,234.725,223.95,233.74,3970306.815503
2026-06-02,229.5,231.89,225.21,231.18,3550454.776493
2026-06-03,228.87,229.925,225.0,227.75,2728888.208465
2026-06-04,234.36,237.11,230.07,231.31,2319033.231435
2026-06-05,233.08,234.85,231.18,231.95,2980685.91025
2026-06-08,231.07,231.605,228.77,229.075,1620094.680605
2026-06-09,226.61,231.59,225.38,231.17,2088890.194174
2026-06-10,230.81,233.2,228.42,231.1,2155146.681861
2026-06-11,228.6,230.87,225.59,225.77,2748011.486403
2026-06-12,224.18,227.2,221.84,226.21,2189791.335053
