date,open,high,low,close,volume
2026-02-02,85.0,85.89,84.52,85.65,297637.0
2026-02-03,85.27,87.07,85.05,85.8,263931.0
2026-02-04,86.32,87.89,86.32,87.09,286137.0
2026-02-05,87.15,88.565,87.0901,87.76,265729.0
2026-02-06,88.33,89.69,87.35,87.75,219105.0
2026-02-09,87.24,88.9511,85.5,85.65,297428.0
2026-02-10,85.84,86.81,85.83,86.55,183456.0
2026-02-11,86.86,87.0,85.79,86.67,232539.0
2026-02-12,86.34,87.96,85.88,86.9,261752.0
2026-02-13,86.64,86.78,85.62,86.34,201663.0
2026-02-17,87.0,88.25,86.97,87.63,255713.0
2026-02-18,87.41,87.41,86.21,86.93,213857.0
2026-02-19,87.01,87.55,86.37,86.73,184623.0
2026-02-20,87.63,88.76,86.9,88.39,213978.0
2026-02-23,87.95,88.4,85.085,85.11,283428.771479
2026-02-24,85.19,86.16,84.74,85.57,230934.254206
2026-02-25,86.27,86.39,85.025,86.24,220089.42554
2026-02-26,86.45,87.1738,86.2,86.64,269724.904045
2026-02-27,89.33,89.99,85.11,86.21,616473.686185
2026-03-02,85.87,88.4,85.74,87.45,500644.407467
2026-03-03,86.47,87.4,84.78,86.9,335047.928549
2026-03-04,86.57,87.72,85.66,87.52,294924.9704
2026-03-05,87.06,87.66,86.19,86.7,237237.620071
2026-03-06,84.67,85.79,83.64,85.31,318522.96825
2026-03-09,84.94,85.67,83.61,85.59,303531.3599
2026-03-10,84.9,86.4,84.62,84.95,312377.506474
2026-03-11,85.16,85.16,83.62,84.23,293786.864283
2026-03-12,83.51,84.15,82.5,83.17,319173.072111
2026-03-13,82.57,83.97,82.57,83.38,375535.29467
2026-03-16,84.0,85.045,83.46,83.51,329563.172402
2026-03-17,84.21,84.6,83.33,83.37,259792.895444
2026-03-18,82.9,83.78,82.46,82.51,242607.69719
2026-03-19,81.95,82.74,80.7407,82.03,290409.128949
2026-03-20,82.04,82.365,80.53,80.81,689674.002911
2026-03-23,81.99,82.1,81.08,81.45,326026.284521
2026-03-24,81.01,82.24,80.96,81.64,262615.327573
2026-03-25,81.62,82.01,80.9,81.48,271233.055277
2026-03-26,81.31,82.11,81.27,81.39,222589.42211
2026-03-27,81.09,81.12,79.16,79.29,290702.38456
2026-03-30,79.66,81.35,79.41,80.41,497239.188922
2026-03-31,81.33,82.24,80.04,81.48,264078.219405
2026-04-01,81.02,82.09,80.5,80.64,252244.786304
2026-04-02,80.72,81.46,80.17,81.1,247982.701204
2026-04-06,80.76,81.625,80.61,81.62,198269.464081
2026-04-07,81.4,82.09,81.125,81.87,236596.353824
2026-04-08,82.47,83.675,82.47,83.2,385099.048073
2026-04-09,82.82,84.4,82.82,83.49,369702.050516
2026-04-10,83.85,83.85,81.665,81.96,320298.413736
2026-04-13,81.69,82.48,81.04,82.48,327044.008407
2026-04-14,82.2,82.92,82.18,82.44,286747.327485
2026-04-15,82.41,83.735,82.39,83.43,277677.944025
2026-04-16,83.39,83.835,82.89,83.0,358988.244626
2026-04-17,83.34,85.41,83.01,84.8,435701.798661
2026-04-20,84.38,85.58,83.28,83.38,266371.385091
2026-04-21,84.44,84.44,82.4,82.74,321373.169633
2026-04-22,82.66,83.35,81.84,83.23,931417.909037
2026-04-23,83.825,83.835,82.105,83.35,309700.212007
2026-04-24,83.21,84.19,82.42,83.4,308411.787287
2026-04-27,83.11,84.2,82.92,82.99,293499.45694
2026-04-28,83.88,84.14,83.105,83.52,311701.516639
2026-04-29,83.24,83.72,81.65,81.69,344766.02349
2026-04-30,81.99,82.35,81.2,81.9,289135.708927
2026-05-01,82.46,82.7699,80.72,80.86,360491.441686
2026-05-04,80.29,82.09,80.01,81.74,315384.201756
2026-05-05,81.65,82.41,81.65,81.86,289036.266708
2026-05-06,82.27,82.47,81.655,82.01,343592.15817
2026-05-07,82.03,83.16,81.69,82.43,453116.636102
2026-05-08,79.0,79.545,74.18,75.05,1337166.773265
2026-05-11,75.65,79.48,75.65,78.91,848484.050555
2026-05-12,78.88,79.09,76.94,76.95,806552.607497
2026-05-13,76.31,76.53,74.96,75.14,642673.492023
2026-05-14,76.01,76.79,75.64,76.13,491438.082892
2026-05-15,76.32,76.32,74.38,74.88,476299.076402
2026-05-18,74.97,76.8,74.91,75.55,506585.451143
2026-05-19,77.4,78.99,77.195,77.75,556731.09185
2026-05-20,78.33,78.97,77.825,78.82,356298.39516
2026-05-21,78.24,78.85,77.43,78.67,332884.117965
2026-05-22,78.58,78.65,76.785,76.89,366715.388719
2026-05-26,76.58,77.07,75.94,76.19,360524.340205
2026-05-27,76.0,76.9881,74.545,74.93,379421.511504
2026-05-28,74.29,74.99,74.14,74.18,371251.967192
2026-05-29,74.34,74.58,73.68,74.21,442185.79438
2026-06-01,75.165,75.165,73.46,74.04,416233.391002
2026-06-02,73.27,75.085,73.27,73.88,354806.541228
2026-06-03,73.9,73.95,72.76,73.2,293709.43704
2026-06-04,74.51,74.985,73.43,73.87,317487.20655
2026-06-05,74.29,75.9,74.29,75.57,302137.67851
2026-06-08,75.55,75.82,74.7,74.82,389931.249862
2026-06-09,75.04,75.84,74.88,75.35,317180.3766
2026-06-10,75.89,76.98,75.375,75.97,353665.583704
2026-06-11,76.54,76.75,75.37,75.64,340499.211893
2026-06-12,75.48,76.58,75.08,76.46,308439.478055
