date,open,high,low,close,volume
2026-02-09,22.46,24.0,22.2374,23.75,22100308.0
2026-02-10,23.41,24.26,23.39,23.79,19609036.0
2026-02-11,24.87,24.9,23.09,23.81,21969954.0
2026-02-12,23.48,23.79,21.51,21.59,32181324.0
2026-02-13,22.0,23.11,21.86,22.96,21763130.0
2026-02-17,22.02,22.02,20.54,21.55,18259361.0
2026-02-18,22.32,22.715,21.83,22.6,16562271.0
2026-02-19,23.05,24.92,22.63,24.78,29106918.0
2026-02-20,25.02,27.58,24.715,27.55,37079920.0
2026-02-23,27.89,29.49,27.75,28.6,36625536.239142
2026-02-24,27.45,29.97,27.3901,29.51,23804236.217283
2026-02-25,30.1,30.15,29.19,29.41,20310452.722577
2026-02-26,28.9,31.2,28.63,31.1,26195489.604681
2026-02-27,31.51,32.035,30.875,32.01,23087431.253477
2026-03-02,31.665,31.75,29.9701,31.6,25371768.780011
2026-03-03,28.5,28.99,26.97,28.37,28295580.703863
2026-03-04,29.04,29.48,28.335,28.65,14851182.809418
2026-03-05,27.98,28.13,25.51,26.27,27283526.018849
2026-03-06,25.745,26.33,25.035,25.83,19376746.874054
2026-03-09,25.2,26.16,23.925,26.14,21052312.229872
2026-03-10,26.93,27.62,26.55,26.72,16951706.29543
2026-03-11,26.15,26.26,24.91,25.71,17776632.325734
2026-03-12,25.72,25.73,24.46,24.63,15364525.198884
2026-03-13,24.41,24.5353,22.43,22.56,23107813.65735
2026-03-16,22.43,23.19,21.43,22.21,23872814.754407
2026-03-17,22.15,22.68,21.41,21.74,16689406.440947
2026-03-18,20.98,21.2,20.045,20.35,22938168.59285
2026-03-19,18.25,19.12,17.93,18.95,27610096.536665
2026-03-20,18.965,19.03,17.875,18.27,24669927.045136
2026-03-23,18.325,19.645,18.2,19.2,28543331.395116
2026-03-24,19.14,20.335,18.97,20.1,21888328.918646
2026-03-25,21.22,21.3078,20.39,20.78,22114908.595533
2026-03-26,20.0,20.6801,19.275,19.32,18196175.621677
2026-03-27,19.17,20.865,19.13,20.68,19097508.733762
2026-03-30,21.05,21.1728,19.285,19.65,17708022.232366
2026-03-31,20.37,21.6462,20.3,21.48,23651857.263589
2026-04-01,21.78,22.86,21.5,22.17,22437160.811882
2026-04-02,20.5,22.305,20.48,21.84,14257816.359427
2026-04-06,21.61,22.02,21.205,21.4,12888572.829178
2026-04-07,21.27,21.54,20.535,21.26,15315233.084863
2026-04-08,23.06,23.3,20.535,20.91,21728984.238735
2026-04-09,21.15,21.395,20.03,20.59,15290777.255559
2026-04-10,20.93,21.03,20.415,20.58,11840064.215319
2026-04-13,20.16,20.87,20.11,20.78,14969915.477422
2026-04-14,21.28,21.73,21.03,21.53,14382916.728484
2026-04-15,21.36,21.6599,20.81,21.16,14239426.333055
2026-04-16,21.29,21.55,20.93,21.05,10131313.982328
2026-04-17,21.84,22.825,21.465,21.49,19973207.061833
2026-04-20,21.15,21.62,20.84,21.52,13633613.686027
2026-04-21,21.24,21.39,20.025,20.08,15038043.34411
2026-04-22,20.67,21.155,20.25,20.91,9422757.27186
2026-04-23,20.445,20.655,19.43,20.25,12165855.568307
2026-04-24,20.38,20.68,19.98,20.56,9402242.9341
2026-04-27,20.27,20.53,19.87,20.48,7395108.143571
2026-04-28,19.9,20.0899,19.285,19.5,12231377.777784
2026-04-29,19.34,19.34,18.7714,18.95,10704705.564956
2026-04-30,19.81,19.99,19.18,19.71,9889209.241165
2026-05-01,19.51,20.28,19.46,19.85,9207253.680226
2026-05-04,19.414,19.9196,19.24,19.38,8736855.560742
2026-05-05,19.68,19.8299,19.05,19.1,6952266.971981
2026-05-06,20.45,21.45,20.42,21.18,15324233.529786
2026-05-07,22.19,23.07,21.295,21.37,21629161.854135
2026-05-08,22.01,22.2799,21.05,21.86,12920552.647039
2026-05-11,22.69,23.685,22.57,23.58,24043046.582353
2026-05-12,23.0,24.505,22.27,24.21,25141201.095582
2026-05-13,24.09,24.485,23.0801,23.98,17824020.892281
2026-05-14,23.8,23.8,22.63,22.66,13374785.921182
2026-05-15,21.36,21.4,20.01,20.42,18246007.656953
2026-05-18,20.78,20.815,19.625,19.73,11950463.191658
2026-05-19,19.47,19.55,18.63,18.8,16817167.943614
2026-05-20,19.3,20.05,18.64,19.94,11809504.927939
2026-05-21,19.38,20.37,19.25,19.9,9356253.572385
2026-05-22,19.7,19.785,19.095,19.45,9199093.135423
2026-05-26,19.81,20.31,19.59,20.28,10090104.89059
2026-05-27,19.58,20.15,19.48,19.67,11270050.402283
2026-05-28,19.45,20.895,19.195,20.58,10192239.063078
2026-05-29,20.55,21.135,20.2,21.08,10457481.762387
2026-06-01,20.46,21.0601,19.79,20.83,9819502.108784
2026-06-02,21.09,21.27,20.335,20.99,6913833.42114
2026-06-03,20.39,20.5437,19.71,19.77,9798074.137323
2026-06-04,20.09,20.325,19.61,19.77,8193973.525495
2026-06-05,19.055,19.055,16.83,16.99,21347833.412241
