date,open,high,low,close,volume
2026-02-02,199.95,202.35,198.22,200.76,1462405.0
2026-02-03,201.1,204.14,199.5,201.77,1234599.0
2026-02-04,201.86,208.44,201.83,207.12,2430924.0
2026-02-05,212.44,216.75,210.58,215.19,3404666.0
2026-02-06,215.0,215.7371,205.355,207.55,2325353.0
2026-02-09,207.0,208.59,199.17,199.94,2159419.0
2026-02-10,200.08,201.81,198.165,201.15,2184897.0
2026-02-11,201.0,206.17,198.4756,204.73,1718632.0
2026-02-12,205.88,208.3,203.97,206.56,1715141.0
2026-02-13,206.44,207.73,204.16,207.51,1591698.0
2026-02-17,210.13,213.24,208.25,212.32,2381536.0
2026-02-18,212.0,213.64,205.3,209.43,2234919.0
2026-02-19,208.85,208.85,202.62,203.22,1754905.0
2026-02-20,204.71,206.57,201.22,206.37,1226181.0
2026-02-23,206.31,208.1,204.78,206.16,1692461.261089
2026-02-24,206.0,210.35,205.04,209.82,1385927.660413
2026-02-25,210.9,211.205,206.71,209.33,1407804.25294
2026-02-26,210.9,213.85,209.995,212.76,1266060.942325
2026-02-27,210.87,215.51,210.87,214.52,2318626.199861
2026-03-02,213.51,214.72,211.25,212.76,1437200.737176
2026-03-03,210.14,214.81,209.89,213.61,1545521.0543
2026-03-04,214.35,215.125,210.38,214.18,1232872.393573
2026-03-05,211.24,213.87,209.6,211.62,1537869.123673
2026-03-06,211.285,212.835,207.47,212.32,950316.633371
2026-03-09,211.3,211.64,205.76,207.69,1407730.667082
2026-03-10,207.07,210.38,206.195,207.5,1100156.122333
2026-03-11,206.27,207.66,204.32,205.59,1401516.739661
2026-03-12,203.51,208.12,203.03,205.03,1387397.911345
2026-03-13,207.49,208.5612,205.93,206.17,950459.228465
2026-03-16,206.99,210.17,206.99,207.81,1416207.181426
2026-03-17,211.06,212.15,207.005,207.27,1369392.560989
2026-03-18,207.01,207.53,204.2,204.38,1352728.90514
2026-03-19,206.57,207.29,203.25,204.07,1443013.986769
2026-03-20,204.06,207.08,203.33,205.62,3379265.035662
2026-03-23,209.46,209.73,206.505,207.76,1352376.613908
2026-03-24,207.84,210.3,207.105,207.31,1298183.159559
2026-03-25,207.41,208.68,204.2,204.71,1507697.610598
2026-03-26,205.08,207.21,203.985,207.16,972345.563756
2026-03-27,209.4,209.4,201.61,202.71,1288317.17357
2026-03-30,204.55,209.0537,203.42,207.27,1128104.489222
2026-03-31,208.18,208.88,204.12,207.34,1442398.647333
2026-04-01,206.05,206.8431,203.42,204.1,1660201.381169
2026-04-02,204.96,207.84,204.162,207.03,1383067.725349
2026-04-06,206.05,208.495,205.925,208.36,798834.681499
2026-04-07,208.51,210.81,207.29,210.53,1384241.276585
2026-04-08,210.0,212.34,209.28,212.07,1150732.193318
2026-04-09,210.91,216.15,210.4,214.52,1060624.373951
2026-04-10,214.03,214.32,208.3,210.99,1017416.970157
2026-04-13,210.67,215.24,210.26,215.09,1017167.64493
2026-04-14,213.81,215.93,213.0,214.88,1563531.422137
2026-04-15,214.35,219.48,213.63,218.23,1215782.185763
2026-04-16,217.12,217.18,212.4,213.87,1553169.081607
2026-04-17,213.955,218.08,212.49,216.16,1233659.618312
2026-04-20,216.14,218.57,214.46,215.15,1281622.901652
2026-04-21,215.38,218.995,215.38,216.34,1415431.478345
2026-04-22,215.25,216.35,212.88,214.16,1166053.372357
2026-04-23,214.05,217.86,213.86,216.56,926590.61687
2026-04-24,215.48,216.3,212.75,212.88,1070714.328927
2026-04-27,211.93,216.59,210.3601,214.2,1424747.667813
2026-04-28,216.19,218.18,215.19,216.4,1210432.224945
2026-04-29,216.1,217.26,211.68,212.33,1374362.683776
2026-04-30,213.36,218.185,209.505,217.26,2235605.890721
2026-05-01,218.8,221.19,216.58,216.59,1486184.292954
2026-05-04,215.595,219.97,214.2401,219.87,1757693.329516
2026-05-05,220.0,222.225,217.84,218.51,1505994.009091
2026-05-06,219.0,221.14,216.62,217.92,1760139.43746
2026-05-07,213.01,214.53,209.655,213.67,2837520.802443
2026-05-08,214.71,216.69,211.26,213.15,1482576.130303
2026-05-11,214.69,216.0,212.3,213.8,1288521.689319
2026-05-12,214.97,217.96,213.49,215.47,1639149.024198
2026-05-13,213.28,217.8799,212.4,215.54,1586394.976582
2026-05-14,216.01,217.3,213.57,216.45,1695192.147397
2026-05-15,218.22,220.305,216.335,217.37,1483410.471567
2026-05-18,217.55,222.69,216.8781,221.21,1741412.578707
2026-05-19,222.0,227.62,220.39,224.58,3937706.164049
2026-05-20,224.74,224.97,221.03,221.98,1220703.382473
2026-05-21,219.12,220.325,212.48,214.44,2193278.174244
2026-05-22,216.4,217.815,214.55,216.6,1247672.776863
2026-05-26,215.3,217.8699,212.78,212.82,1298910.253328
2026-05-27,212.61,214.49,208.52,208.85,1226349.821484
2026-05-28,207.91,210.33,207.244,207.28,1377938.503712
2026-05-29,207.4,208.18,204.81,206.09,2863351.280179
