date,open,high,low,close,volume
2026-02-02,320.6,330.44,319.85,328.4,7409582.0
2026-02-03,336.94,338.44,311.95,318.67,10697028.0
2026-02-04,323.99,323.99,287.4901,297.6,14719408.0
2026-02-05,300.07,304.35,292.32,303.99,8514321.0
2026-02-06,309.41,324.3999,308.2962,322.51,8344434.0
2026-02-09,317.56,332.4,316.1,330.57,7458948.0
2026-02-10,329.855,334.61,321.52,329.07,6785829.0
2026-02-11,337.905,344.34,330.89,339.88,7160914.0
2026-02-12,339.88,341.07,325.56,328.39,9764434.0
2026-02-13,364.95,376.32,353.26,354.91,15706020.0
2026-02-17,351.0,362.63,347.66,359.13,8791276.0
2026-02-18,361.63,373.995,359.26,369.3,8784291.0
2026-02-19,362.2,370.07,360.4,369.83,6640140.0
2026-02-20,366.265,377.11,366.265,375.38,8178683.0
2026-02-23,372.4,378.8599,369.68,373.55,6077445.356129
2026-02-24,376.59,380.51,368.001,377.93,5711768.656792
2026-02-25,385.0,395.95,384.0,394.95,9745022.493341
2026-02-26,391.8,393.47,366.5401,375.72,7717136.674109
2026-02-27,365.94,378.58,365.6115,372.3,9041372.643453
2026-03-02,366.58,373.81,363.28,372.18,5802068.645987
2026-03-03,350.9,359.53,348.5934,351.32,7982042.483115
2026-03-04,359.22,362.34,350.7001,357.76,5980360.60762
2026-03-05,351.035,354.76,336.3,346.53,5905738.373202
2026-03-06,329.52,341.4,321.74,324.74,8655215.825067
2026-03-09,320.48,339.16,316.66,338.94,9504107.241226
2026-03-10,339.85,355.275,339.0,345.88,6121075.970606
2026-03-11,348.0,353.0,343.53,351.07,4517227.113394
2026-03-12,344.19,345.48,334.01,337.27,5978201.340569
2026-03-13,342.47,349.2499,340.28,341.53,5332197.749149
2026-03-16,347.7,350.7499,343.57,346.18,4427025.599335
2026-03-17,346.18,352.8145,343.01,352.46,4833889.825029
2026-03-18,353.39,357.855,349.23,349.47,5170497.76945
2026-03-19,340.74,359.05,338.09,357.21,6459706.5185
2026-03-20,359.77,362.0,346.66,357.06,17587864.572901
2026-03-23,367.82,374.25,361.45,361.79,6490661.247085
2026-03-24,358.16,379.99,358.0,373.99,6406241.21558
2026-03-25,371.0,375.68,360.66,369.34,5052006.885965
2026-03-26,358.365,359.48,337.53,338.55,9260967.702809
2026-03-27,337.63,345.6924,334.34,337.17,5984796.989149
2026-03-30,344.0,344.54,320.69,323.12,6568103.898339
2026-03-31,328.83,342.06,325.46,341.79,8335566.971764
2026-04-01,345.285,359.0,341.43,353.8,5974768.917699
2026-04-02,338.0,354.31,337.25,348.47,4269444.997905
2026-04-06,351.02,353.495,345.83,352.62,2505516.818416
2026-04-07,348.145,356.0,345.5,354.31,4024802.650664
2026-04-08,378.89,389.3,377.78,385.72,7628526.281615
2026-04-09,385.245,398.7426,385.13,397.81,5373571.361751
2026-04-10,402.5,407.29,398.98,399.49,6399905.547388
2026-04-13,397.845,400.5,389.59,395.73,5246628.912296
2026-04-14,400.0,401.05,391.01,395.64,5353210.679879
2026-04-15,389.21,394.61,379.68,394.26,5925119.334096
2026-04-16,388.95,393.51,384.3,389.9,5112999.014733
2026-04-17,397.745,400.5,390.405,396.94,6017902.259585
2026-04-20,397.6,398.49,390.38,391.62,3747455.003265
2026-04-21,393.0,397.51,391.055,394.33,5414899.966805
2026-04-22,399.87,404.08,391.26,403.48,5268135.649699
2026-04-23,406.17,413.82,397.14,403.91,4420781.413323
2026-04-24,412.5,420.4999,410.31,417.04,6159630.876523
2026-04-27,416.0,417.0,398.0,404.86,5663427.565196
2026-04-28,386.0,390.07,377.8,381.11,10396202.422994
2026-04-29,383.865,386.005,377.07,382.59,5116412.872409
2026-04-30,385.535,396.01,384.56,394.49,7050034.607483
2026-05-01,389.45,398.64,386.2,389.08,4586472.103027
2026-05-04,387.16,400.9999,385.65,391.38,5062258.004063
2026-05-05,404.39,414.5,400.25,410.82,6321089.599856
2026-05-06,421.0,432.81,417.75,428.62,7241179.249453
2026-05-07,426.355,427.7,406.01,410.64,7741791.673193
2026-05-08,423.11,438.04,417.9,435.44,8165197.744514
2026-05-11,439.245,448.45,437.27,443.62,8324011.800173
2026-05-12,436.8,437.05,416.56,431.2,9319351.836635
2026-05-13,435.91,440.5,422.3,436.61,7839354.220125
2026-05-14,443.335,448.45,438.0,440.56,14936202.623687
2026-05-15,428.42,444.5,421.56,436.62,12768709.647258
2026-05-18,441.31,441.71,408.09,413.57,8264953.287982
2026-05-19,404.37,415.4641,397.3701,406.91,8418715.127564
2026-05-20,416.445,427.5,415.85,426.85,6888397.283454
2026-05-21,424.185,430.98,421.609,427.36,5682855.383987
2026-05-22,434.345,438.125,430.29,432.16,4892619.708268
2026-05-26,444.738,456.78,438.0,454.89,8052479.609119
2026-05-27,461.215,462.4,441.12,448.25,5053494.748469
2026-05-28,446.13,457.68,438.25,449.68,5675579.717108
2026-05-29,452.77,460.46,445.7,450.06,8549508.203859
