date,open,high,low,close,volume
2026-02-02,235.77,249.97,235.0,246.27,36308106.0
2026-02-03,251.55,252.65,237.0376,242.11,53097051.0
2026-02-04,215.0,218.58,199.1501,200.19,107173293.0
2026-02-05,201.855,204.04,190.72,192.5,62196419.0
2026-02-06,197.13,209.27,196.43,208.44,54504470.0
2026-02-09,206.895,217.6,204.15,216.0,38810841.0
2026-02-10,215.14,219.39,213.13,213.57,25326694.0
2026-02-11,217.88,219.65,209.21,213.58,33384744.0
2026-02-12,215.83,218.4564,205.14,205.94,32180957.0
2026-02-13,204.02,210.05,203.8801,207.32,26123882.0
2026-02-17,202.145,205.3,194.83,203.08,33712081.0
2026-02-18,198.405,203.2,195.0001,200.12,35664087.0
2026-02-19,200.11,204.1,198.2939,203.37,25842274.0
2026-02-20,200.115,204.87,198.56,200.15,36317256.0
2026-02-23,198.09,199.38,194.15,196.6,28187909.718457
2026-02-24,211.63,216.71,206.5,213.84,81367020.324631
2026-02-25,214.82,216.7,210.33,210.86,44588059.166633
2026-02-26,208.8,209.79,201.46,203.68,35020472.560044
2026-02-27,200.105,201.89,197.74,200.21,31312396.204817
2026-03-02,193.845,198.74,190.0,198.62,34120155.15872
2026-03-03,191.46,193.64,188.22,190.95,37785697.404247
2026-03-04,192.12,202.44,189.86,202.07,40912561.303189
2026-03-05,197.77,203.79,194.88,199.45,36000660.206858
2026-03-06,195.27,200.24,191.2501,192.43,33913779.568944
2026-03-09,189.36,202.97,189.02,202.68,38877220.685947
2026-03-10,202.51,206.59,202.2,203.23,29139162.430908
2026-03-11,205.11,209.21,203.63,204.83,23076366.294114
2026-03-12,202.825,203.62,196.67,197.74,28886913.993474
2026-03-13,198.11,199.68,192.27,193.39,27561888.998741
2026-03-16,194.975,200.17,194.8,196.58,30285170.76041
2026-03-17,196.68,199.21,195.26,196.31,22779675.948427
2026-03-18,196.0,202.86,195.75,199.46,28569135.540925
2026-03-19,195.032,205.88,192.83,205.27,32245329.425699
2026-03-20,204.885,206.3,198.26,201.33,37265103.82969
2026-03-23,206.395,209.109,201.71,202.68,31857752.483554
2026-03-24,201.39,206.43,200.13,205.37,27258849.549062
2026-03-25,211.505,221.33,211.505,220.27,48518269.043366
2026-03-26,217.979,221.0,203.43,203.77,49212976.926409
2026-03-27,201.77,203.2699,197.69,201.99,29206578.500528
2026-03-30,204.95,208.43,192.865,196.04,41053298.650307
2026-03-31,198.05,204.0,196.41,203.43,42318748.819834
2026-04-01,207.585,213.83,205.84,210.21,40835794.362274
2026-04-02,204.05,217.78,200.62,217.5,38463484.242586
2026-04-06,219.28,226.31,217.73,220.18,30786420.343675
2026-04-07,218.255,222.0984,215.375,221.53,26483009.624829
2026-04-08,232.12,234.0,227.09,231.82,35496362.753252
2026-04-09,233.014,237.1,230.9101,236.64,27126209.261169
2026-04-10,239.0,249.58,238.96,245.04,36477243.725098
2026-04-13,245.025,247.33,242.03,246.83,22781787.761989
2026-04-14,249.79,255.46,245.7,255.07,25733227.733815
2026-04-15,254.96,258.18,251.85,258.12,24695184.364489
2026-04-16,264.99,279.34,261.51,278.26,64850772.184417
2026-04-17,281.0,281.05,274.14,278.39,35519852.531892
2026-04-20,280.6,287.61,272.0,274.95,34833859.384184
2026-04-21,277.33,286.2,276.62,284.49,38950875.645219
2026-04-22,291.215,304.25,286.14,303.46,49054237.050004
2026-04-23,302.01,310.22,299.76,305.33,45619726.712796
2026-04-24,336.755,352.99,334.54,347.81,81616660.291481
2026-04-27,346.32,349.21,328.81,334.63,50585307.392163
2026-04-28,311.86,327.5,310.0,323.21,43002479.608295
2026-04-29,326.58,340.17,318.86,337.11,44704367.191163
2026-04-30,341.355,354.96,332.6,354.49,42115325.353504
2026-05-01,351.87,362.79,349.25,360.54,34279169.153386
2026-05-04,360.31,361.85,338.7,341.54,42000243.937267
2026-05-05,351.51,359.5716,344.88,355.26,64235117.358754
2026-05-06,409.49,430.6,402.04,421.39,87732167.355556
2026-05-07,417.07,421.71,401.08,408.46,44885481.088958
2026-05-08,418.59,456.29,418.29,455.19,58134868.020613
2026-05-11,460.55,469.215,450.88,458.79,46085390.620612
2026-05-12,449.25,458.8,426.11,448.29,39140061.409401
2026-05-13,457.035,459.5,432.65,445.5,30423354.005811
2026-05-14,440.6,453.31,435.68,449.7,26113570.870789
2026-05-15,433.34,439.0,423.3616,424.1,29131579.39715
2026-05-18,429.5,438.8,410.71,420.99,28432130.897838
2026-05-19,412.6,428.75,393.36,414.05,38756913.91583
2026-05-20,428.04,449.3899,426.05,447.58,36137499.219246
2026-05-21,441.99,451.2,431.6,449.59,27251983.202348
2026-05-22,469.84,481.41,461.71,467.51,34758602.261225
2026-05-26,484.74,506.96,480.23,503.89,38473784.75556
2026-05-27,508.0,510.21,486.6603,495.54,27589331.968242
2026-05-28,499.0,527.1999,493.52,518.09,31438519.646209
2026-05-29,520.8,522.0,503.43,516.1,30803236.382126
