date,open,high,low,close,volume
2026-02-02,34.21,34.6,34.21,34.5831,6404.0
2026-02-03,34.64,34.64,34.0199,34.3475,11793.0
2026-02-04,34.39,34.705,34.32,34.5013,4855.0
2026-02-05,34.65,34.65,34.278,34.278,5302.0
2026-02-06,34.875,35.16,34.875,35.1435,5626.0
2026-02-09,35.26,35.32,35.2304,35.2304,10874.0
2026-02-10,35.15,35.15,35.0494,35.0494,5376.0
2026-02-11,35.37,35.37,34.94,35.172,4905.0
2026-02-12,36.55,36.55,34.51,34.5272,16373.0
2026-02-13,34.48,35.01,34.44,34.8991,15263.0
2026-02-17,34.8513,34.93,34.47,34.61,11234.0
2026-02-18,34.66,35.06,34.66,34.8489,5481.0
2026-02-19,34.67,34.9,34.6,34.8859,4992.0
2026-02-20,34.81,35.09,34.81,35.0472,3831.0
2026-02-23,34.4,34.4588,34.305,34.4224,4603.105
2026-02-24,34.57,34.779,34.57,34.75,4430.0
2026-02-25,34.9,35.0,34.43,34.9254,10807.0
2026-02-26,34.83,34.83,34.35,34.8267,2069.0
2026-02-27,34.32,34.35,34.2,34.3432,2571.665093
2026-03-02,34.11,34.58,34.0,34.5125,5930.0304
2026-03-03,33.76,34.257,33.445,34.125,3568.0
2026-03-04,34.14,34.31,34.14,34.2435,3948.0
2026-03-05,34.1,34.14,33.71,33.8988,3513.073
2026-03-06,33.1,33.3,33.09,33.1492,10314.5537
2026-03-09,32.57,33.56,32.43,33.5434,13641.0
2026-03-10,33.53,33.6,33.16,33.2,8251.971174
2026-03-11,33.1,33.1,33.065,33.0833,12118.4745
2026-03-12,32.11,32.76,32.11,32.4375,4007.0
2026-03-13,32.89,32.89,32.385,32.44,2559.683
2026-03-16,32.84,32.92,32.6199,32.6258,4542.0
2026-03-17,32.11,32.94,32.11,32.75,2758.9687
2026-03-18,32.71,32.7399,32.3357,32.3357,3152.0007
2026-03-19,32.15,32.44,32.11,32.4239,1672.0
2026-03-20,32.25,32.28,31.665,31.7553,3435.0
2026-03-23,32.86,32.9,32.3,32.3653,181849.0
2026-03-24,32.01,32.63,32.01,32.5213,14132.554
2026-03-25,32.83,32.83,32.61,32.7275,2712.1074
2026-03-26,32.53,32.76,32.08,32.1083,27680.797
2026-03-27,31.78,31.89,31.5599,31.6499,3787.0839
2026-03-30,31.59,31.6,31.22,31.2751,3062.014
2026-03-31,31.99,32.185,31.95,32.1439,6915.317
2026-04-01,32.6186,32.6186,32.41,32.421,5961.0749
2026-04-02,32.35,32.5095,32.3499,32.5095,2310.0
2026-04-06,32.4735,32.6901,32.4735,32.6789,3611.0
2026-04-07,32.5,32.71,32.5,32.6644,10493.969316
2026-04-08,33.925,33.97,33.9114,33.9492,1931.0
2026-04-09,34.11,34.23,34.07,34.0923,17304.0177
2026-04-10,33.9999,34.07,33.96,34.0298,26250.029
2026-04-13,34.04,34.51,34.04,34.51,5163.0
2026-04-14,34.79,34.86,34.73,34.7379,7850.346
2026-04-15,34.77,34.77,34.485,34.5681,2018.0
2026-04-16,34.53,34.68,34.53,34.5473,7064.0
2026-04-17,35.05,35.325,35.05,35.32,5735.584281
2026-04-20,35.455,35.4861,35.41,35.4861,5094.0
2026-04-21,35.77,35.77,35.2,35.2205,32494.0
2026-04-22,35.3101,35.3101,35.16,35.1889,19434.0
2026-04-23,35.35,35.35,35.17,35.2648,6768.803
2026-04-24,35.13,35.28,35.12,35.2324,6515.0
2026-04-27,35.2214,35.28,35.21,35.2731,1428.389408
2026-04-28,34.7192,34.7198,34.67,34.7198,3988.346798
2026-04-29,35.04,35.04,34.46,34.5697,7017.0
2026-04-30,34.94,35.37,34.9,35.3472,27975.0
2026-05-01,35.23,35.28,35.045,35.0953,12522.0438
2026-05-04,35.09,35.09,34.71,34.75,972.0
2026-05-05,35.06,35.2,35.06,35.1328,9185.0
2026-05-06,35.47,35.57,35.28,35.5421,172547.0
2026-05-07,35.36,35.39,34.91,34.9506,23449.0
2026-05-08,34.97,35.04,34.9147,34.9147,2484.0
2026-05-11,34.98,34.99,34.8476,34.8476,45567.0
2026-05-12,34.51,34.6843,34.33,34.6843,1917.0
2026-05-13,34.66,34.82,34.52,34.7785,19480.298
2026-05-14,34.87,35.01,34.87,34.9809,5252.215456
2026-05-15,34.635,34.635,34.4063,34.4063,8382.0
2026-05-18,34.38,34.38,34.22,34.2357,3209.123
2026-05-19,33.7301,34.08,33.65,33.7938,9702.0
2026-05-20,34.355,34.355,34.3101,34.355,5910.0
2026-05-21,34.11,34.43,34.02,34.4037,22817.029
2026-05-22,34.6,34.79,34.5299,34.6572,10541.0
2026-05-26,34.66,35.04,34.66,35.0026,1773.0
2026-05-27,34.825,34.825,34.7,34.7115,4233.0
2026-05-28,34.39,34.69,34.39,34.6817,5149.339
2026-05-29,34.83,34.83,34.69,34.7244,5388.0
2026-06-01,33.81,35.0,33.81,34.9163,8799.755
2026-06-02,35.3,35.52,35.3,35.4946,15068.0
2026-06-03,35.31,35.6624,35.31,35.58,7702.0
2026-06-04,35.56,36.052,35.56,36.0183,9122.052
2026-06-05,35.36,35.36,35.0818,35.0818,888.0
2026-06-08,35.21,35.21,35.1556,35.1556,604.0
2026-06-09,35.79,35.79,35.045,35.44,1403.0
2026-06-10,35.07,35.09,34.72,34.785,21839.0
2026-06-11,35.19,35.73,35.13,35.72,3703.0
2026-06-12,35.79,36.04,35.79,35.8834,17181.404
