date,open,high,low,close,volume
2026-02-02,141.32,143.11,138.22,138.37,7719198.0
2026-02-03,140.715,143.272,135.33,139.39,8202277.0
2026-02-04,138.0,139.3699,129.24,130.28,13313778.0
2026-02-05,127.73,130.31,125.34,128.67,9640539.0
2026-02-06,131.4,137.61,130.32,137.49,8986820.0
2026-02-09,138.28,142.27,136.055,141.74,6801389.0
2026-02-10,144.325,145.035,141.8,143.45,6138123.0
2026-02-11,145.11,145.24,138.22,140.66,6942379.0
2026-02-12,138.0,138.5,132.01,135.12,16322113.0
2026-02-13,145.82,148.77,138.0,141.59,21822983.0
2026-02-17,140.64,145.0,140.0,142.58,8724172.0
2026-02-18,140.46,142.5,136.69,139.54,9955678.0
2026-02-19,138.61,140.32,135.37,137.23,5260619.0
2026-02-20,136.02,138.33,132.15,132.79,8308963.0
2026-02-23,131.225,131.635,126.26,127.43,9706757.01044
2026-02-24,130.25,130.73,124.38,128.77,8120020.344085
2026-02-25,129.37,133.78,128.64,132.89,7611583.288182
2026-02-26,132.0,132.2199,126.92,130.25,6360701.005762
2026-02-27,127.52,133.58,127.5,133.5,9043346.254869
2026-03-02,129.65,130.69,127.26,129.3,6874981.567942
2026-03-03,125.33,126.83,122.37,124.6,6119674.387593
2026-03-04,127.87,135.56,127.4,134.83,6897724.535475
2026-03-05,135.115,139.48,134.0,139.4,8393018.233585
2026-03-06,136.39,139.0581,132.73,132.89,6281963.348152
2026-03-09,130.405,137.675,129.79,137.17,6715157.951119
2026-03-10,138.0,141.77,137.89,139.62,5435820.270138
2026-03-11,139.16,141.14,137.6536,138.23,4171895.160423
2026-03-12,137.74,137.78,133.69,134.03,5494208.998082
2026-03-13,134.82,137.595,130.51,133.57,5364822.208966
2026-03-16,133.87,136.28,131.91,135.35,7884154.914338
2026-03-17,135.01,136.7,132.31,133.07,5958965.464159
2026-03-18,133.5,137.56,133.5,136.07,5264126.415106
2026-03-19,133.74,136.57,132.35,136.26,4418865.992987
2026-03-20,134.0,135.3,128.9,131.22,11351554.722921
2026-03-23,133.48,138.21,132.2,135.88,6402155.205107
2026-03-24,134.21,135.7,129.19,130.8,7858850.746958
2026-03-25,133.21,135.08,131.15,135.01,5353268.131047
2026-03-26,131.79,132.5,122.51,122.55,7553542.399862
2026-03-27,121.34,123.72,120.3417,120.77,5940233.03609
2026-03-30,122.01,123.34,115.42,116.13,7540489.825495
2026-03-31,118.62,123.46,117.42,122.78,7837660.582724
2026-04-01,126.06,127.25,124.66,124.85,5037709.525541
2026-04-02,121.1,127.2,119.7907,126.68,5125073.947106
2026-04-06,127.32,128.165,125.165,126.25,3033084.273483
2026-04-07,127.85,133.7,127.55,133.64,5758018.172467
2026-04-08,143.0,146.16,141.12,145.07,12136784.255793
2026-04-09,145.11,146.19,141.11,146.05,7266114.3362
2026-04-10,147.54,149.34,145.4,147.35,7054131.115989
2026-04-13,146.73,152.14,144.7959,152.02,7217926.581553
2026-04-14,153.99,155.41,150.9861,154.37,7114015.729714
2026-04-15,154.82,155.225,150.5201,154.33,5835301.227433
2026-04-16,155.92,161.01,153.36,161.01,7205615.645696
2026-04-17,162.235,165.28,160.47,164.23,8216373.137559
2026-04-20,165.0,167.9,164.49,166.85,6113334.947298
2026-04-21,170.0,173.85,167.22,172.86,8918861.262311
2026-04-22,174.4,178.48,171.14,177.73,8699422.700769
2026-04-23,177.5,177.75,169.38,172.55,7427999.037259
2026-04-24,174.53,179.8,173.52,176.91,7508022.034524
2026-04-27,176.72,176.76,168.51,172.47,6782537.447013
2026-04-28,166.48,167.82,162.25,165.29,7414052.221669
2026-04-29,166.1,168.73,163.42,168.68,6270538.122362
2026-04-30,172.01,173.58,167.76,172.71,6141684.64321
2026-05-01,172.99,177.18,172.0,172.7,7652433.849369
2026-05-04,175.68,179.1,172.285,172.62,7167905.170356
2026-05-05,177.0,177.22,169.89,170.22,15684758.140854
2026-05-06,153.0,154.83,140.58,147.06,35627189.253493
2026-05-07,149.22,149.44,139.68,141.75,18255654.720293
2026-05-08,142.65,143.99,138.6,141.77,20371603.677499
2026-05-11,141.4,142.62,135.13,136.43,18520885.776204
2026-05-12,136.78,142.94,135.37,142.54,12796118.46811
2026-05-13,144.8,147.31,140.3,140.69,14164576.929036
2026-05-14,142.5,147.89,141.0,147.81,15728189.949662
2026-05-15,144.99,145.9,141.78,141.97,10833005.13454
2026-05-18,143.02,143.67,138.64,141.71,8634498.398695
2026-05-19,139.58,142.5,137.0,141.58,8800776.254976
2026-05-20,142.0,143.26,137.5,140.49,9617034.579436
2026-05-21,139.3,148.99,139.125,148.59,11620557.147286
2026-05-22,152.26,154.39,149.0,154.03,10562370.878613
2026-05-26,157.505,160.14,153.89,158.01,11835307.852358
2026-05-27,157.85,158.11,153.57,154.31,6990659.399015
2026-05-28,154.0,156.3799,150.66,155.27,7194331.358502
2026-05-29,157.4,161.4999,155.8,159.47,15393768.311639
2026-06-01,162.14,172.33,161.28,170.68,9991468.715154
2026-06-02,170.7,177.48,170.69,175.33,9144322.877739
2026-06-03,175.49,177.48,168.71,174.37,8069719.557933
2026-06-04,163.08,167.79,157.4,166.01,10213951.283855
2026-06-05,159.46,161.1932,152.19,154.27,9094700.742182
