date,open,high,low,close,volume
2026-02-02,2.4,2.484,2.35,2.352,61548.0
2026-02-03,2.403,2.599,2.24,2.279,39113.4
2026-02-04,2.3,2.39,2.164,2.169,43302.5
2026-02-05,2.141,2.203,1.732,1.842,120964.8
2026-02-06,1.92,2.186,1.586,1.79,356218.6
2026-02-09,1.89,1.89,1.625,1.7,192831.9
2026-02-10,1.73,1.9399,1.53,1.66,523302.0
2026-02-11,1.75,1.755,1.25,1.42,341835.0
2026-02-12,1.4764,1.4858,1.26,1.31,156510.0
2026-02-13,1.32,1.45,1.2701,1.35,95057.0
2026-02-17,1.35,1.36,1.155,1.23,160909.0
2026-02-18,1.24,1.3199,1.16,1.21,133954.0
2026-02-19,1.21,1.22,1.09,1.09,190335.0
2026-02-20,1.09,1.31,1.0842,1.21,390882.0
2026-02-23,1.29,1.34,1.13,1.17,202460.616372
2026-02-24,1.18,1.55,1.18,1.305,468474.536931
2026-02-25,1.38,1.6955,1.36,1.44,827269.856374
2026-02-26,1.45,1.6,1.41,1.6,283548.902081
2026-02-27,1.57,1.57,1.45,1.48,160694.197516
2026-03-02,1.46,1.61,1.449,1.46,233304.406202
2026-03-03,1.42,1.42,1.27,1.35,87774.270593
2026-03-04,1.35,1.5,1.35,1.38,127290.357595
2026-03-05,1.4,1.52,1.38,1.46,6662761.335038
2026-03-06,1.7,1.9099,1.58,1.77,18145426.63604
2026-03-09,1.64,1.87,1.61,1.82,1241389.594437
2026-03-10,1.8,1.88,1.6,1.83,844721.942731
2026-03-11,1.79,1.855,1.605,1.61,504974.204498
2026-03-12,1.6,1.65,1.5,1.6,481223.043038
2026-03-13,1.6,1.67,1.555,1.62,243594.803879
2026-03-16,1.65,1.79,1.62,1.7,380154.1689
2026-03-17,1.66,1.7371,1.56,1.59,251381.060781
2026-03-18,1.58,1.63,1.55,1.59,215259.022237
2026-03-19,1.56,1.57,1.45,1.55,148761.702186
2026-03-20,1.52,1.52,1.41,1.41,142070.464697
2026-03-23,1.4,1.4,1.2821,1.37,163283.508653
2026-03-24,1.33,1.36,1.27,1.31,119135.324164
2026-03-25,1.33,1.51,1.33,1.44,152471.897115
2026-03-26,1.41,1.4799,1.3702,1.4,53318.198511
2026-03-27,1.37,1.47,1.34,1.42,89922.065609
2026-03-30,1.36,1.48,1.36,1.4,95715.576038
2026-03-31,1.38,1.45,1.37,1.45,36930.146821
2026-04-01,1.45,1.54,1.4497,1.51,83559.154375
2026-04-02,1.47,1.56,1.441,1.52,34709.112
2026-04-06,1.54,1.56,1.49,1.49,35172.80835
2026-04-07,1.43,1.5,1.3907,1.42,50222.992
2026-04-08,1.47,1.5599,1.44,1.465,64947.490419
2026-04-09,1.45,1.5,1.402,1.45,33744.445577
2026-04-10,1.45,1.53,1.45,1.45,59987.7
2026-04-13,1.46,1.47,1.405,1.45,56715.891584
2026-04-14,1.52,1.65,1.46,1.48,291611.102
2026-04-15,1.52,1.63,1.5,1.54,172177.977759
2026-04-16,1.58,1.59,1.48,1.52,164286.496274
2026-04-17,1.55,1.64,1.49,1.51,272721.7
2026-04-20,1.5,1.5699,1.45,1.5,151701.637625
2026-04-21,1.51,1.54,1.37,1.39,144826.486
2026-04-22,1.45,1.54,1.41,1.43,102337.03631
2026-04-23,1.45,1.45,1.3601,1.41,123499.863609
2026-04-24,1.44,1.48,1.4,1.45,66831.907
2026-04-27,1.46,1.48,1.405,1.42,52064.0
2026-04-28,1.41,1.46,1.3801,1.43,73568.709
2026-04-29,1.44,1.44,1.37,1.41,37383.0
2026-04-30,1.39,1.5199,1.38,1.47,121503.96
2026-05-01,1.49,1.6,1.4701,1.57,131575.15641
2026-05-04,1.54,1.58,1.47,1.47,141298.370785
2026-05-05,1.52,1.53,1.47,1.5,166671.5764
2026-05-06,1.54,1.83,1.51,1.78,434855.46657
2026-05-07,1.85,2.099,1.85,1.98,661864.527431
2026-05-08,2.0,2.0,1.8,1.82,149994.851999
2026-05-11,1.78,2.1,1.78,1.98,254468.825273
2026-05-12,1.92,1.9799,1.79,1.85,101127.277049
2026-05-13,1.85,2.17,1.8,2.13,268029.923763
2026-05-14,2.11,2.48,2.02,2.43,551136.409631
2026-05-15,2.37,2.4285,2.24,2.29,146070.624589
2026-05-18,2.19,2.23,1.6001,1.68,578449.982686
2026-05-19,1.69,1.86,1.69,1.8,89284.796002
2026-05-20,1.82,1.9,1.7501,1.84,128915.4649
2026-05-21,1.88,1.95,1.8524,1.93,136504.880331
2026-05-22,1.94,2.05,1.85,1.89,120393.164648
2026-05-26,1.94,1.97,1.83,1.86,137175.82407
2026-05-27,1.9,1.948,1.84,1.9,101586.037918
2026-05-28,1.92,2.0082,1.87,1.92,132235.945822
2026-05-29,1.93,1.95,1.875,1.9,186884.008218
