date,open,high,low,close,volume
2026-02-02,144.0,148.51,144.0,144.93,9951127.0
2026-02-03,146.85,149.24,140.98,147.06,10358522.0
2026-02-04,146.81,147.01,129.39,130.0,21254219.0
2026-02-05,129.5,130.68,126.21,127.63,19602571.0
2026-02-06,132.16,138.305,132.13,136.23,11531466.0
2026-02-09,137.17,145.265,136.61,144.2,9321240.0
2026-02-10,146.05,147.3799,143.14,144.14,10687644.0
2026-02-11,147.77,147.77,138.795,144.04,8910844.0
2026-02-12,147.3,148.87,143.69,143.73,11352634.0
2026-02-13,143.65,148.82,141.02,146.72,9378769.0
2026-02-17,144.75,149.31,143.0301,148.57,6844790.0
2026-02-18,150.0,151.37,147.08,147.73,7485197.0
2026-02-19,147.0,151.38,146.31,151.2,5230807.0
2026-02-20,149.69,153.63,149.69,151.04,7467401.0
2026-02-23,150.12,151.755,147.2,147.82,6070412.788562
2026-02-24,148.58,151.71,145.5,151.5,8000387.283085
2026-02-25,151.45,154.05,148.81,152.64,5653475.826207
2026-02-26,153.25,153.65,143.83,148.47,7755864.8111
2026-02-27,145.48,147.51,143.54,146.06,9827484.353977
2026-03-02,141.495,142.14,134.77,135.16,14746816.219386
2026-03-03,130.0,131.9225,127.6,129.58,15242068.006659
2026-03-04,132.12,133.475,129.117,132.75,11544581.620867
2026-03-05,136.0,140.38,133.87,136.24,13923080.15428
2026-03-06,133.17,135.4,130.571,131.87,7975628.598743
2026-03-09,129.57,136.73,128.6103,136.06,8755130.715135
2026-03-10,136.38,139.36,135.51,136.74,7156268.022095
2026-03-11,136.44,136.79,132.695,134.54,6628944.565125
2026-03-12,132.31,132.49,128.54,131.47,8937406.599135
2026-03-13,131.93,136.85,131.92,133.92,7246888.994903
2026-03-16,137.0,140.58,135.65,136.8,10492836.523604
2026-03-17,139.89,144.25,134.24,135.12,13196412.663558
2026-03-18,135.29,136.62,126.47,127.81,12619038.446472
2026-03-19,125.83,131.99,125.4,130.65,7153787.705997
2026-03-20,130.14,130.83,124.68,126.74,14276130.439997
2026-03-23,129.12,133.4099,128.58,130.67,7714892.560949
2026-03-24,128.6,133.0881,127.75,127.96,9732338.572696
2026-03-25,129.86,131.71,126.76,128.73,11719803.870552
2026-03-26,125.25,127.23,122.6,123.13,9646193.003098
2026-03-27,122.5,126.015,121.332,123.62,7805964.125296
2026-03-30,125.4,126.37,118.24,119.15,8171710.301721
2026-03-31,122.28,126.51,121.0,126.35,10075718.217642
2026-04-01,127.17,129.73,127.16,127.7,7359939.157796
2026-04-02,123.18,129.19,123.0,128.0,5587580.906591
2026-04-06,128.0,128.475,126.1,126.49,4605632.973761
2026-04-07,125.2,128.4,124.68,128.38,4462120.862709
2026-04-08,136.0,136.6,131.82,135.32,7055686.635791
2026-04-09,136.69,138.17,134.15,137.68,6807619.572615
2026-04-10,138.81,143.7,138.42,140.75,9737525.947828
2026-04-13,140.0,145.35,139.92,145.27,7634984.560297
2026-04-14,147.86,149.21,145.72,148.72,8364376.345546
2026-04-15,148.0,148.72,144.5,146.98,7313586.398375
2026-04-16,147.0,149.07,145.39,148.96,6460081.841566
2026-04-17,149.78,152.41,149.76,151.06,6784995.580557
2026-04-20,153.0,154.245,152.0,152.81,6102724.361128
2026-04-21,153.99,155.4569,151.27,151.93,7371664.684763
2026-04-22,148.13,151.25,145.41,148.13,9364520.5428
2026-04-23,149.07,152.0,148.61,150.18,6733587.562923
2026-04-24,151.36,151.73,148.51,149.71,4662230.58557
2026-04-27,149.25,150.0,144.45,148.64,6348017.764948
2026-04-28,144.0,147.41,142.259,143.72,9871588.053373
2026-04-29,154.0,154.918,146.55,148.38,14324324.421029
2026-04-30,151.94,152.84,143.61,147.27,9313957.171949
2026-05-01,146.48,146.67,142.28,142.3,5773915.872729
2026-05-04,143.45,143.95,140.19,141.03,7194163.779636
2026-05-05,143.45,144.12,135.92,136.69,11698792.421531
2026-05-06,138.0,140.88,137.02,138.47,10534376.461712
2026-05-07,139.11,139.11,134.39,136.62,9002706.582922
2026-05-08,137.58,137.8,127.63,128.03,18190972.306214
2026-05-11,127.97,128.41,121.43,122.47,24755921.656944
2026-05-12,123.94,128.17,123.595,127.87,15959372.714853
2026-05-13,129.95,129.98,123.55,124.64,11311069.854878
2026-05-14,124.93,129.44,123.55,129.19,10849032.678226
2026-05-15,128.385,128.7,124.7226,125.0,10352463.445272
2026-05-18,125.41,125.74,120.155,121.72,9889272.395981
2026-05-19,119.72,120.32,118.01,119.2,10761949.053653
2026-05-20,119.97,123.1,119.6,123.05,9564076.838608
2026-05-21,122.28,125.17,121.41,124.86,8587146.722522
2026-05-22,127.12,132.59,127.12,132.06,17734910.885797
2026-05-26,136.88,143.75,136.2,139.56,16593708.729699
2026-05-27,139.71,141.99,138.17,140.24,10074779.028944
2026-05-28,141.02,148.34,139.886,147.68,13795327.232108
2026-05-29,148.94,151.615,146.0001,148.76,13698753.805667
2026-06-01,146.945,148.65,144.2,146.34,8717950.775631
2026-06-02,146.66,149.535,141.5,148.4,11441799.97803
2026-06-03,148.6,151.92,146.01,147.62,8580235.945327
2026-06-04,145.27,147.84,141.82,146.77,5619368.099098
2026-06-05,143.25,144.9691,138.2,138.81,7168148.203181
2026-06-08,144.025,145.95,141.855,143.6,7506504.056887
2026-06-09,147.46,154.92,145.22,154.07,15432093.077271
2026-06-10,153.0,159.8,149.06,149.22,12069550.526771
2026-06-11,150.44,153.29,147.7,152.46,11909613.733303
2026-06-12,153.77,155.29,151.775,153.8,9393031.219344
