date,open,high,low,close,volume
2026-02-18,4.82,4.82,4.645,4.73,229481.0
2026-02-19,4.73,4.75,4.6,4.69,199048.0
2026-02-20,4.69,4.815,4.63,4.63,272237.0
2026-02-23,4.66,4.6756,4.44,4.61,377387.234407
2026-02-24,4.6,4.83,4.58,4.76,262911.135475
2026-02-25,4.72,4.86,4.67,4.8,368064.262436
2026-02-26,4.76,4.83,4.59,4.69,654116.754054
2026-02-27,4.67,4.75,4.6,4.67,270427.673078
2026-03-02,4.56,4.725,4.52,4.68,351645.951344
2026-03-03,4.68,4.84,4.14,4.56,1062757.851411
2026-03-04,4.58,4.595,4.26,4.31,416013.113957
2026-03-05,4.3,4.48,4.3,4.37,289640.168426
2026-03-06,4.33,4.47,4.22,4.34,513809.947849
2026-03-09,4.34,4.42,4.25,4.39,337963.909462
2026-03-10,4.36,4.38,4.11,4.18,785634.373121
2026-03-11,4.15,4.2129,3.93,3.99,579866.662535
2026-03-12,3.93,4.0501,3.835,3.88,567606.589365
2026-03-13,3.91,3.93,3.81,3.83,382588.2706
2026-03-16,3.85,3.925,3.825,3.84,266388.406406
2026-03-17,3.85,3.93,3.825,3.86,233283.281059
2026-03-18,3.82,3.9,3.74,3.75,285674.082396
2026-03-19,3.7,3.731,3.53,3.56,423135.905924
2026-03-20,3.53,3.655,3.46,3.5,388844.84556
2026-03-23,3.51,3.615,3.5,3.54,925228.60827
2026-03-24,3.54,3.59,3.36,3.41,613448.242412
2026-03-25,3.41,3.535,3.41,3.52,362810.902614
2026-03-26,3.45,3.56,3.44,3.45,248446.064616
2026-03-27,3.43,3.485,3.405,3.41,299892.638789
2026-03-30,3.46,3.49,3.42,3.46,297486.920477
2026-03-31,3.42,3.55,3.42,3.54,267488.223557
2026-04-01,3.54,3.65,3.54,3.64,154762.500266
2026-04-02,3.54,3.665,3.54,3.66,142419.329048
2026-04-06,3.66,3.73,3.66,3.69,155904.5412
2026-04-07,3.68,3.75,3.605,3.66,169692.430053
2026-04-08,3.77,3.85,3.77,3.78,363816.782535
2026-04-09,3.77,3.79,3.65,3.68,335919.018516
2026-04-10,3.68,3.75,3.68,3.71,153724.728376
2026-04-13,3.6,3.78,3.6,3.76,345473.211156
2026-04-14,3.8,3.85,3.8,3.83,350023.230834
2026-04-15,3.79,3.98,3.79,3.97,387800.622321
2026-04-16,4.16,4.16,3.94,3.94,415724.456948
2026-04-17,4.0,4.14,3.98,4.0,643723.140567
2026-04-20,4.025,4.025,3.875,3.88,320940.242888
2026-04-21,3.9,3.92,3.715,3.73,274138.657844
2026-04-22,3.74,3.78,3.7,3.73,164412.640376
2026-04-23,3.77,3.77,3.5435,3.57,175265.160355
2026-04-24,3.57,3.645,3.56,3.6,127911.497024
2026-04-27,3.59,3.612,3.485,3.55,202657.474618
2026-04-28,3.5,3.51,3.43,3.43,147019.697641
2026-04-29,3.43,3.52,3.37,3.51,269005.215738
2026-04-30,3.53,3.57,3.471,3.54,130237.449998
2026-05-01,3.52,3.77,3.52,3.75,183945.506752
2026-05-04,3.75,3.87,3.72,3.84,431836.763361
2026-05-05,3.87,3.995,3.845,3.89,404413.821225
2026-05-06,3.9,4.11,3.85,4.11,464724.126556
2026-05-07,4.11,4.11,3.92,3.98,366767.453919
2026-05-08,3.95,4.285,3.9346,4.28,426621.604401
2026-05-11,4.21,4.22,4.08,4.11,287434.304615
2026-05-12,4.04,4.04,3.86,3.87,328850.691709
2026-05-13,3.83,3.945,3.79,3.92,250987.663081
2026-05-14,3.89,3.94,3.75,3.85,287526.053635
2026-05-15,3.77,3.95,3.73,3.89,241690.307241
2026-05-18,3.91,3.96,3.855,3.89,233211.275991
2026-05-19,3.88,3.945,3.8099,3.84,259768.549187
2026-05-20,3.84,3.94,3.77,3.81,234910.779481
2026-05-21,3.78,3.8,3.65,3.77,219638.794604
2026-05-22,3.64,3.77,3.565,3.64,589552.293533
2026-05-26,3.64,3.83,3.51,3.77,1066450.331209
2026-05-27,4.1,4.23,3.7901,4.23,2385759.042251
2026-05-28,4.23,4.39,4.19,4.25,696040.389608
2026-05-29,4.2,4.23,4.01,4.1,484487.544403
2026-06-01,4.37,4.85,4.25,4.75,1674339.831664
2026-06-02,4.82,5.495,4.7,5.26,1437851.525904
2026-06-03,5.27,5.29,4.82,4.87,693663.262096
2026-06-04,4.86,5.025,4.76,4.83,454946.875791
2026-06-05,4.75,4.97,4.62,4.81,676608.757408
2026-06-08,4.77,4.7847,4.515,4.59,421805.954679
2026-06-09,4.61,4.76,4.33,4.54,553577.279906
2026-06-10,4.48,4.63,4.43,4.47,272669.493796
2026-06-11,4.43,4.53,4.34,4.5,298706.651086
