date,open,high,low,close,volume
2026-02-02,42.74,43.31,42.49,42.6,232230.0
2026-02-03,42.69,42.7,40.23,41.07,440148.0
2026-02-04,40.48,40.53,38.8,39.36,531341.0
2026-02-05,38.78,39.02,37.0,37.12,495322.0
2026-02-06,38.22,39.0,37.87,38.8,320581.0
2026-02-09,38.82,40.34,38.73,40.14,298480.0
2026-02-10,40.18,41.02,40.18,40.39,147217.0
2026-02-11,40.48,40.48,38.18,38.93,961814.0
2026-02-12,38.9,38.95,36.56,36.97,534696.0
2026-02-13,37.23,38.015,37.0,37.58,231473.0
2026-02-17,37.31,38.23,37.04,37.9,302609.0
2026-02-18,37.86,39.15,37.86,38.54,264909.0
2026-02-19,38.13,38.528,37.9,38.42,272440.0
2026-02-20,38.18,39.05,38.04,38.49,267162.0
2026-02-23,38.04,38.09,36.57,36.86,353805.300069
2026-02-24,36.5,37.53,36.29,37.31,319178.447931
2026-02-25,38.11,39.28,37.93,39.18,195439.548014
2026-02-26,39.09,39.79,38.9112,39.52,237135.926345
2026-02-27,38.99,39.27,38.6,39.01,281158.527357
2026-03-02,37.99,39.93,37.99,39.9,656723.351423
2026-03-03,38.37,40.09,37.93,39.68,461012.195774
2026-03-04,40.4,41.71,40.31,41.47,395904.406092
2026-03-05,41.15,42.3192,41.04,41.55,444450.067788
2026-03-06,40.63,41.15,40.37,40.7,307130.564365
2026-03-09,40.27,41.515,40.1401,41.39,311879.571013
2026-03-10,41.62,41.74,40.76,41.15,168881.486431
2026-03-11,41.24,41.96,40.59,41.135,150724.876863
2026-03-12,40.68,41.23,39.88,39.945,251592.52268
2026-03-13,40.55,40.97,39.7,39.85,159245.979569
2026-03-16,40.67,41.34,40.64,41.01,178576.336993
2026-03-17,41.03,41.8551,41.03,41.49,128894.131448
2026-03-18,41.16,41.5,40.44,40.46,158233.169591
2026-03-19,39.76,40.435,39.4875,40.21,120048.265298
2026-03-20,40.04,40.04,38.94,39.33,139988.473946
2026-03-23,39.92,40.67,39.77,40.31,170604.140987
2026-03-24,40.0,40.0,38.27,38.55,214615.372749
2026-03-25,39.52,40.02,38.84,39.07,113847.929243
2026-03-26,38.54,39.005,37.73,37.76,184347.825349
2026-03-27,37.18,37.2,36.24,36.37,241504.145881
2026-03-30,36.82,36.96,35.8219,36.14,185681.098378
2026-03-31,36.62,38.14,36.62,38.01,145477.883136
2026-04-01,38.24,38.4899,37.755,37.94,103087.812426
2026-04-02,36.93,38.11,36.4693,38.07,125711.056735
2026-04-06,38.32,38.72,38.08,38.48,58138.452167
2026-04-07,38.11,38.44,37.4519,38.36,334186.897604
2026-04-08,40.59,40.98,39.01,39.26,236145.944908
2026-04-09,39.04,39.17,37.96,38.37,172559.471737
2026-04-10,38.52,38.88,37.94,38.39,194488.819407
2026-04-13,38.04,39.75,38.03,39.735,168877.481386
2026-04-14,40.23,41.325,40.23,40.98,310823.890524
2026-04-15,41.35,42.52,41.16,42.42,146154.842991
2026-04-16,42.82,42.95,41.865,42.73,243833.160635
2026-04-17,43.55,44.24,43.24,43.57,204613.211869
2026-04-20,43.12,43.815,42.7192,43.81,177277.787963
2026-04-21,43.77,44.12,42.515,42.61,168952.983607
2026-04-22,43.35,43.86,43.26,43.64,146923.632732
2026-04-23,43.13,43.13,41.49,42.16,156019.900975
2026-04-24,42.53,42.93,42.08,42.85,195629.260132
2026-04-27,42.5,42.9,42.22,42.43,107362.220708
2026-04-28,41.72,42.345,41.46,41.85,133103.928358
2026-04-29,41.21,41.211,40.53,40.9,165890.353301
2026-04-30,40.96,41.42,40.5675,41.2,137723.094707
2026-05-01,41.52,42.225,41.52,42.04,163018.739672
2026-05-04,42.43,43.525,42.43,42.99,238515.260263
2026-05-05,42.77,42.895,41.98,42.07,363792.063256
2026-05-06,42.56,42.7483,42.2,42.68,178315.083872
2026-05-07,42.7,43.05,41.98,42.28,167648.681206
2026-05-08,42.0,42.26,41.394,42.26,244004.79471
2026-05-11,42.14,42.81,41.68,42.54,224346.825841
2026-05-12,42.35,42.64,41.3485,41.8,141963.385686
2026-05-13,41.6,41.675,40.692,41.29,219805.513469
2026-05-14,41.14,42.49,40.83,41.99,271786.028467
2026-05-15,41.21,41.22,40.65,40.7,150964.730587
2026-05-18,40.53,41.25,40.24,40.69,172872.276992
2026-05-19,40.53,40.91,40.2605,40.5,156694.55728
2026-05-20,40.54,41.32,40.03,41.12,152653.539984
2026-05-21,40.73,41.64,40.57,41.29,148885.105898
2026-05-22,41.27,41.73,40.85,40.85,119765.333708
2026-05-26,41.02,41.3,40.76,40.8,199190.607481
2026-05-27,40.62,41.45,40.58,41.045,186806.243393
2026-05-28,40.78,42.21,40.52,42.19,214358.266988
2026-05-29,42.22,43.415,42.0501,43.1,224437.953436
