date,open,high,low,close,volume
2026-02-04,25.11,25.4899,24.51,24.6,480474.0
2026-02-05,24.58,24.8293,24.3501,24.54,501059.0
2026-02-06,23.94,24.51,23.65,24.37,564455.0
2026-02-09,24.34,24.52,24.05,24.42,387336.0
2026-02-10,24.37,24.91,24.15,24.56,646739.0
2026-02-11,24.7,26.09,24.7,25.5,996022.0
2026-02-12,25.96,26.25,25.3,25.35,717228.0
2026-02-13,25.63,26.05,25.16,25.82,533109.0
2026-02-17,25.81,25.94,25.15,25.61,419524.0
2026-02-18,25.76,26.0186,25.6,25.89,475775.0
2026-02-19,26.0,26.09,25.61,25.9,385037.0
2026-02-20,25.71,26.26,25.61,26.25,469834.0
2026-02-23,26.26,27.07,26.25,27.04,734399.469793
2026-02-24,26.98,27.48,26.32,26.51,724624.779453
2026-02-25,26.65,26.73,26.2,26.48,166381.286206
2026-02-26,26.2,26.63,26.17,26.57,204627.28909
2026-02-27,26.6,26.6599,26.34,26.49,312304.504289
2026-03-02,26.8,27.11,26.42,26.98,326556.405084
2026-03-03,26.75,27.4399,26.62,27.13,438716.720458
2026-03-04,27.16,27.38,26.7501,26.96,248511.928471
2026-03-05,26.99,27.05,26.6366,26.89,660620.190822
2026-03-06,26.96,26.96,26.335,26.51,403372.544119
2026-03-09,26.49,27.35,26.36,27.24,504250.48948
2026-03-10,27.37,27.83,27.15,27.39,339345.697136
2026-03-11,27.52,27.7849,27.1604,27.5,391652.450726
2026-03-12,27.5,27.68,27.3084,27.46,316724.614955
2026-03-13,27.33,27.45,26.97,27.28,162976.690698
2026-03-16,27.41,27.535,27.225,27.44,159226.379293
2026-03-17,27.54,27.58,27.27,27.3,266925.638305
2026-03-18,27.43,27.44,27.02,27.38,168732.194586
2026-03-19,27.35,28.95,27.2101,28.43,756983.590758
2026-03-20,28.42,28.66,27.7601,27.95,429369.54048
2026-03-23,27.71,28.15,27.3,27.95,403608.734801
2026-03-24,27.92,28.9,27.7401,28.7,487970.101654
2026-03-25,28.65,28.9,28.2401,28.6,204043.143608
2026-03-26,28.47,29.04,28.47,28.88,212952.726735
2026-03-27,28.84,29.45,28.84,28.99,430412.568947
2026-03-30,29.05,29.43,27.81,28.15,735485.76605
2026-03-31,28.07,28.87,27.34,27.65,327587.213551
2026-04-01,27.6,27.9,27.4301,27.57,270734.755331
2026-04-02,27.8,28.29,27.66,28.17,197146.239493
2026-04-06,28.17,28.4,28.05,28.18,296306.981171
2026-04-07,28.27,28.3899,27.73,27.73,315447.94125
2026-04-08,27.33,27.365,26.55,27.02,549526.093934
2026-04-09,27.01,27.32,26.4,26.51,281252.15207
2026-04-10,26.62,26.79,26.26,26.28,156636.106997
2026-04-13,26.28,26.76,26.22,26.4,212611.641581
2026-04-14,26.59,26.59,25.31,25.65,542906.297186
2026-04-15,25.53,25.9482,25.53,25.72,210609.227812
2026-04-16,25.75,25.9899,25.525,25.55,179314.2621
2026-04-17,25.7,25.7,24.62,24.98,797257.358789
2026-04-20,25.04,25.17,24.55,24.59,462559.856869
2026-04-21,24.64,24.935,24.42,24.79,459708.683446
2026-04-22,24.79,24.9,24.58,24.7,539726.838352
2026-04-23,24.7,25.46,24.7,25.23,543395.898205
2026-04-24,25.41,25.41,24.8,24.9,502176.51615
2026-04-27,24.6,25.93,24.5,25.45,740532.55357
2026-04-28,25.7,26.66,25.6,26.47,676104.136011
2026-04-29,26.42,26.865,26.285,26.66,484995.914559
2026-04-30,26.81,26.81,26.3769,26.61,275033.053545
2026-05-01,26.6,26.6,26.05,26.15,369706.741784
2026-05-04,26.2,26.38,25.93,26.3,254603.633524
2026-05-05,26.23,26.46,26.05,26.18,351214.632241
2026-05-06,26.01,26.23,25.3601,25.67,609581.40582
2026-05-07,25.45,25.6899,25.0319,25.55,501084.514941
2026-05-08,25.0,25.32,24.74,24.85,347522.730069
2026-05-11,24.95,24.98,24.34,24.62,595508.873571
2026-05-12,24.75,25.4,24.35,25.27,504554.775876
2026-05-13,25.15,25.45,24.67,24.83,280420.044486
2026-05-14,25.02,25.32,24.8001,25.27,347361.723153
2026-05-15,25.44,25.58,25.04,25.13,375845.674909
2026-05-18,25.42,25.55,24.81,25.4,467165.162089
2026-05-19,25.5,25.5,25.14,25.22,247538.317026
2026-05-20,25.26,25.4222,24.6137,24.95,379743.43542
2026-05-21,25.08,25.17,24.78,24.83,334827.228344
2026-05-22,24.7,24.925,24.67,24.88,295883.938878
2026-05-26,24.96,25.2,24.74,25.01,335408.343855
2026-05-27,24.75,25.18,24.695,24.94,186376.245964
2026-05-28,25.0,25.53,24.86,25.32,361258.938742
2026-05-29,25.3,25.4578,24.82,24.85,263552.275853
2026-06-01,24.85,25.5,24.8,25.31,268031.207327
2026-06-02,25.15,25.69,25.15,25.5,370916.977051
