date,open,high,low,close,volume
2026-02-02,17.34,17.43,17.025,17.06,4484279.0
2026-02-03,17.26,17.41,17.05,17.34,3216296.0
2026-02-04,17.4,17.6,17.255,17.6,2835079.0
2026-02-05,17.5,17.7867,17.5,17.66,2653631.0
2026-02-06,17.81,17.84,17.635,17.69,2318044.0
2026-02-09,17.7,17.72,17.034,17.49,4577889.0
2026-02-10,17.6,17.65,17.395,17.6,2777002.0
2026-02-11,17.66,17.88,17.6,17.66,3461643.0
2026-02-12,17.83,18.225,17.75,18.14,3742459.0
2026-02-13,18.21,18.61,18.045,18.3,5110243.0
2026-02-17,18.12,18.17,17.605,17.78,3957135.0
2026-02-18,17.79,17.84,17.5,17.68,3412475.0
2026-02-19,17.69,17.9,17.375,17.66,3234040.0
2026-02-20,17.55,17.915,17.51,17.89,3168495.0
2026-02-23,17.92,18.21,17.835,18.03,4017436.411954
2026-02-24,18.03,18.225,17.82,18.18,3260832.485992
2026-02-25,18.18,18.18,17.791,18.0,2258395.419644
2026-02-26,18.0,18.34,17.98,18.11,4406737.719935
2026-02-27,18.03,18.1651,17.95,17.95,3106574.731673
2026-03-02,17.65,17.97,17.42,17.86,4599174.872747
2026-03-03,17.6,17.99,17.48,17.84,2790494.04388
2026-03-04,17.97,18.035,17.78,17.82,2734008.80768
2026-03-05,17.69,17.99,17.63,17.89,2560067.123848
2026-03-06,17.76,17.8752,17.6232,17.71,2663934.226514
2026-03-09,17.5,17.5,16.595,17.27,6052680.372968
2026-03-10,17.31,17.8761,17.3,17.8,3998625.677932
2026-03-11,17.78,17.9,17.665,17.84,2631829.978639
2026-03-12,17.74,17.765,17.39,17.41,2859207.168243
2026-03-13,17.59,17.67,17.02,17.08,3430368.875074
2026-03-16,16.98,17.21,16.85,17.03,2768734.232058
2026-03-17,17.14,17.325,17.12,17.17,2703886.683533
2026-03-18,17.08,17.08,16.62,16.62,4392014.963852
2026-03-19,16.56,16.735,16.4,16.57,3503310.910942
2026-03-20,16.52,16.61,15.32,15.48,7683797.653748
2026-03-23,15.57,16.085,15.43,15.85,4610610.199254
2026-03-24,15.77,16.1993,15.66,15.99,2341864.866678
2026-03-25,16.25,16.545,16.24,16.39,2651337.356746
2026-03-26,16.2,16.28,15.96,16.01,2320931.977103
2026-03-27,15.86,15.94,15.67,15.73,2375018.801031
2026-03-30,15.89,16.3117,15.82,16.15,2283306.875711
2026-03-31,16.38,16.69,16.285,16.68,2090667.190911
2026-04-01,16.75,16.93,16.695,16.88,2095346.867906
2026-04-02,16.61,17.15,16.5581,17.14,2095357.308847
2026-04-06,17.11,17.42,17.0776,17.34,2075671.580969
2026-04-07,17.33,17.49,17.09,17.19,2061783.445846
2026-04-08,17.53,17.62,17.14,17.33,4392714.522818
2026-04-09,17.26,17.59,17.2547,17.56,2901818.336456
2026-04-10,17.6,17.705,17.495,17.67,2325143.389647
2026-04-13,17.69,17.7199,17.33,17.57,4509955.893159
2026-04-14,17.65,17.7989,17.6,17.78,3562211.211939
2026-04-15,17.5,17.59,17.36,17.56,3065015.327945
2026-04-16,17.45,17.525,16.96,16.97,4077577.828819
2026-04-17,17.12,17.64,17.12,17.64,4967981.440893
2026-04-20,17.43,17.44,17.2,17.44,2533422.021902
2026-04-21,17.41,17.78,17.401,17.45,3706403.048083
2026-04-22,17.68,17.751,17.44,17.56,2100748.640194
2026-04-23,17.51,17.645,17.43,17.5,1825112.650054
2026-04-24,17.6,17.66,17.46,17.62,3123274.1228
2026-04-27,17.58,17.645,17.48,17.61,2172494.723608
2026-04-28,17.61,17.63,17.52,17.61,2078952.658603
2026-04-29,17.53,17.57,17.135,17.26,3090160.940966
2026-04-30,17.325,17.61,17.26,17.54,2942606.363538
2026-05-01,17.55,17.8078,17.4415,17.73,2993457.97265
2026-05-04,17.59,17.6349,17.23,17.29,3649972.713706
2026-05-05,17.3,17.35,17.18,17.31,2926731.576584
2026-05-06,17.45,17.45,17.3,17.43,2726098.272183
2026-05-07,17.45,17.555,17.38,17.55,2158939.840462
2026-05-08,17.58,17.69,17.5,17.63,4992870.873117
2026-05-11,17.65,17.75,17.59,17.72,2838011.013725
2026-05-12,17.7,17.7,17.525,17.56,2949822.560062
2026-05-13,17.5,17.52,17.215,17.39,4269928.495634
2026-05-14,17.52,17.53,17.37,17.37,2852237.585654
2026-05-15,17.02,17.04,16.8139,16.98,2845241.972131
2026-05-18,16.9,16.94,16.42,16.43,4824055.426226
2026-05-19,16.25,16.615,16.12,16.41,3143306.922572
2026-05-20,16.51,16.605,16.3,16.47,3556721.066152
2026-05-21,16.46,16.75,16.29,16.72,2319829.79106
2026-05-22,16.77,16.9,16.56,16.57,2298237.067332
2026-05-26,16.67,16.93,16.645,16.92,2794685.937479
2026-05-27,16.99,17.19,16.96,17.02,2088812.064528
2026-05-28,16.91,17.135,16.875,17.11,2405136.782428
2026-05-29,17.12,17.15,17.05,17.15,3687421.801234
2026-06-01,17.0,17.19,16.84,17.13,2528636.105942
2026-06-02,17.11,17.32,17.085,17.26,2421027.615529
2026-06-03,17.2,17.26,17.01,17.07,2339434.87212
2026-06-04,17.17,17.285,17.16,17.22,2471183.878991
2026-06-05,17.16,17.23,17.06,17.11,2339986.596087
