date,open,high,low,close,volume
2026-02-02,1397.24,1453.16,1395.4,1441.39,1766645.0
2026-02-03,1436.04,1445.81,1371.91,1395.88,2205095.0
2026-02-04,1395.76,1406.095,1316.0601,1339.13,2479419.0
2026-02-05,1329.12,1368.86,1319.53,1350.16,1790238.0
2026-02-06,1372.37,1415.97,1368.52,1413.01,1970991.0
2026-02-09,1415.84,1437.09,1408.6,1429.49,1125090.0
2026-02-10,1439.27,1439.89,1410.8,1413.62,1200609.0
2026-02-11,1440.395,1451.49,1409.344,1435.63,1139284.0
2026-02-12,1435.23,1439.25,1392.2,1406.87,1518087.0
2026-02-13,1414.85,1436.66,1401.0,1406.61,1249325.0
2026-02-17,1392.57,1428.5,1382.75,1419.78,1097175.0
2026-02-18,1436.47,1476.4994,1427.38,1468.72,1334359.0
2026-02-19,1439.035,1459.79,1427.58,1458.93,1135216.0
2026-02-20,1449.42,1487.01,1448.32,1469.59,1102465.0
2026-02-23,1471.395,1493.01,1462.0001,1485.99,1284188.777496
2026-02-24,1500.02,1507.3525,1473.93,1497.8,1538909.467566
2026-02-25,1522.4,1547.22,1516.48,1526.51,1306850.066112
2026-02-26,1512.82,1514.33,1426.59,1463.8,2177889.146818
2026-02-27,1430.34,1461.72,1424.5,1450.56,1358271.69987
2026-03-02,1417.75,1442.685,1411.21,1423.54,1492377.080054
2026-03-03,1357.58,1373.5,1329.03,1360.94,2012456.289817
2026-03-04,1391.13,1405.55,1372.71,1399.37,1486729.769285
2026-03-05,1381.12,1407.38,1339.4501,1368.36,1806155.530875
2026-03-06,1293.86,1338.0,1286.67,1292.8,1900072.835108
2026-03-09,1284.79,1358.9999,1276.11,1357.42,1808899.529928
2026-03-10,1374.59,1407.5396,1369.91,1383.4,1650928.547569
2026-03-11,1383.96,1404.78,1372.0,1386.68,1171989.708508
2026-03-12,1372.54,1372.54,1333.57,1351.58,1780185.403462
2026-03-13,1367.54,1386.79,1342.5,1345.69,1179035.439857
2026-03-16,1379.515,1390.16,1368.2,1375.56,1310431.032051
2026-03-17,1385.05,1391.06,1369.31,1389.16,1135989.899663
2026-03-18,1373.365,1381.29,1354.02,1355.17,1391446.192567
2026-03-19,1315.24,1372.46,1310.37,1366.39,1619149.982792
2026-03-20,1357.255,1370.0,1291.1,1317.25,2645128.729362
2026-03-23,1359.73,1400.39,1348.11,1369.62,1983247.200305
2026-03-24,1349.12,1413.28,1348.68,1399.42,1801003.012141
2026-03-25,1394.09,1405.83,1366.685,1393.89,1610003.943499
2026-03-26,1356.81,1359.42,1326.85,1329.5,1721069.895214
2026-03-27,1318.43,1333.775,1298.52,1302.47,1759696.335255
2026-03-30,1318.765,1322.92,1248.11,1253.96,2144468.052086
2026-03-31,1284.325,1322.41,1276.01,1320.83,1731472.658339
2026-04-01,1345.64,1385.72,1344.56,1359.76,1744981.835816
2026-04-02,1305.54,1356.1986,1298.18,1317.23,1883406.565077
2026-04-06,1315.105,1320.0,1280.36,1304.01,1299180.797482
2026-04-07,1290.44,1309.0,1272.205,1306.45,1368911.537091
2026-04-08,1421.0,1429.29,1384.225,1421.05,2427277.821247
2026-04-09,1412.115,1453.545,1412.115,1448.64,1579677.098977
2026-04-10,1482.35,1502.5,1473.715,1478.28,1519599.736395
2026-04-13,1465.16,1500.8,1461.03,1500.2,1709372.503726
2026-04-14,1526.39,1531.98,1496.98,1518.3,1769180.51613
2026-04-15,1473.53,1486.1663,1415.25,1481.77,4251666.176573
2026-04-16,1453.0,1453.92,1406.5,1410.83,2626711.419258
2026-04-17,1463.76,1472.48,1445.69,1459.8,1876496.124183
2026-04-20,1461.49,1479.3,1452.0,1476.5,1091852.20519
2026-04-21,1476.09,1480.17,1446.25,1458.97,1274593.405537
2026-04-22,1477.0,1477.0,1378.3,1443.66,2621794.380385
2026-04-23,1438.945,1450.0,1396.23,1417.8,1800477.127895
2026-04-24,1459.53,1472.65,1441.69,1457.7,1751836.800555
2026-04-27,1457.84,1458.3,1415.69,1432.44,1326230.505585
2026-04-28,1389.73,1398.629,1364.805,1384.56,1926876.115221
2026-04-29,1386.705,1399.7,1374.92,1394.08,1256470.486985
2026-04-30,1414.34,1446.65,1395.0,1438.99,1414445.231939
2026-05-01,1428.285,1444.15,1414.0,1427.02,707124.762083
2026-05-04,1401.77,1417.07,1366.79,1386.21,1755713.844536
2026-05-05,1432.42,1454.8,1414.39,1442.92,1621394.318838
2026-05-06,1503.09,1545.52,1496.0,1544.74,2312386.840492
2026-05-07,1548.74,1550.0,1497.81,1516.6,1726651.696565
2026-05-08,1538.53,1595.31,1531.16,1592.02,2288336.02724
2026-05-11,1559.3,1567.99,1521.36,1565.81,2191329.195911
2026-05-12,1526.14,1535.11,1475.0,1520.94,1846830.004204
2026-05-13,1539.39,1602.6,1521.0801,1581.58,1691220.407216
2026-05-14,1573.74,1603.49,1563.28,1584.51,1412600.58214
2026-05-15,1511.74,1527.25,1486.64,1501.81,1807381.366067
2026-05-18,1521.245,1522.485,1453.34,1472.39,1664400.184243
2026-05-19,1449.93,1485.76,1441.3106,1459.44,1395420.829853
2026-05-20,1502.38,1555.8,1492.3171,1550.13,1744537.24123
2026-05-21,1548.68,1601.79,1545.94,1592.0,1358415.493649
2026-05-22,1620.03,1653.53,1615.85,1632.9,1669568.883429
2026-05-26,1641.85,1648.01,1604.25,1632.03,1653188.192791
2026-05-27,1637.35,1639.13,1583.0,1597.87,1363624.176041
2026-05-28,1617.09,1627.53,1580.0,1605.77,972545.005756
2026-05-29,1633.47,1654.2,1604.86,1612.76,1070357.369024
