date,open,high,low,close,volume
2026-02-02,271.97,277.0,265.5,269.99,1619416.0
2026-02-03,273.54,285.59,270.06,285.41,1081493.0
2026-02-04,286.0,287.45,246.02,257.3,1812570.0
2026-02-05,247.125,257.99,234.0,236.88,1538536.0
2026-02-06,246.74,258.78,242.0001,257.2,1491951.0
2026-02-09,256.62,274.99,253.0,274.35,1150707.0
2026-02-10,274.86,277.92,261.52,263.26,1018775.0
2026-02-11,267.7,267.85,236.36,243.42,1593958.0
2026-02-12,252.025,252.025,233.78,235.12,1183953.0
2026-02-13,236.625,248.6,234.0,243.87,686930.0
2026-02-17,254.95,266.21,252.3,262.99,1378319.0
2026-02-18,264.68,269.294,258.86,265.46,1067193.0
2026-02-19,269.66,285.7699,264.83,281.67,1299656.0
2026-02-20,280.83,285.0,263.95,264.63,1116691.0
2026-02-23,256.62,267.5,255.009,261.33,733513.422807
2026-02-24,252.2,265.9,246.15,262.25,731480.56883
2026-02-25,264.86,264.9999,254.55,255.22,736179.019497
2026-02-26,257.01,261.2099,250.71,259.62,713993.860823
2026-02-27,251.7,254.05,243.0,252.25,890619.537899
2026-03-02,284.24,303.0,196.22,208.32,13461945.039929
2026-03-03,214.67,237.0,211.06,228.3,5466224.190382
2026-03-04,224.0,231.32,221.45,226.48,1760695.614198
2026-03-05,231.94,235.3,213.0,220.56,2366403.965818
2026-03-06,214.63,235.98,213.11,229.8,2122842.76509
2026-03-09,229.5,229.5,216.56,227.29,2089671.512182
2026-03-10,224.68,228.4031,220.9,221.57,2507155.216046
2026-03-11,204.5,213.56,199.37,207.73,5230267.170895
2026-03-12,212.705,219.51,205.61,211.88,2883231.758025
2026-03-13,213.07,220.75,206.64,207.07,1378957.359838
2026-03-16,212.52,215.9999,206.33,211.88,1483397.288011
2026-03-17,212.89,222.66,210.63,222.51,1721245.931004
2026-03-18,220.0,222.0,214.5445,215.85,1432228.746318
2026-03-19,210.095,214.0,205.0001,211.35,1884057.84326
2026-03-20,207.41,209.73,193.52,197.72,2050586.110579
2026-03-23,200.67,211.5,196.7551,206.27,1737371.497114
2026-03-24,204.0,205.165,194.8,196.18,1254439.073905
2026-03-25,200.57,204.61,198.36,199.02,1055776.055172
2026-03-26,195.05,200.3,193.68,195.91,1017932.206717
2026-03-27,192.13,193.9327,183.8455,184.43,874781.133278
2026-03-30,186.405,186.405,175.415,176.97,1170695.176163
2026-03-31,179.87,185.0,176.22,183.05,1319160.686482
2026-04-01,188.64,191.8,182.45,183.5,922192.104836
2026-04-02,176.62,186.24,176.29,184.36,720332.822171
2026-04-06,185.0,191.75,184.885,189.26,650826.482022
2026-04-07,186.55,187.78,181.3462,186.85,646130.363457
2026-04-08,194.61,197.04,183.8401,186.94,1499658.632781
2026-04-09,187.5,187.5,175.87,177.7,1267378.767092
2026-04-10,177.75,182.0225,174.73,179.72,869093.496933
2026-04-13,177.02,194.8215,177.0,194.39,1275934.772398
2026-04-14,199.0,201.98,192.52,194.52,953398.546465
2026-04-15,197.29,200.26,194.1901,198.42,833856.772881
2026-04-16,203.31,207.23,197.7,201.99,1080531.640345
2026-04-17,204.675,208.65,186.1801,191.42,1572886.025827
2026-04-20,190.81,198.5999,189.49,197.23,1006824.397369
2026-04-21,203.6,222.4,201.22,210.07,2446285.732865
2026-04-22,216.76,219.2,206.28,210.1,1304748.40356
2026-04-23,207.89,209.365,196.74,201.91,1060526.182175
2026-04-24,203.77,203.84,195.32,196.28,863986.618926
2026-04-27,195.5,200.859,193.625,195.74,705595.285158
2026-04-28,193.015,193.015,185.53,192.34,874508.840737
2026-04-29,191.67,191.72,181.7,183.5,825505.752451
2026-04-30,185.95,195.51,184.26,195.02,1110150.590195
2026-05-01,195.05,195.8499,184.0,184.97,1072356.692814
2026-05-04,185.725,185.725,177.67,180.26,1287869.221789
2026-05-05,182.05,182.5,166.5,166.69,1760444.858646
2026-05-06,166.88,178.0,166.02,174.37,1422540.126915
2026-05-07,174.275,174.275,165.5,168.18,1100541.326356
2026-05-08,167.56,169.92,164.61,168.29,918267.247438
2026-05-11,164.75,168.3363,158.3,166.45,1388967.536378
2026-05-12,167.0,173.47,164.51,168.86,1210949.127517
2026-05-13,166.42,166.42,156.0,160.99,1368795.692843
2026-05-14,160.0,166.99,160.0,165.27,968516.704625
2026-05-15,162.31,163.075,157.11,158.0,931848.734236
2026-05-18,158.11,164.31,158.07,161.52,928857.077766
2026-05-19,161.0,162.03,157.005,160.23,719918.571327
2026-05-20,161.35,164.38,157.25,163.87,727928.73339
2026-05-21,161.02,165.27,158.85,163.09,639165.167593
2026-05-22,164.16,174.505,164.1101,174.23,1166306.93287
2026-05-26,182.81,187.515,175.5,182.26,1644395.388893
2026-05-27,182.5,183.0,175.56,181.28,1113590.637671
2026-05-28,199.935,217.77,195.55,214.39,4163488.68937
2026-05-29,216.09,216.275,196.22,207.24,2739783.202093
2026-06-01,202.68,208.94,198.14,204.09,1374806.378662
2026-06-02,203.9,204.51,196.6,204.35,1109968.450601
2026-06-03,201.51,201.51,189.13,191.47,1334075.961506
2026-06-04,190.95,205.552,189.12,204.4,1021650.513167
2026-06-05,199.29,200.87,181.2,185.92,1121877.077998
2026-06-08,187.01,190.22,183.93,184.68,903590.287269
2026-06-09,184.02,186.88,169.0,176.51,1108403.148583
2026-06-10,173.89,177.5,172.0,172.93,813848.518073
2026-06-11,172.17,184.55,170.1001,183.69,684096.02692
