date,open,high,low,close,volume
2026-02-13,0.061,0.061,0.061,0.061,4017.0
2026-02-17,0.071,0.071,0.0611,0.0611,6124.0
2026-02-18,0.0562,0.0562,0.0562,0.0562,1134.0
2026-02-20,0.0562,0.0601,0.0562,0.0601,74474.0
2026-02-23,0.06,0.062,0.06,0.062,16547.0
2026-02-24,0.0617,0.0617,0.0617,0.0617,4013.0
2026-02-25,0.0561,0.0847,0.0561,0.0847,6619.0
2026-02-26,0.0843,0.0843,0.0843,0.0843,31988.0
2026-02-27,0.089,0.089,0.0561,0.06,610.0
2026-03-02,0.0562,0.0726,0.0562,0.0726,6310.0
2026-03-03,0.0564,0.0564,0.0564,0.0564,380.0
2026-03-04,0.0574,0.0887,0.0574,0.0574,2635.0
2026-03-05,0.0663,0.0663,0.0562,0.0576,9394.0
2026-03-06,0.0561,0.0562,0.0561,0.0561,4515.0
2026-03-09,0.0561,0.0561,0.0561,0.0561,1274.0
2026-03-10,0.0561,0.0561,0.0561,0.0561,762.0
2026-03-12,0.0562,0.0662,0.0562,0.0576,1004.0
2026-03-16,0.0562,0.0562,0.0562,0.0562,340.0
2026-03-17,0.0576,0.0784,0.0562,0.0562,1082.0
2026-03-18,0.0563,0.0563,0.0563,0.0563,169.0
2026-03-19,0.0779,0.0779,0.0562,0.0562,2372.0
2026-03-23,0.0563,0.075,0.0563,0.075,9411.0
2026-03-25,0.0608,0.0675,0.0607,0.0675,3309.0
2026-03-26,0.0573,0.0573,0.0573,0.0573,272.0
2026-03-30,0.0662,0.072,0.0573,0.0573,4093.0
2026-04-01,0.0562,0.07,0.0562,0.07,3263.0
2026-04-02,0.0677,0.073,0.0551,0.0551,5462.0
2026-04-07,0.0561,0.0561,0.055,0.055,6069.0
2026-04-08,0.0561,0.0723,0.055,0.0616,5005.0
2026-04-10,0.0688,0.0688,0.0599,0.0599,3638.0
2026-04-13,0.055,0.055,0.055,0.055,100.0
2026-04-14,0.055,0.0571,0.043,0.0571,10292.0
2026-04-16,0.043,0.0577,0.043,0.0573,2411.0
2026-04-17,0.05,0.0556,0.0453,0.0556,7785.0
2026-04-21,0.046,0.061,0.046,0.061,2306.0
2026-04-23,0.047,0.047,0.043,0.043,30025.0
2026-04-24,0.0512,0.0628,0.044,0.0514,9988.0
2026-04-27,0.0478,0.0478,0.0467,0.0467,6284.0
2026-04-29,0.052,0.0549,0.052,0.0526,1648.0
2026-04-30,0.043,0.043,0.043,0.043,1081.0
2026-05-01,0.043,0.043,0.043,0.043,1859.0
2026-05-04,0.043,0.043,0.043,0.043,15921.0
2026-05-05,0.0464,0.0464,0.038,0.039,9758.0
2026-05-06,0.049,0.049,0.038,0.038,1265.0
2026-05-08,0.038,0.038,0.038,0.038,6989.0
2026-05-11,0.038,0.046,0.038,0.038,1546.0
2026-05-12,0.0469,0.047,0.0448,0.0469,20295.0
2026-05-13,0.0496,0.0496,0.0496,0.0496,3297.0
2026-05-14,0.04,0.0496,0.04,0.0424,2425.0
2026-05-15,0.04,0.04,0.04,0.04,3000.0
2026-05-18,0.0496,0.0496,0.0496,0.0496,5274.0
2026-05-19,0.0494,0.0494,0.046,0.046,15200.0
2026-05-26,0.04,0.05,0.04,0.05,4659.0
2026-05-29,0.041,0.045,0.041,0.045,2229.0
2026-06-01,0.04,0.04,0.04,0.04,235.0
2026-06-02,0.045,0.06,0.045,0.06,28016.0
2026-06-03,0.04,0.045,0.04,0.0425,9223.0
2026-06-04,0.0442,0.0457,0.0402,0.0457,13907.0
2026-06-05,0.0589,0.0589,0.043,0.043,10287.0
2026-06-08,0.0466,0.0466,0.0411,0.0411,232.0
2026-06-09,0.042,0.042,0.04,0.04,8061.0
2026-06-10,0.04,0.04,0.04,0.04,27545.0
