date,open,high,low,close,volume
2026-02-12,80.01,82.125,76.8283,77.93,3242985.0
2026-02-13,78.3,80.175,77.82,79.32,1928038.0
2026-02-17,79.44,79.6,76.38,76.42,2273433.0
2026-02-18,76.76,78.85,76.265,78.29,1466136.0
2026-02-19,78.0,80.02,77.28,79.94,1591611.0
2026-02-20,79.4,79.58,75.8,77.21,1968181.0
2026-02-23,76.52,76.96,73.99,74.26,2181338.791943
2026-02-24,74.22,76.69,73.9285,75.7,1582063.082129
2026-02-25,75.92,75.99,74.27,75.11,1484972.68159
2026-02-26,76.1,79.97,75.5472,79.77,3139278.920282
2026-02-27,79.12,79.645,77.5,78.83,9752613.359603
2026-03-02,79.96,80.615,77.61,77.81,1795630.601275
2026-03-03,77.0,79.51,76.7,79.2,2412465.550991
2026-03-04,78.8,79.385,77.91,78.35,2078272.971365
2026-03-05,78.1,80.43,77.91,79.8,1562402.339736
2026-03-06,79.87,82.11,79.02,81.89,2559188.888824
2026-03-09,82.24,82.24,79.3275,81.43,2242259.324601
2026-03-10,80.96,81.47,75.8471,77.52,2261136.406084
2026-03-11,77.62,78.03,75.73,75.94,2078538.969512
2026-03-12,75.83,79.21,75.47,77.11,2327819.621109
2026-03-13,77.44,78.34,76.51,78.27,1532259.542386
2026-03-16,77.86,78.87,75.14,75.76,1987529.735219
2026-03-17,76.31,78.25,76.11,77.12,1422646.056261
2026-03-18,76.79,79.65,76.79,78.66,1747237.18273
2026-03-19,78.86,81.38,78.43,80.83,1981577.684485
2026-03-20,81.08,81.72,79.91,79.95,9122944.401882
2026-03-23,79.82,80.89,78.32,79.9,1410976.755968
2026-03-24,79.48,79.815,78.035,78.88,1350201.462241
2026-03-25,79.5,80.15,76.69,80.12,1105023.247472
2026-03-26,79.94,81.52,79.415,80.33,1096950.48278
2026-03-27,80.04,80.315,78.045,78.49,1092274.669962
2026-03-30,78.8,80.755,78.26,78.95,2132944.538551
2026-03-31,79.43,80.775,77.72,78.03,2081492.324611
2026-04-01,77.965,80.49,77.215,80.37,1732477.63407
2026-04-02,80.79,83.17,80.14,83.13,1562543.206418
2026-04-06,82.84,84.35,82.35,83.71,1313614.318335
2026-04-07,83.59,85.63,82.52,84.08,1528015.601017
2026-04-08,84.21,85.17,81.56,81.6,2130416.764818
2026-04-09,81.44,81.55,78.48,79.53,1368411.15587
2026-04-10,79.5,79.74,77.785,78.17,1269256.603033
2026-04-13,78.3,82.3299,78.3,81.81,1127799.32665
2026-04-14,81.65,83.11,80.75,81.42,1109976.997738
2026-04-15,81.76,83.29,81.15,82.3,1087931.563083
2026-04-16,83.21,83.97,82.34,82.69,727785.953949
2026-04-17,82.47,83.58,81.0801,81.77,1003111.907833
2026-04-20,81.63,82.552,80.3,80.71,833815.156056
2026-04-21,80.86,82.29,80.26,81.0,949620.848987
2026-04-22,81.28,81.82,76.01,77.37,3267798.490929
2026-04-23,76.38,79.105,75.5,79.01,1679964.893647
2026-04-24,78.29,79.54,77.395,78.74,913406.38646
2026-04-27,78.82,79.63,75.84,76.19,1230943.082468
2026-04-28,76.3,77.44,75.5,76.24,863402.911999
2026-04-29,76.57,77.0799,75.9,76.45,1068254.30481
2026-04-30,76.38,77.99,75.59,77.77,1141127.16525
2026-05-01,78.5,79.07,77.65,78.31,1008322.637388
2026-05-04,78.11,79.95,77.5,77.84,1173776.400673
2026-05-05,78.25,78.84,75.5,76.26,1253874.598925
2026-05-06,75.6,76.79,74.06,76.28,1480099.978559
2026-05-07,76.99,78.13,76.04,76.85,1544524.443114
2026-05-08,76.23,77.14,74.88,77.04,1253720.804781
2026-05-11,77.1,77.1,74.55,74.95,1441716.690901
2026-05-12,75.205,77.81,75.205,75.43,2448626.273895
2026-05-13,75.43,75.54,68.835,71.59,3552025.221832
2026-05-14,71.84,74.14,71.84,73.38,1983333.996805
2026-05-15,74.0,74.5,72.35,72.67,1744876.905139
2026-05-18,72.63,75.315,72.5,74.91,1755597.657977
2026-05-19,76.13,78.93,74.99,77.0,2129741.849317
2026-05-20,76.54,77.61,74.64,77.45,1373600.335323
2026-05-21,77.04,77.62,75.4,76.35,1770604.194888
2026-05-22,77.25,78.91,74.11,78.68,1876138.627721
2026-05-26,80.03,81.1,78.465,79.91,2679727.363874
2026-05-27,79.75,81.76,78.91,80.98,2110428.636628
2026-05-28,81.58,82.02,80.54,81.05,1870326.924718
2026-05-29,80.23,80.99,78.3,79.18,2993616.460027
2026-06-01,80.76,84.36,80.45,84.05,2848925.382787
2026-06-02,82.51,83.105,79.03,80.33,1999316.856284
2026-06-03,79.14,79.6,77.71,78.5,1493852.633049
2026-06-04,80.37,81.94,79.44,80.01,1191981.35263
2026-06-05,80.96,80.96,78.515,79.48,1543336.609849
2026-06-08,78.59,79.545,78.0399,79.23,1982905.504962
2026-06-09,78.89,80.35,77.875,78.94,1440542.154875
2026-06-10,78.16,79.565,77.16,77.29,1336727.447741
