date,open,high,low,close,volume
2026-02-02,3.57,3.65,2.85,2.96,1853214.0
2026-02-03,2.63,2.95,2.37,2.84,1466152.0
2026-02-04,2.86,3.43,2.5901,2.64,2681917.0
2026-02-05,2.52,2.6,2.39,2.4,873380.0
2026-02-06,2.71,2.97,2.54,2.81,26832580.0
2026-02-09,2.72,2.85,2.56,2.85,1531427.0
2026-02-10,2.8,2.948,2.68,2.68,1041183.0
2026-02-11,2.68,3.33,2.6001,2.96,2225680.0
2026-02-12,2.94,2.94,2.675,2.7,584477.0
2026-02-13,2.77,2.77,2.44,2.54,759988.0
2026-02-17,2.5,2.74,2.325,2.68,794793.0
2026-02-18,2.65,3.07,2.61,3.05,1833194.0
2026-02-19,3.3,5.47,3.25,4.13,49340785.0
2026-02-20,4.11,4.46,3.6636,4.44,5718683.0
2026-02-23,4.47,4.965,4.07,4.16,4014793.28998
2026-02-24,4.16,4.264,3.5,4.08,1827064.473713
2026-02-25,4.03,4.43,3.84,4.09,3944331.289149
2026-02-26,4.0,4.6274,3.9142,4.15,3175140.981559
2026-02-27,5.11,6.0,4.41,5.52,56084689.642472
2026-03-02,10.7,13.61,8.2001,11.8,90764725.637759
2026-03-03,24.76,29.7,21.89,27.68,68192585.964772
2026-03-04,17.445,22.19,12.77,18.57,29771208.062529
2026-03-05,16.92,27.54,16.87,19.0,51908079.69159
2026-03-06,25.255,29.22,20.52,22.36,34938284.868957
2026-03-09,24.85,25.4,17.6,18.74,20221442.984646
2026-03-10,19.0,20.8,16.9,20.76,11320377.912605
2026-03-11,19.17,22.46,18.65,19.45,8609152.583971
2026-03-12,22.48,24.29,20.9,22.46,13392840.699481
2026-03-13,21.0,21.0,18.32,18.71,5036569.978569
2026-03-16,17.81,17.8599,14.6,14.95,7268904.499237
2026-03-17,13.98,13.98,11.03,11.33,7320772.360377
2026-03-18,12.98,14.47,11.52,11.93,20588385.003899
2026-03-19,13.475,13.54,11.81,13.01,8981950.173828
2026-03-20,12.36,12.99,10.75,12.75,4827362.511465
2026-03-23,11.19,11.53,10.05,11.08,4199964.160665
2026-03-24,10.94,11.66,8.88,9.14,5135388.358033
2026-03-25,7.7,7.725,4.88,5.23,26357248.37847
2026-03-26,6.64,7.3,5.4,5.56,44157034.909389
2026-03-27,6.16,6.6299,5.67,6.27,17483259.890855
2026-03-30,6.09,6.49,5.39,5.48,12387021.221839
2026-03-31,4.76,4.84,3.78,3.9,14690332.910507
2026-04-01,3.68,4.09,3.5,3.85,8225128.639167
2026-04-02,5.2,5.4,4.12,4.21,44334660.798147
2026-04-06,4.13,4.41,3.9,4.24,10493071.006348
2026-04-07,4.27,4.78,4.11,4.19,25404749.706518
2026-04-08,3.2,3.77,3.08,3.77,15825936.503542
2026-04-09,3.78,3.86,3.39,3.59,9289599.805831
2026-04-10,3.49,3.5,3.12,3.2,6746853.484381
2026-04-13,4.1,4.13,3.47,3.69,19616775.248523
2026-04-14,3.24,3.5,3.24,3.35,4442397.850724
2026-04-15,3.41,3.4699,3.3,3.3,3792776.552439
2026-04-16,3.33,3.69,3.33,3.57,6609269.958964
2026-04-17,3.24,3.24,3.0,3.06,5820855.433837
2026-04-20,3.34,3.48,3.21,3.38,7203786.314999
2026-04-21,3.25,4.73,3.21,4.69,37571101.283131
2026-04-22,3.9,4.21,3.8,4.02,12998849.697118
2026-04-23,4.06,4.37,3.775,4.04,14763610.418689
2026-04-24,3.88,3.88,3.62,3.74,7064396.562254
2026-04-27,3.77,3.9,3.65,3.7,5046070.561306
2026-04-28,3.83,3.97,3.66,3.67,9345695.827118
2026-04-29,3.79,3.99,3.43,3.93,12125216.2885
2026-04-30,3.75,3.8,3.63,3.79,4118736.546811
2026-05-01,3.64,3.85,3.51,3.74,4201808.106079
2026-05-04,3.77,3.87,3.61,3.67,7742442.534833
2026-05-05,3.6,3.6,3.37,3.47,4805398.437226
2026-05-06,3.09,3.14,2.95,2.96,4448176.337319
2026-05-07,2.82,2.94,2.68,2.86,6179015.766816
2026-05-08,2.83,2.9666,2.7,2.89,4754219.605926
2026-05-11,2.89,2.9699,2.74,2.83,3186033.94944
2026-05-12,2.9,2.95,2.74,2.76,3142700.839745
2026-05-13,2.705,2.71,2.48,2.52,3780039.584574
2026-05-14,2.34,2.34,2.03,2.1,4180710.680436
2026-05-15,2.14,2.3111,2.13,2.23,4535085.095169
2026-05-18,2.18,2.29,2.08,2.1,4090466.132086
2026-05-19,2.1,2.3,2.07,2.19,3106952.855781
2026-05-20,2.14,2.14,1.97,2.05,3185627.604503
2026-05-21,2.09,2.17,1.96,1.98,3676102.895063
2026-05-22,1.98,1.99,1.77,1.89,5176952.929341
2026-05-26,1.81,1.82,1.6,1.67,5036674.918549
2026-05-27,1.535,1.56,1.44,1.46,3185498.478286
2026-05-28,1.56,1.63,1.48,1.54,5439836.554958
2026-05-29,1.51,1.51,1.41,1.45,3099201.838671
2026-06-01,1.79,1.81,1.56,1.64,16084952.407707
2026-06-02,1.55,1.59,1.47,1.49,4315885.583957
2026-06-03,1.51,1.54,1.48,1.54,4004959.037933
2026-06-04,1.45,1.46,1.37,1.4,2624063.136158
2026-06-05,1.4,1.4,1.31,1.32,2427981.935853
2026-06-08,1.35,1.435,1.32,1.36,45367372.792824
2026-06-09,1.31,1.45,1.27,1.31,13146858.603672
2026-06-10,1.32,2.93,1.32,2.06,199661679.197463
2026-06-11,1.98,2.08,1.4,1.42,58204743.956827
2026-06-12,1.38,1.53,1.35,1.4,15409580.403767
