date,open,high,low,close,volume
2026-02-02,201.4,205.2624,199.2,204.89,5406675.0
2026-02-03,202.3824,204.6,184.6076,185.7856,15853150.0
2026-02-04,182.16,185.3152,174.5,184.2852,15349600.0
2026-02-05,185.9712,187.8814,177.2688,177.7368,9673875.0
2026-02-06,177.7508,180.9576,174.7668,178.2868,13299100.0
2026-02-09,176.7474,177.5512,168.7692,169.482,16942900.0
2026-02-10,168.7808,175.2,167.0352,171.2456,14336900.0
2026-02-11,170.143,175.1118,167.9792,172.4976,16719550.0
2026-02-12,171.0984,175.4004,165.594,166.364,17071750.0
2026-02-13,166.16,167.68,162.864,165.624,15561900.0
2026-02-17,165.2476,166.7244,160.8216,165.606,12258525.0
2026-02-18,164.2504,171.7732,164.0,170.7996,16901400.0
2026-02-19,163.5548,165.6614,154.8404,160.298,22663550.0
2026-02-20,160.4988,163.1988,157.9414,163.0716,20140250.0
2026-02-23,162.0752,162.4,150.618,154.8332,19448446.9549
2026-02-24,155.6,163.32,155.2,162.7424,20130154.2956
2026-02-25,163.08,167.18,161.9136,166.52,18738818.85515
2026-02-26,167.18,171.684,166.524,170.0104,18878798.06935
2026-02-27,167.748,169.71,166.4,169.574,23009923.233125
2026-03-02,162.0,168.7828,161.12,167.1912,13576337.076625
2026-03-03,164.602,167.763,162.9352,166.1548,10960376.746025
2026-03-04,165.841,172.9096,165.18,170.1432,10469852.831775
2026-03-05,180.444,185.3636,178.888,184.5312,20321492.7249
2026-03-06,180.72,183.3904,178.1706,182.0172,9557048.08195
2026-03-09,178.4684,179.5568,173.6,177.6276,12966074.43415
2026-03-10,176.5,177.276,171.3812,174.8708,9619511.289875
2026-03-11,175.101,177.3812,171.0344,172.8968,6422295.36995
2026-03-12,170.9764,173.9268,168.5336,168.7084,6462846.85925
2026-03-13,170.2148,172.8,169.4076,169.6504,5727155.67655
2026-03-16,170.6202,173.5692,170.0776,171.7208,5047839.3201
2026-03-17,175.096,179.0132,174.16,177.6932,8277379.442075
2026-03-18,176.08,179.0949,175.1612,175.2556,6447232.805475
2026-03-19,175.1816,177.4688,170.4044,171.7716,5988495.56225
2026-03-20,171.7352,173.1676,170.3336,172.9616,11939803.787075
2026-03-23,176.3096,177.7024,174.7208,175.8716,8346123.23575
2026-03-24,174.5964,175.6916,170.6,171.626,8587029.80895
2026-03-25,171.9376,174.9956,167.2856,169.51,6238793.842325
2026-03-26,169.1256,171.0,167.3684,168.5504,8121895.387775
2026-03-27,167.96,168.1872,161.2116,162.4856,8977930.918125
2026-03-30,162.6,166.5429,162.0,164.7004,10225800.483475
2026-03-31,165.48,169.6,162.6206,168.4128,9462940.656475
2026-04-01,168.6732,170.006,162.0488,167.3824,8808761.438375
2026-04-02,165.7596,168.1096,162.6204,167.7724,5855065.17815
2026-04-06,166.25,176.83,166.25,176.19,8190509.757737
2026-04-07,174.416,175.88,169.71,173.41,9117794.852105
2026-04-08,181.07,186.65,180.09,181.0,8876847.486156
2026-04-09,180.03,180.98,173.82,176.6,7232477.731497
2026-04-10,177.15,179.41,171.55,173.46,5118347.727019
2026-04-13,170.71,177.76,170.59,177.25,5825279.521945
2026-04-14,178.26,182.55,178.0,181.12,5523047.701405
2026-04-15,183.33,186.6,182.3325,185.69,5933394.322545
2026-04-16,186.57,188.17,184.14,184.56,5853017.130051
2026-04-17,188.555,192.76,188.0,192.01,7881216.504325
2026-04-20,190.6,192.91,189.09,192.03,5372205.98138
2026-04-21,191.45,193.92,189.165,190.86,4282724.163004
2026-04-22,190.56,191.01,177.9,179.4,9374741.156524
2026-04-23,178.905,180.5,174.53,176.75,6009850.0072
2026-04-24,176.64,182.09,176.2,180.25,6320557.56897
2026-04-27,178.29,181.47,177.11,177.52,5734262.763703
2026-04-28,177.985,178.94,173.0,173.38,10931238.324749
2026-04-29,164.54,176.83,164.23,173.98,12303606.600469
2026-04-30,174.375,175.94,167.2,168.36,8644791.995273
2026-05-01,169.03,171.58,168.15,169.63,5444251.303703
2026-05-04,170.0,170.86,165.21,165.58,5568223.154146
2026-05-05,165.25,169.08,164.05,167.63,8002065.635622
2026-05-06,173.23,175.52,168.215,168.32,9043478.502236
2026-05-07,168.245,173.72,167.55,171.28,8120929.716692
2026-05-08,169.2,170.56,165.62,165.93,8860999.942822
2026-05-11,164.095,165.31,156.07,157.8,10544280.066436
2026-05-12,158.43,161.19,157.86,160.56,6892531.356127
2026-05-13,158.2,158.94,154.77,155.03,6829752.673401
2026-05-14,154.93,158.19,153.97,154.48,5678554.431314
2026-05-15,154.94,156.65,153.05,154.13,6776964.753856
2026-05-18,155.64,156.83,153.12,155.07,6976284.155103
2026-05-19,153.365,160.91,153.365,154.54,8389793.387367
2026-05-20,153.45,158.23,150.14,156.95,8111291.934092
2026-05-21,155.25,160.42,153.51,159.68,7470505.812864
2026-05-22,159.18,162.8,159.0,161.06,7380355.846681
2026-05-26,162.85,166.24,162.11,163.3,6370880.339034
2026-05-27,165.01,170.51,165.0,168.37,9932990.562342
2026-05-28,167.105,169.94,166.61,169.82,7323233.423016
2026-05-29,170.29,170.5,167.22,167.43,8489894.38051
