date,open,high,low,close,volume
2026-02-05,19.25,20.07,17.19,17.4,75287182.0
2026-02-06,18.775,20.7,18.7,20.47,74458617.0
2026-02-09,19.4,21.7499,19.33,21.45,48465701.0
2026-02-10,20.705,21.27,19.95,19.95,39536462.0
2026-02-11,20.56,20.56,19.02,19.47,33392361.0
2026-02-12,19.98,20.06,18.68,19.74,39889835.0
2026-02-13,20.24,21.595,20.0435,20.96,49138849.0
2026-02-17,20.61,20.68,19.77,20.15,30266339.0
2026-02-18,20.08,20.67,19.585,19.82,31158654.0
2026-02-19,19.5,19.96,19.25,19.96,31224342.0
2026-02-20,19.78,20.405,19.67,20.13,36288314.0
2026-02-23,19.5,19.68,18.81,19.22,30544456.612535
2026-02-24,18.75,19.6,18.65,19.44,30341834.14145
2026-02-25,20.5,22.17,20.485,21.5,60436298.909806
2026-02-26,21.45,21.6,19.915,20.44,41862430.841378
2026-02-27,19.74,19.85,18.88,18.98,33344907.246988
2026-03-02,18.9,21.16,18.82,20.4,52864205.496569
2026-03-03,19.55,20.1798,18.9708,19.57,37218381.964237
2026-03-04,21.0,21.867,20.66,21.12,62294024.85233
2026-03-05,21.03,21.34,19.9273,20.35,39345852.221766
2026-03-06,19.53,19.57,18.84,18.88,43815427.050347
2026-03-09,19.76,20.74,19.27,20.7,50898961.091291
2026-03-10,20.62,21.48,20.345,20.73,35360435.980003
2026-03-11,20.87,21.49,20.39,21.05,30490547.071958
2026-03-12,20.87,21.3,20.155,20.55,32206920.640352
2026-03-13,21.76,22.76,20.49,20.54,80720463.650073
2026-03-16,22.27,23.53,22.17,23.39,74365227.591877
2026-03-17,23.3,23.85,22.97,23.23,39542250.569915
2026-03-18,22.43,22.54,21.41,21.41,51632901.750052
2026-03-19,20.7,21.38,20.45,21.14,41480264.855061
2026-03-20,21.15,21.23,20.2237,20.94,65702644.873424
2026-03-23,21.2,21.79,20.53,21.27,47876450.826521
2026-03-24,21.13,21.4999,20.37,20.8,42099980.700799
2026-03-25,21.4,21.88,20.75,21.24,38254162.629783
2026-03-26,20.28,20.72,19.45,19.47,46059708.462833
2026-03-27,19.09,19.1399,18.28,18.39,52356793.136694
2026-03-30,19.18,19.19,17.84,18.3,55012322.732674
2026-03-31,18.51,19.985,18.36,19.78,70358315.359732
2026-04-01,19.98,20.38,19.5,19.69,41349892.579991
2026-04-02,18.855,19.54,18.3,19.45,39699966.70616
2026-04-06,20.0,20.97,19.97,20.6,41060335.411295
2026-04-07,20.06,20.22,19.3,20.17,34565097.236678
2026-04-08,21.73,21.96,20.64,21.52,39262401.063598
2026-04-09,21.19,21.85,20.475,21.08,35203504.547784
2026-04-10,21.58,21.77,20.99,21.28,28762536.776262
2026-04-13,20.98,22.03,20.68,21.51,54464228.630855
2026-04-14,22.36,23.16,21.095,21.48,71691726.267583
2026-04-15,21.68,22.44,21.15,22.34,40535659.676157
2026-04-16,22.385,22.5,21.56,22.44,34882099.710103
2026-04-17,23.02,24.11,22.67,22.95,63695631.927414
2026-04-20,22.18,22.755,21.58,22.53,37645827.431683
2026-04-21,22.65,22.82,21.69,21.71,36882403.285238
2026-04-22,22.85,23.44,22.69,23.31,47155771.759265
2026-04-23,22.615,23.05,21.65,22.0,40450266.83632
2026-04-24,22.41,22.51,21.67,22.14,26005811.006021
2026-04-27,22.03,22.41,21.43,21.55,31206450.107214
2026-04-28,21.01,21.675,20.58,21.48,28531465.123422
2026-04-29,21.27,21.3,20.19,20.66,32673515.011462
2026-04-30,20.73,21.42,20.52,21.4,24554904.482971
2026-05-01,21.66,22.09,21.44,21.88,29623502.405687
2026-05-04,22.16,23.17,22.16,22.79,43404933.710143
2026-05-05,23.2,23.345,22.56,23.1,34971150.847479
2026-05-06,22.995,23.47,22.63,22.91,36625953.217901
2026-05-07,22.6,22.73,21.38,22.0,36938688.894822
2026-05-08,22.0,22.395,21.48,22.17,28943947.64121
2026-05-11,22.02,23.365,21.955,23.02,40315673.600991
2026-05-12,22.37,22.5,21.23,21.67,45054168.432678
2026-05-13,21.43,21.685,21.03,21.18,25523630.611086
2026-05-14,21.2,22.65,20.69,22.0,37536507.963817
2026-05-15,21.28,21.33,19.85,19.87,50478472.491455
2026-05-18,19.34,19.39,18.29,18.73,47949102.256117
2026-05-19,18.49,18.955,18.29,18.63,29470640.952599
2026-05-20,18.78,19.645,18.6467,19.39,26657359.619073
2026-05-21,19.0,19.66,18.96,19.61,21697743.679537
2026-05-22,19.435,19.87,18.815,18.88,24657547.85864
2026-05-26,19.29,20.05,19.025,19.2,32480780.723055
2026-05-27,18.985,19.15,18.725,18.82,23750383.5815
2026-05-28,18.33,19.335,17.87,19.25,40003171.644147
2026-05-29,18.9,19.855,18.435,19.27,35376386.908373
2026-06-01,18.46,19.44,18.2,18.85,36037008.502515
2026-06-02,18.49,18.7,17.52,17.97,47615045.835807
2026-06-03,17.68,17.815,16.82,16.9,41575005.664058
