date,open,high,low,close,volume
2026-05-11,59.0,59.0,23.78,39.0,961901.087575
2026-05-12,39.65,40.0,22.73,25.4,549116.421485
2026-05-13,27.29,27.5,19.2,21.01,709666.576897
2026-05-14,19.77,29.0,19.35,27.1,816488.436891
2026-05-15,28.97,37.4999,24.0,36.01,1982622.854369
2026-05-18,30.24,30.36,25.01,28.36,1341193.518033
2026-05-19,26.54,26.7999,22.5,24.21,860491.75766
2026-05-20,24.11,29.12,22.8001,28.24,866135.470255
2026-05-21,28.95,32.4,26.8001,31.29,655268.407014
2026-05-22,30.7,30.7,23.7,24.38,1183110.641674
2026-05-26,24.36,25.8881,22.8,25.88,671112.025885
2026-05-27,25.8,29.47,23.5,28.68,686578.937992
2026-05-28,28.33,30.75,26.6,28.98,522426.586664
2026-05-29,27.94,29.5,24.825,24.88,547013.09671
