date,open,high,low,close,volume
2026-02-02,115.47,115.5,115.46,115.48,1934938.0
2026-02-03,115.51,115.52,115.49,115.51,2381123.0
2026-02-04,115.51,115.52,115.5,115.52,1512952.0
2026-02-05,115.53,115.53,115.5,115.5,3177807.0
2026-02-06,115.52,115.58,115.52,115.58,2038298.0
2026-02-09,115.6,115.61,115.58,115.59,2017871.0
2026-02-10,115.62,115.62,115.56,115.56,1656142.0
2026-02-11,115.58,115.6,115.58,115.59,1178335.0
2026-02-12,115.64,115.64,115.58,115.6,1480464.0
2026-02-13,115.635,115.7,115.63,115.69,1573314.0
2026-02-17,115.71,115.75,115.7,115.73,2108244.0
2026-02-18,115.74,115.75,115.69,115.71,1395797.0
2026-02-19,115.73,115.73,115.69,115.73,1569270.0
2026-02-20,115.74,115.75,115.73,115.75,1454828.0
2026-02-23,115.75,115.76,115.75,115.75,1202122.08672
2026-02-24,115.76,115.78,115.75,115.76,1518412.130399
2026-02-25,115.78,115.8,115.77,115.78,2056746.392092
2026-02-26,115.8,115.81,115.76,115.79,3121682.39739
2026-02-27,115.8,115.84,115.8,115.83,1496093.455136
2026-03-02,115.84,115.865,115.82,115.84,1900077.205344
2026-03-03,115.84,115.87,115.83,115.87,2435067.78598
2026-03-04,115.86,115.87,115.85,115.85,2096337.367941
2026-03-05,115.87,115.88,115.84,115.86,1951586.203634
2026-03-06,115.87,115.89,115.87,115.89,1767431.736534
2026-03-09,115.875,115.89,115.87,115.89,1640042.17841
2026-03-10,115.92,115.92,115.89,115.89,1768354.731533
2026-03-11,115.93,115.95,115.91,115.95,1599465.18051
2026-03-12,115.96,115.97,115.94,115.97,1888729.51288
2026-03-13,116.0,116.01,115.98,116.01,2034108.427716
2026-03-16,116.02,116.021,115.99,116.0,2849310.504936
2026-03-17,116.02,116.02,116.0,116.005,1784724.852428
2026-03-18,116.025,116.025,116.0,116.01,1481734.180518
2026-03-19,116.02,116.02,115.99,116.0,2241421.865495
2026-03-20,116.03,116.05,116.03,116.03,2010096.395624
2026-03-23,116.03,116.05,116.01,116.03,3574289.358438
2026-03-24,116.06,116.06,116.02,116.04,3431169.133203
2026-03-25,116.04,116.07,116.04,116.06,1569084.73176
2026-03-26,116.07,116.1,116.07,116.1,1814415.76789
2026-03-27,116.1,116.14,116.09,116.14,3160615.275175
2026-03-30,116.13,116.17,116.13,116.16,2167863.429934
2026-03-31,116.17,116.29,116.16,116.29,2390901.737265
2026-04-01,116.21,116.22,116.19,116.21,2941336.267746
2026-04-02,116.25,116.26,116.24,116.26,1991921.42702
2026-04-06,116.26,116.27,116.251,116.26,2018981.570958
2026-04-07,116.27,116.28,116.26,116.28,1609912.968536
2026-04-08,116.28,116.28,116.26,116.27,2252430.939852
2026-04-09,116.28,116.29,116.25,116.26,1912247.033354
2026-04-10,116.28,116.32,116.28,116.31,2909003.60333
2026-04-13,116.32,116.34,116.28,116.28,3727138.731974
2026-04-14,116.3,116.31,116.29,116.3,2513763.347562
2026-04-15,116.32,116.34,116.3,116.33,2284642.97943
2026-04-16,116.34,116.36,116.3,116.36,2098048.248208
2026-04-17,116.38,116.4,116.35,116.39,2451681.989851
2026-04-20,116.41,116.43,116.38,116.42,2071492.859929
2026-04-21,116.45,116.45,116.43,116.45,2270929.308387
2026-04-22,116.44,116.45,116.44,116.45,1576029.588593
2026-04-23,116.45,116.47,116.45,116.47,1771728.267956
2026-04-24,116.5,116.51,116.49,116.5,1808243.097617
2026-04-27,116.53,116.53,116.49,116.49,2091015.40988
2026-04-28,116.51,116.52,116.49,116.51,1820041.448632
2026-04-29,116.51,116.52,116.5,116.51,1315164.167056
2026-04-30,116.54,116.565,116.52,116.53,2588248.475788
2026-05-01,116.56,116.58,116.55,116.57,2087602.950752
2026-05-04,116.6,116.61,116.57,116.59,1900042.189152
2026-05-05,116.59,116.6,116.58,116.59,1957930.142202
2026-05-06,116.6,116.62,116.57,116.59,3297914.951245
2026-05-07,116.62,116.63,116.58,116.61,1825541.85195
2026-05-08,116.63,116.665,116.62,116.65,1967487.608231
2026-05-11,116.66,116.66,116.65,116.65,1953364.270243
2026-05-12,116.66,116.68,116.65,116.67,1733475.844187
2026-05-13,116.67,116.68,116.67,116.67,1708704.896867
2026-05-14,116.68,116.71,116.68,116.69,1788449.653648
2026-05-15,116.7,116.76,116.7,116.73,3339519.22864
2026-05-18,116.76,116.77,116.74,116.76,2223037.570615
2026-05-19,116.77,116.78,116.75,116.77,2005826.151366
2026-05-20,116.77,116.78,116.76,116.77,1790113.907864
2026-05-21,116.76,116.795,116.76,116.78,1748746.4003
2026-05-22,116.82,116.87,116.81,116.87,3440189.298093
2026-05-26,116.86,116.87,116.83,116.85,3112964.568391
2026-05-27,116.85,116.85,116.83,116.84,2358388.876907
2026-05-28,116.86,116.88,116.85,116.88,2118804.986552
2026-05-29,116.89,116.93,116.88,116.88,3073267.674123
2026-06-01,116.88,116.91,116.88,116.91,2763116.765304
2026-06-02,116.91,116.925,116.9,116.92,2430124.671794
2026-06-03,116.93,116.94,116.91,116.92,2362430.106459
2026-06-04,116.94,116.94,116.92,116.93,2193658.681068
2026-06-05,116.95,116.97,116.93,116.95,3751547.553296
