date,open,high,low,close,volume
2026-02-04,71.76,74.76,71.33,74.03,3065870.0
2026-02-05,74.87,75.28,72.42,72.67,3121952.0
2026-02-06,73.03,74.12,72.91,73.78,2275291.0
2026-02-09,73.51,73.99,68.46,68.67,5035448.0
2026-02-10,69.11,70.055,67.43,67.61,5264631.0
2026-02-11,67.17,67.505,65.68,67.02,7337689.0
2026-02-12,68.89,69.665,67.04,69.53,6743588.0
2026-02-13,69.68,70.6175,68.03,68.47,5035658.0
2026-02-17,68.94,70.1,68.46,68.83,5252878.0
2026-02-18,68.85,69.86,68.38,69.69,4371453.0
2026-02-19,69.49,70.235,68.895,69.42,3077926.0
2026-02-20,70.02,70.24,69.1,69.59,2414734.0
2026-02-23,69.19,70.16,68.805,69.16,3833798.856563
2026-02-24,69.02,70.49,68.62,69.84,3141893.558332
2026-02-25,70.03,70.65,69.2,70.05,2402710.586306
2026-02-26,70.62,71.84,70.4,71.22,3225997.813981
2026-02-27,71.87,72.23,71.15,71.82,4191943.650224
2026-03-02,71.6,72.91,70.78,72.36,2570170.87367
2026-03-03,71.48,72.66,70.52,72.16,2486523.172072
2026-03-04,71.83,72.15,70.765,71.85,2851157.274787
2026-03-05,72.27,73.8,71.925,73.12,3177337.890775
2026-03-06,72.98,73.73,72.16,73.5,2426261.553037
2026-03-09,72.78,73.4,70.57,71.04,3227153.546188
2026-03-10,71.315,71.44,68.07,68.58,2905349.042216
2026-03-11,68.71,69.0,67.69,68.38,2306333.828907
2026-03-12,68.29,69.16,67.53,67.65,2845951.881867
2026-03-13,68.49,68.93,67.5,68.26,1923052.480176
2026-03-16,68.38,69.42,67.96,69.19,2667578.669988
2026-03-17,69.94,70.57,68.29,68.33,2158002.514872
2026-03-18,68.01,68.025,66.495,67.08,3363237.066776
2026-03-19,67.57,67.71,66.14,66.56,3026257.775401
2026-03-20,66.82,68.33,66.55,67.05,6025193.751473
2026-03-23,68.32,68.32,66.72,66.72,3470824.966746
2026-03-24,66.86,67.24,66.4,66.5,4930174.103662
2026-03-25,66.92,67.1,63.29,64.29,5118697.6028
2026-03-26,64.29,68.91,64.13,65.14,7018075.772302
2026-03-27,65.12,65.58,63.325,63.43,3221971.69412
2026-03-30,63.94,65.96,63.43,65.26,4774273.400696
2026-03-31,65.58,66.055,64.44,65.21,3288319.502983
2026-04-01,64.8,65.42,63.725,64.4,4012976.145394
2026-04-02,64.26,66.19,64.11,65.95,2473367.739836
2026-04-06,65.26,66.86,65.26,66.52,1955708.633984
2026-04-07,66.48,66.88,65.73,66.37,2546720.413819
2026-04-08,65.92,67.87,65.92,67.76,3086033.836153
2026-04-09,66.67,67.925,66.48,67.13,1916685.844213
2026-04-10,66.59,66.74,64.44,65.08,2336354.197318
2026-04-13,65.08,67.49,64.93,67.46,2409904.825778
2026-04-14,66.65,67.735,66.335,66.54,1978618.335901
2026-04-15,66.71,67.95,66.415,67.4,2213062.617038
2026-04-16,67.63,69.02,67.53,68.82,3065643.981951
2026-04-17,68.46,68.86,67.665,67.72,2317529.558286
2026-04-20,67.61,68.43,67.51,67.78,1735593.095464
2026-04-21,68.02,69.25,67.71,68.95,2095472.005816
2026-04-22,68.79,68.94,67.39,67.88,2051785.03863
2026-04-23,67.8,68.05,66.96,67.55,2281782.659271
2026-04-24,67.01,67.06,65.68,65.9,2158620.947884
2026-04-27,65.7,67.1,65.283,66.12,2934135.877515
2026-04-28,63.0,64.47,61.655,63.14,3973779.672319
2026-04-29,63.19,63.92,61.56,61.64,3816345.034845
2026-04-30,60.89,60.895,58.65,60.15,5841206.35795
2026-05-01,60.95,61.23,57.46,57.63,4793242.718936
2026-05-04,57.42,58.89,57.19,57.64,4295298.675645
2026-05-05,57.5,58.07,56.955,57.51,3253710.423404
2026-05-06,58.15,58.32,56.54,56.56,3257238.604216
2026-05-07,56.76,58.695,56.46,58.05,3431094.944961
2026-05-08,57.96,58.4211,56.1,56.45,3616474.345366
2026-05-11,56.01,56.74,55.2,55.35,5414938.546683
2026-05-12,55.58,56.745,55.33,55.77,5460062.974249
2026-05-13,55.12,55.33,53.8135,54.38,4192726.856467
2026-05-14,54.56,56.18,54.41,55.78,4549063.645978
2026-05-15,56.245,57.25,55.84,56.28,2784904.459571
2026-05-18,56.16,59.25,56.16,58.69,2855000.932805
2026-05-19,59.1,59.71,57.65,58.09,2526319.956224
2026-05-20,58.26,58.26,56.47,57.43,2231523.905021
2026-05-21,57.02,58.68,56.12,58.52,2356872.609323
2026-05-22,58.49,58.88,57.31,57.82,2549990.530786
2026-05-26,57.34,58.0,56.99,56.99,2627079.101301
2026-05-27,56.9,58.7,56.67,56.81,2861507.287333
2026-05-28,56.84,57.46,56.08,56.84,3442312.716684
2026-05-29,56.6,57.235,55.987,56.25,3709227.826163
2026-06-01,56.13,58.3,56.11,56.98,4506355.823356
2026-06-02,56.52,57.12,55.4,56.59,3833168.435033
