date,open,high,low,close,volume
2026-02-09,26.91,27.68,26.69,27.56,667598.0
2026-02-10,27.68,28.2201,27.63,27.89,700656.0
2026-02-11,28.1,28.13,27.25,27.7,1128665.0
2026-02-12,27.7,27.96,26.7,27.13,845020.0
2026-02-13,27.285,28.11,27.27,27.89,709562.0
2026-02-17,27.7,27.73,26.83,27.16,856943.0
2026-02-18,26.8,27.18,26.5,27.03,945448.0
2026-02-19,26.98,26.98,26.65,26.9,826054.0
2026-02-20,26.56,27.13,25.5,25.57,2359188.0
2026-02-23,25.3,25.3,24.165,24.3,2771832.64613
2026-02-24,24.09,24.85,23.97,24.37,4956630.609909
2026-02-25,24.51,24.98,24.15,24.98,1574492.261169
2026-02-26,25.08,25.86,25.05,25.69,2318629.225406
2026-02-27,24.955,25.13,24.64,25.11,1718338.550546
2026-03-02,24.84,25.525,24.77,25.35,1437326.738911
2026-03-03,24.68,25.9,24.64,25.74,1607940.881798
2026-03-04,25.65,26.21,25.57,26.04,1783491.805652
2026-03-05,25.94,26.9556,25.92,26.71,1905451.76625
2026-03-06,26.55,26.9,26.365,26.76,1700425.475818
2026-03-09,26.535,26.99,26.4101,26.88,1461954.353158
2026-03-10,26.89,26.98,26.13,26.69,1024762.577327
2026-03-11,26.7,27.17,26.44,26.75,974946.691921
2026-03-12,26.555,26.97,26.42,26.48,454216.014337
2026-03-13,26.49,27.02,26.21,26.53,408701.978345
2026-03-16,26.67,26.69,26.165,26.24,829901.930539
2026-03-17,26.22,26.95,26.202,26.34,465160.322203
2026-03-18,26.05,26.5999,26.0,26.21,772659.132952
2026-03-19,26.07,26.64,25.945,26.27,581370.706519
2026-03-20,26.15,26.15,25.57,25.74,1805935.248198
2026-03-23,25.94,26.5059,25.82,26.2,1124626.146849
2026-03-24,25.995,26.05,25.11,25.14,1111461.546252
2026-03-25,25.54,25.78,25.0,25.12,2053895.909144
2026-03-26,24.96,25.7161,24.91,25.19,693957.339321
2026-03-27,24.43,24.55,23.66,24.05,2271246.812404
2026-03-30,24.36,24.82,24.1001,24.3,1497360.584167
2026-03-31,24.57,25.27,24.4,25.11,1350008.396932
2026-04-01,25.37,25.47,24.83,25.34,664738.258634
2026-04-02,25.05,25.725,24.86,25.64,2313301.707624
2026-04-06,25.66,25.88,25.5596,25.84,811383.557503
2026-04-07,25.69,26.12,25.47,26.06,627250.12033
2026-04-08,26.785,26.99,25.95,26.03,835271.339012
2026-04-09,25.95,25.95,24.34,24.62,1195144.324414
2026-04-10,24.75,24.76,23.145,23.3,2707669.897366
2026-04-13,23.32,24.45,23.32,24.43,833568.113651
2026-04-14,24.61,25.0,24.12,24.24,858441.709742
2026-04-15,24.65,25.15,24.56,25.05,1093929.268787
2026-04-16,25.6,25.965,25.4,25.93,984758.221218
2026-04-17,26.39,26.52,25.98,26.15,1928620.183238
2026-04-20,25.99,26.6,25.93,26.57,1064998.680143
2026-04-21,26.71,27.56,26.57,27.07,1080896.064696
2026-04-22,27.29,27.54,27.16,27.41,726475.831364
2026-04-23,26.74,26.74,25.73,26.19,943711.863922
2026-04-24,26.36,26.525,25.9,26.49,554506.034239
2026-04-27,26.43,26.92,26.2,26.81,936722.599399
2026-04-28,26.97,27.2729,26.68,26.81,359534.583806
2026-04-29,26.8,27.17,26.4051,27.05,421610.725133
2026-04-30,26.7,26.7099,26.0,26.55,800577.857748
2026-05-01,26.95,27.36,26.61,27.05,948382.35518
2026-05-04,27.345,27.98,27.3,27.63,551924.973946
2026-05-05,27.85,28.095,27.43,27.97,600284.146687
2026-05-06,27.82,27.98,27.314,27.97,778990.601558
2026-05-07,28.83,29.63,28.82,29.34,1695511.409596
2026-05-08,29.865,30.83,29.315,30.81,1663877.871426
2026-05-11,30.59,30.86,30.26,30.55,1111797.625987
2026-05-12,30.55,30.6344,29.9047,30.08,604761.75581
2026-05-13,30.0,30.65,29.84,30.5,720704.119242
2026-05-14,30.5,31.38,30.0499,31.11,780266.348288
2026-05-15,30.98,31.885,30.76,31.67,1095288.87336
2026-05-18,31.66,32.86,31.54,32.82,1524330.479617
2026-05-19,32.9,33.42,32.56,32.75,1541104.547124
2026-05-20,32.345,33.49,32.16,33.49,1231352.555377
2026-05-21,33.12,33.535,32.995,33.47,724408.897693
2026-05-22,33.68,34.4295,33.68,34.35,766529.531305
2026-05-26,34.41,34.8,33.7,34.55,753595.084418
2026-05-27,33.13,33.43,32.73,32.79,1070805.497948
2026-05-28,32.93,34.0197,32.81,33.76,2234925.026163
2026-05-29,33.96,36.36,33.96,36.33,1537281.272776
2026-06-01,37.0,38.74,37.0,38.55,1744022.506639
2026-06-02,37.305,38.36,37.16,38.32,1822401.634424
2026-06-03,37.7,37.7,36.61,36.77,1503646.920445
2026-06-04,35.99,36.71,35.72,36.47,2005063.629098
2026-06-05,36.255,36.42,34.9201,35.22,1188456.246242
2026-06-08,35.19,35.3299,34.59,34.73,1115436.618764
