date,open,high,low,close,volume
2026-02-04,19.79,20.04,19.61,19.83,74814.0
2026-02-05,19.72,20.255,19.63,19.8,110130.0
2026-02-06,19.92,20.3,18.8901,19.97,126848.0
2026-02-09,19.8,20.09,19.39,19.72,118658.0
2026-02-10,19.63,20.0,19.33,19.53,79421.0
2026-02-11,19.72,19.95,19.1,19.24,82207.0
2026-02-12,19.45,19.545,18.79,19.18,52135.0
2026-02-13,19.16,19.41,18.73,19.19,52956.0
2026-02-17,19.24,19.59,19.09,19.29,56701.0
2026-02-18,19.26,19.72,19.1,19.32,83742.0
2026-02-19,19.22,19.5213,19.0,19.28,48761.0
2026-02-20,19.25,19.5368,19.15,19.33,44750.0
2026-02-23,19.4,19.5825,18.4,18.625,75896.208739
2026-02-24,18.62,18.66,18.39,18.57,48589.259497
2026-02-25,18.83,19.105,18.7,19.1,51062.966457
2026-02-26,19.19,19.305,18.8,19.07,26741.153026
2026-02-27,18.71,18.85,18.21,18.28,65072.97623
2026-03-02,17.84,18.6999,17.4154,18.48,67685.829096
2026-03-03,18.0,18.52,17.92,18.41,63034.671184
2026-03-04,18.55,18.75,18.0,18.47,65075.4559
2026-03-05,18.17,18.21,17.549,17.84,59071.461027
2026-03-06,17.56,17.81,16.62,17.7,96247.484225
2026-03-09,17.37,17.6,16.95,17.45,66944.026565
2026-03-10,17.31,17.96,16.99,17.58,97566.042709
2026-03-11,17.33,17.44,17.06,17.23,41526.0
2026-03-12,17.02,17.2,16.69,17.2,69986.05836
2026-03-13,17.31,17.4,16.74,17.08,66734.84197
2026-03-16,17.26,17.43,17.14,17.24,38248.05836
2026-03-17,17.37,17.49,16.7444,17.14,56983.63
2026-03-18,17.08,17.13,16.82,16.85,64861.0
2026-03-19,16.78,17.26,16.73,17.12,51165.940586
2026-03-20,17.12,17.17,16.77,16.94,191019.627441
2026-03-23,17.38,17.77,17.1,17.34,115360.238033
2026-03-24,17.13,17.52,17.13,17.31,70498.0
2026-03-25,17.51,17.65,17.31,17.49,54408.90203
2026-03-26,17.33,17.58,17.3,17.57,44835.76789
2026-03-27,17.6,17.6,17.3,17.44,47217.900823
2026-03-30,17.57,17.66,17.22,17.58,74983.0
2026-03-31,17.8,17.835,17.425,17.7,116857.921921
2026-04-01,17.83,18.13,17.78,17.9,88691.035051
2026-04-02,17.67,18.1,17.63,18.03,37676.824622
2026-04-06,18.0,18.23,17.99,18.19,47971.150875
2026-04-07,17.99,18.37,17.99,18.32,77842.830624
2026-04-08,18.84,19.0,18.52,18.71,85027.92192
2026-04-09,18.52,19.0,18.495,18.94,73416.461304
2026-04-10,18.96,18.96,18.57,18.92,59690.361
2026-04-13,18.8,18.95,18.72,18.86,69308.65467
2026-04-14,18.77,18.95,18.67,18.9,49518.595704
2026-04-15,18.89,19.09,18.67,18.81,50356.42571
2026-04-16,18.72,18.81,18.58,18.64,56636.45805
2026-04-17,18.88,19.502,18.88,19.16,127942.353475
2026-04-20,19.19,19.245,18.575,19.09,52408.05222
2026-04-21,19.05,19.16,18.58,18.6,45215.83644
2026-04-22,18.4,18.67,17.915,18.41,88644.227275
2026-04-23,18.48,18.66,18.25,18.52,51262.217078
2026-04-24,18.43,18.64,18.21,18.36,59374.333057
2026-04-27,18.27,18.65,18.27,18.56,55237.786076
2026-04-28,18.64,18.99,18.3531,18.75,127840.0
2026-04-29,18.58,18.85,18.05,18.13,82061.63997
2026-04-30,17.95,18.25,17.95,18.13,46582.01719
2026-05-01,18.21,18.44,17.96,18.34,40120.0177
2026-05-04,18.18,18.3129,17.94,17.98,49427.417682
2026-05-05,18.07,18.3699,17.91,18.27,41062.173352
2026-05-06,18.37,18.45,18.22,18.4,67915.5
2026-05-07,18.41,18.8622,18.39,18.51,87034.36649
2026-05-08,18.45,18.63,18.4,18.52,70732.041234
2026-05-11,18.48,18.88,17.97,17.995,57781.830234
2026-05-12,17.93,18.26,17.78,18.24,62413.542942
2026-05-13,18.04,18.445,18.02,18.13,42783.93612
2026-05-14,18.2,18.465,18.0201,18.19,45963.367564
2026-05-15,18.1,18.24,17.95,17.99,67973.355
2026-05-18,18.14,18.5,18.14,18.32,95890.386444
2026-05-19,18.2,18.54,18.09,18.34,63467.498238
2026-05-20,18.34,18.795,18.3,18.66,76756.0
2026-05-21,18.47,18.86,17.96,18.81,101757.879467
2026-05-22,18.87,18.895,18.64,18.72,51371.286315
2026-05-26,18.77,19.3399,18.6677,19.0,121629.026258
2026-05-27,19.0,19.4899,18.775,18.82,58215.654087
2026-05-28,18.74,18.98,18.6,18.98,43082.375195
2026-05-29,18.88,19.04,18.86,18.86,71839.439562
2026-06-01,18.71,18.9499,18.48,18.7,50488.284897
2026-06-02,18.61,19.255,18.44,18.95,46097.62282
