date,open,high,low,close,volume
2026-02-02,34.84,35.145,34.31,34.58,146841.0
2026-02-03,34.82,35.3,33.405,34.05,104305.0
2026-02-04,34.37,34.44,32.88,33.56,169258.0
2026-02-05,33.36,33.87,32.94,33.54,132910.0
2026-02-06,34.16,35.43,34.03,35.33,131806.0
2026-02-09,35.55,36.42,35.47,35.77,57232.0
2026-02-10,35.83,36.54,35.52,35.65,65237.0
2026-02-11,36.23,36.67,35.28,35.65,74981.0
2026-02-12,35.84,36.15,33.16,33.18,94325.0
2026-02-13,33.26,34.43,33.19,33.76,88724.0
2026-02-17,32.37,33.88,30.48,32.93,149865.0
2026-02-18,32.84,33.26,32.25,32.53,163846.0
2026-02-19,32.7,33.52,32.195,33.45,112491.0
2026-02-20,33.54,33.755,32.86,33.42,68163.0
2026-02-23,33.5,33.7,31.6677,32.13,104230.021367
2026-02-24,32.15,32.545,31.835,32.42,103524.261096
2026-02-25,32.78,33.09,32.03,33.05,55629.091048
2026-02-26,33.11,33.92,32.515,33.92,126026.37361
2026-02-27,33.41,33.69,32.425,33.54,96355.754
2026-03-02,33.1,33.715,32.9975,33.24,149970.562737
2026-03-03,32.48,32.8,31.43,32.57,116964.71
2026-03-04,32.92,33.27,32.38,32.94,102623.110629
2026-03-05,30.76,31.5,28.45,29.0,235695.082974
2026-03-06,27.44,29.475,27.44,29.27,283726.563216
2026-03-09,28.44,30.08,28.11,30.04,235797.964048
2026-03-10,29.69,30.1,28.6,28.89,282834.3933
2026-03-11,28.91,29.09,28.11,28.84,168228.134209
2026-03-12,28.35,28.55,27.64,28.24,204914.250673
2026-03-13,28.52,28.52,27.36,28.02,167754.361
2026-03-16,28.41,28.7,27.49,27.73,140066.837786
2026-03-17,27.93,28.165,27.115,27.54,117087.654639
2026-03-18,27.11,27.54,26.46,26.7,190213.044701
2026-03-19,26.35,27.03,26.015,26.69,232447.669617
2026-03-20,26.81,27.505,25.96,27.06,1260174.9184
2026-03-23,28.08,30.69,27.8,30.09,415357.28973
2026-03-24,29.58,30.515,29.11,29.29,147884.858449
2026-03-25,29.51,29.8765,29.13,29.68,129795.0
2026-03-26,29.52,30.14,28.13,28.77,126118.339242
2026-03-27,28.61,29.11,28.2007,28.63,147046.479052
2026-03-30,28.67,28.68,27.65,27.9,159927.6344
2026-03-31,28.47,28.47,27.6,28.44,175029.515708
2026-04-01,28.64,30.21,28.64,29.51,113968.131
2026-04-02,28.95,29.98,28.53,29.65,95402.374324
2026-04-06,29.48,29.82,29.06,29.52,100821.751677
2026-04-07,29.33,30.45,28.64,29.7,105377.457502
2026-04-08,31.04,31.55,30.34,30.63,104173.122221
2026-04-09,30.39,31.11,30.27,31.09,70477.502618
2026-04-10,31.09,31.44,30.641,30.81,41545.834332
2026-04-13,30.72,31.39,30.505,31.34,82608.824765
2026-04-14,31.49,32.2,31.41,31.905,90975.347535
2026-04-15,32.15,32.15,31.4901,31.79,90905.068
2026-04-16,31.66,31.9,30.8,30.9,70559.778448
2026-04-17,31.75,32.27,31.57,31.82,93534.726
2026-04-20,31.82,31.96,31.28,31.41,90214.878003
2026-04-21,31.48,32.36,31.065,31.1,125475.614442
2026-04-22,31.25,31.425,30.25,30.9,100692.3542
2026-04-23,30.81,31.59,30.49,31.45,81402.035987
2026-04-24,31.27,32.17,31.235,31.86,60609.347
2026-04-27,31.64,31.86,30.94,31.09,48719.956595
2026-04-28,30.94,31.14,30.65,31.08,90661.888192
2026-04-29,30.71,31.67,30.35,30.5,108417.529437
2026-04-30,30.5,31.6,30.4,31.56,124150.672132
2026-05-01,31.7,33.06,31.65,32.76,133720.9279
2026-05-04,32.76,33.125,31.88,32.47,76804.1359
2026-05-05,32.57,34.03,32.57,34.0,140788.264516
2026-05-06,34.43,35.84,32.205,35.8,222537.854553
2026-05-07,36.12,37.52,34.19,34.75,132632.683313
2026-05-08,35.24,35.95,34.51,34.77,214022.880754
2026-05-11,34.52,35.35,34.05,34.07,151075.556252
2026-05-12,33.88,33.88,32.98,33.36,125893.613366
2026-05-13,33.06,33.47,31.96,32.75,137648.132026
2026-05-14,32.87,33.61,32.31,32.88,163623.918313
2026-05-15,32.28,32.28,31.0,31.16,114509.209636
2026-05-18,31.3,31.82,31.19,31.54,128854.665
2026-05-19,31.03,31.25,30.41,30.65,109535.516
2026-05-20,30.68,31.27,30.49,30.97,161317.293912
2026-05-21,30.55,31.32,30.33,31.08,96351.822187
2026-05-22,31.12,32.0,31.03,31.73,99786.75089
2026-05-26,32.0,32.76,31.935,32.61,130011.061933
2026-05-27,32.93,33.78,32.72,32.86,106125.156
2026-05-28,32.81,33.11,31.9301,32.79,80947.143008
2026-05-29,32.71,32.82,31.36,31.53,137454.536604
2026-06-01,31.09,32.05,31.0,31.76,83183.513109
2026-06-02,32.01,32.55,31.65,32.52,107424.487386
2026-06-03,32.51,32.69,31.59,31.74,106160.211816
2026-06-04,32.08,32.93,31.96,32.72,104126.898
2026-06-05,32.72,32.72,32.17,32.44,64893.3903
