date,open,high,low,close,volume
2026-02-02,202.92,206.745,201.1,206.04,735655.0
2026-02-03,210.0,212.99,204.49,210.88,841317.0
2026-02-04,211.0,211.0,183.5101,190.1,1923580.0
2026-02-05,186.11,192.2837,184.25,187.42,1111503.0
2026-02-06,193.49,198.79,192.0,197.19,1267630.0
2026-02-09,197.58,206.46,196.52,203.0,961109.0
2026-02-10,203.5,203.5,198.2216,199.83,846104.0
2026-02-11,203.0,204.62,194.13,198.5,599133.0
2026-02-12,203.01,205.9099,196.6,196.9,656603.0
2026-02-13,198.07,202.79,193.2801,200.4,833201.0
2026-02-17,197.47,203.08,195.94,201.09,532547.0
2026-02-18,203.26,206.0,200.0,202.25,511090.0
2026-02-19,201.67,209.22,201.17,209.07,552726.0
2026-02-20,207.74,212.7,202.8001,206.44,824042.0
2026-02-23,204.0,206.0023,197.62,198.38,989039.388685
2026-02-24,211.48,215.81,200.5459,204.23,1404631.65907
2026-02-25,206.88,211.0299,203.985,208.27,1101340.786404
2026-02-26,209.49,210.93,201.09,207.24,1098042.178945
2026-02-27,203.63,207.58,202.61,205.98,800666.655193
2026-03-02,204.73,218.6499,204.69,216.47,1253052.716989
2026-03-03,210.94,212.73,199.785,205.83,1093968.417498
2026-03-04,205.75,208.93,201.01,205.57,678021.894402
2026-03-05,202.5,204.21,190.03,195.5,1274309.053051
2026-03-06,190.0,198.75,189.34,195.23,728922.727689
2026-03-09,194.0,201.505,193.225,200.39,1027859.536611
2026-03-10,199.965,202.43,195.67,195.91,816897.901756
2026-03-11,194.9,199.1399,193.25,195.98,811951.437131
2026-03-12,196.03,199.5,191.0,197.82,1198940.931856
2026-03-13,200.0,200.615,188.84,194.13,1375716.176545
2026-03-16,197.31,205.96,197.295,204.67,1429443.381307
2026-03-17,203.57,208.13,202.93,207.48,915768.84252
2026-03-18,207.48,212.52,206.49,208.98,1142230.948991
2026-03-19,202.04,212.8699,200.55,210.12,1060978.717917
2026-03-20,209.66,211.5099,197.22,199.75,1632860.460889
2026-03-23,199.82,210.22,199.82,204.85,789434.781064
2026-03-24,203.0,208.305,202.25,204.76,802635.923977
2026-03-25,211.35,222.29,209.76,222.13,1348408.93109
2026-03-26,217.72,219.8,204.5,205.09,1471157.481726
2026-03-27,202.8,207.9699,202.0,202.59,923477.245539
2026-03-30,204.19,204.365,189.0,191.59,1038499.125525
2026-03-31,195.09,205.74,194.295,204.49,1011175.122726
2026-04-01,206.59,216.07,206.59,212.81,1125113.927683
2026-04-02,207.0,218.85,205.069,214.98,679784.436158
2026-04-06,217.12,218.77,214.39,215.98,693919.807584
2026-04-07,215.82,218.09,211.6983,214.44,829809.804425
2026-04-08,224.09,233.17,224.0,231.78,1576663.377832
2026-04-09,231.4,237.9,230.24,230.29,1112250.245306
2026-04-10,230.38,233.68,228.4729,229.57,759785.938465
2026-04-13,229.01,234.27,228.0,232.83,673778.096227
2026-04-14,236.32,239.64,233.52,238.27,710708.20194
2026-04-15,238.21,240.4075,235.3301,238.42,782480.590973
2026-04-16,240.0,241.82,230.43,230.8,1020842.914442
2026-04-17,233.8,238.24,232.38,235.78,1385396.480067
2026-04-20,235.0,236.37,226.49,228.24,840328.547335
2026-04-21,229.0,229.9,216.0,216.66,1150486.696136
2026-04-22,220.84,224.85,212.86,219.1,1221172.682411
2026-04-23,222.39,226.45,218.0,225.51,1171597.761812
2026-04-24,226.0,227.77,220.44,223.15,858181.428898
2026-04-27,223.03,224.0,217.016,222.07,743401.703917
2026-04-28,218.37,221.11,212.0001,216.18,795694.464182
2026-04-29,216.22,216.2395,205.65,208.08,948533.367061
2026-04-30,209.8,217.11,208.5,216.39,1241441.976357
2026-05-01,217.0,218.26,213.0,216.31,609986.791996
2026-05-04,217.26,221.02,215.715,216.68,1059462.843017
2026-05-05,217.77,227.12,203.053,206.15,1708871.584758
2026-05-06,208.445,215.78,205.95,215.2,1028756.066705
2026-05-07,216.01,216.23,203.57,209.89,1502358.429099
2026-05-08,212.73,213.46,203.3766,205.33,1007350.635458
2026-05-11,201.65,212.1,199.23,210.8,1028472.82217
2026-05-12,207.13,207.755,201.1532,206.83,1241083.685578
2026-05-13,206.9,209.66,201.1501,206.83,1040100.582252
2026-05-14,207.16,211.575,205.037,210.94,1065286.843498
2026-05-15,208.22,209.0,202.25,204.72,848839.645074
2026-05-18,206.15,206.16,199.51,201.94,1012576.947986
2026-05-19,198.94,201.26,193.0,197.33,1070045.887812
2026-05-20,200.0,204.195,198.5006,202.66,731534.42232
2026-05-21,201.16,203.87,198.0,202.52,396656.591788
2026-05-22,204.55,206.22,201.75,202.91,457318.520534
2026-05-26,208.23,208.83,202.25,204.38,1115357.145423
2026-05-27,204.28,204.5,198.0,198.95,664681.04538
2026-05-28,198.84,200.405,196.0,199.27,921085.06411
2026-05-29,199.73,199.94,193.69,195.88,1278316.647253
