date,open,high,low,close,volume
2026-02-02,84.59,85.42,84.33,84.57,877127.0
2026-02-03,83.8,84.525,82.54,83.0,1059362.0
2026-02-04,83.77,86.77,83.335,84.78,941914.0
2026-02-05,84.12,84.945,83.3315,83.64,1348684.0
2026-02-06,81.28,84.76,81.28,83.24,2173396.0
2026-02-09,82.82,83.89,82.1,82.81,1210664.0
2026-02-10,83.01,84.65,82.4,84.43,1279315.0
2026-02-11,84.35,86.185,83.34,83.41,1087224.0
2026-02-12,84.4,85.74,81.89,82.17,837553.0
2026-02-13,82.14,82.77,81.3,81.99,949796.0
2026-02-17,83.13,84.05,82.505,83.22,799488.0
2026-02-18,83.33,85.3,83.33,84.75,605054.0
2026-02-19,84.33,85.27,84.16,85.06,580362.0
2026-02-20,85.45,87.3,85.19,86.2,765626.0
2026-02-23,86.0,86.0,81.69,83.62,808508.367797
2026-02-24,84.03,85.695,83.79,85.2,681274.000511
2026-02-25,85.21,85.455,83.8671,84.93,865514.95434
2026-02-26,85.51,88.09,85.39,87.71,1238375.264711
2026-02-27,85.95,86.555,83.1,83.23,1594592.657936
2026-03-02,81.26,82.79,80.1901,82.49,1011506.747497
2026-03-03,80.53,82.23,78.445,81.38,2037592.305116
2026-03-04,82.36,83.12,81.665,82.2,722545.507156
2026-03-05,81.71,82.47,80.7,82.03,772800.850192
2026-03-06,80.8,80.96,78.7,80.13,743274.459631
2026-03-09,78.64,80.65,76.86,80.5,1101560.444619
2026-03-10,79.9,81.11,78.95,80.23,866355.407243
2026-03-11,80.32,82.77,79.82,82.71,913355.200878
2026-03-12,81.48,82.41,80.42,81.3,1203397.118238
2026-03-13,81.7,82.24,80.9,81.64,1002870.532882
2026-03-16,81.5,81.75,79.66,80.04,1032221.510674
2026-03-17,81.05,82.27,80.675,81.83,781018.124471
2026-03-18,81.15,82.775,81.15,81.73,765537.498257
2026-03-19,81.15,83.38,81.15,83.06,904156.941656
2026-03-20,82.77,82.89,80.48,81.06,2330660.681153
2026-03-23,82.76,84.56,81.86,81.94,1207859.335791
2026-03-24,81.18,84.61,81.18,84.47,1022634.14075
2026-03-25,85.5,86.0,83.55,84.87,838750.612942
2026-03-26,84.44,85.1325,82.86,82.94,566685.408696
2026-03-27,82.35,83.37,79.473,80.16,788580.134668
2026-03-30,80.5,81.36,79.84,80.17,606147.454841
2026-03-31,81.37,82.86,80.36,82.18,738846.733291
2026-04-01,82.33,84.59,82.33,84.31,652334.021675
2026-04-02,83.55,84.6,81.98,83.74,604405.275468
2026-04-06,83.17,84.65,82.6001,84.29,721155.634088
2026-04-07,83.79,84.77,82.955,83.39,639695.015877
2026-04-08,86.32,87.27,84.98,86.21,925375.738305
2026-04-09,85.9,87.12,85.2,86.83,647462.243373
2026-04-10,87.18,87.18,86.175,86.5,580243.017177
2026-04-13,85.9,86.22,84.67,86.16,496036.887761
2026-04-14,86.33,88.1,86.09,87.75,675151.01612
2026-04-15,87.63,88.2,85.61,85.98,953136.437144
2026-04-16,84.98,86.12,83.91,85.25,1097299.995354
2026-04-17,86.36,87.865,86.1,87.52,598560.958379
2026-04-20,87.13,88.2,86.94,88.12,762177.61952
2026-04-21,88.19,89.02,86.76,87.4,790303.120545
2026-04-22,87.65,87.815,85.16,86.15,864293.51796
2026-04-23,86.85,89.42,86.735,89.15,1443401.493793
2026-04-24,82.55,85.69,80.1,83.88,3309740.283469
2026-04-27,84.0,87.74,83.7701,87.53,1299683.793887
2026-04-28,87.95,88.78,86.08,86.86,992325.050006
2026-04-29,86.49,87.41,85.47,86.29,772849.528166
2026-04-30,86.05,87.05,85.765,86.95,824834.198694
2026-05-01,86.62,86.8,84.285,84.5,831737.899724
2026-05-04,83.73,84.29,81.775,82.89,1380230.428031
2026-05-05,83.03,84.44,82.87,84.07,1250510.489026
2026-05-06,84.09,86.2,84.07,85.15,923322.182988
2026-05-07,85.58,86.46,84.37,85.24,858864.91319
2026-05-08,85.6,85.88,84.81,85.64,1067728.762909
2026-05-11,84.99,85.2,82.34,82.75,745220.177779
2026-05-12,83.09,83.4,82.08,82.21,932761.31926
2026-05-13,82.19,82.435,79.84,80.57,1031951.12537
2026-05-14,81.31,82.15,79.27,79.39,1043366.147913
2026-05-15,79.78,79.785,78.51,79.09,797503.806221
2026-05-18,79.46,80.42,79.01,79.09,851055.70082
2026-05-19,79.04,79.35,77.57,78.09,1009689.481904
2026-05-20,78.16,79.6,77.32,79.27,1262364.341439
2026-05-21,78.4,79.955,77.4,79.65,883298.796564
2026-05-22,79.79,79.86,79.04,79.31,871641.368572
2026-05-26,79.4,80.85,79.4,80.68,651540.233892
2026-05-27,81.35,82.93,81.35,82.22,738434.972382
2026-05-28,81.68,83.4,81.355,83.21,919457.54293
2026-05-29,83.25,83.8225,82.365,82.68,1482999.087749
2026-06-01,82.47,87.6975,82.27,86.84,1690357.80292
2026-06-02,86.28,86.635,84.825,84.96,1307582.052933
2026-06-03,84.81,87.359,84.45,86.94,1234493.221924
2026-06-04,87.6,88.46,87.34,88.38,966614.516283
2026-06-05,88.64,89.925,86.965,87.87,1192960.989428
2026-06-08,87.18,87.9706,86.17,86.58,1520158.177898
2026-06-09,87.15,88.75,86.325,87.77,1808063.882206
2026-06-10,87.28,89.18,86.55,86.82,1140158.777572
2026-06-11,86.93,87.86,85.25,86.55,916657.515085
