date,open,high,low,close,volume
2026-02-02,0.65,0.668,0.612,0.6153,18755626.0
2026-02-03,0.6272,0.6314,0.56,0.5953,22012111.0
2026-02-04,0.6025,0.6025,0.5536,0.5769,17249803.0
2026-02-05,0.5459,0.56,0.5,0.5013,26335760.0
2026-02-06,0.5402,0.5999,0.5301,0.5899,26625306.0
2026-02-09,0.5799,0.6169,0.561,0.6067,13118968.0
2026-02-10,0.59,0.6331,0.565,0.565,13257603.0
2026-02-11,0.57,0.5888,0.5537,0.56,11497106.0
2026-02-12,0.5564,0.5719,0.5,0.5004,16368277.0
2026-02-13,0.52,0.5283,0.47,0.4906,31935413.0
2026-02-17,0.485,0.4929,0.455,0.455,18093529.0
2026-02-18,0.455,0.48,0.44,0.4514,10369973.0
2026-02-19,0.4599,0.465,0.4386,0.4613,11048992.0
2026-02-20,0.4836,0.5039,0.455,0.455,11444964.0
2026-02-23,0.455,0.4562,0.425,0.429,15757027.790298
2026-02-24,0.4252,0.5,0.4252,0.4977,14612558.161504
2026-02-25,0.511,0.55,0.511,0.5309,15568639.739916
2026-02-26,0.55,0.55,0.5089,0.5186,8797905.060203
2026-02-27,0.51,0.51,0.49,0.4939,5553420.243119
2026-03-02,0.4748,0.5171,0.4709,0.509,9769268.220412
2026-03-03,0.5,0.5082,0.47,0.4799,6057333.486433
2026-03-04,0.5165,0.5549,0.5123,0.5355,15352224.140727
2026-03-05,0.54,0.5409,0.5055,0.5211,7958626.73665
2026-03-06,0.4982,0.5114,0.482,0.5114,9691167.959751
2026-03-09,0.496,0.515,0.49,0.5096,7143057.456984
2026-03-10,0.52,0.5263,0.4782,0.4782,10743174.318306
2026-03-11,0.4851,0.5149,0.4751,0.5074,10268787.217602
2026-03-12,0.4956,0.5198,0.486,0.5129,6668977.379449
2026-03-13,0.5285,0.547,0.4837,0.4839,15568964.447209
2026-03-16,0.508,0.5128,0.48,0.48,9611835.398799
2026-03-17,0.48,0.49,0.4724,0.476,8868334.97523
2026-03-18,0.478,0.4815,0.4558,0.457,14007047.679904
2026-03-19,0.45,0.4646,0.435,0.447,10355438.208619
2026-03-20,0.4488,0.459,0.4251,0.4382,11182695.737105
2026-03-23,0.4382,0.46,0.43,0.448,9072994.255787
2026-03-24,0.4472,0.4545,0.43,0.4346,6701201.540947
2026-03-25,0.4499,0.468,0.4475,0.4539,5712789.209272
2026-03-26,0.45,0.46,0.4115,0.4231,14170862.168311
2026-03-27,0.4141,0.4196,0.3952,0.4105,13850277.18683
2026-03-30,0.4187,0.42,0.3861,0.3861,12006766.162987
2026-03-31,0.4,0.4318,0.39,0.4318,7653718.334623
2026-04-01,0.4355,0.445,0.41,0.41,6037208.097822
2026-04-02,0.4,0.4249,0.396,0.4185,6933529.345377
2026-04-06,0.42,0.428,0.4101,0.4141,4806408.132577
2026-04-07,0.413,0.4199,0.4,0.4148,5189496.279003
2026-04-08,0.439,0.455,0.428,0.4398,11759207.54992
2026-04-09,0.4324,0.4441,0.4164,0.4426,8277983.915752
2026-04-10,0.4468,0.468,0.4426,0.4583,5664280.701703
2026-04-13,0.449,0.4802,0.432,0.4802,5371331.894055
2026-04-14,0.4999,0.53,0.4968,0.5116,14626636.513523
2026-04-15,0.5089,0.56,0.491,0.55,17532172.352522
2026-04-16,0.556,0.557,0.5155,0.5266,8602711.109829
2026-04-17,0.5512,0.5874,0.551,0.574,15841530.015141
2026-04-20,0.56,0.5835,0.5316,0.5705,13286652.31892
2026-04-21,0.576,0.5827,0.527,0.5291,11024712.603193
2026-04-22,0.565,0.589,0.55,0.55,9533171.772008
2026-04-23,0.5541,0.5554,0.495,0.5035,9528432.844594
2026-04-24,0.536,0.536,0.5128,0.5162,5189929.44024
2026-04-27,0.516,0.52,0.495,0.4988,6614296.13657
2026-04-28,0.5,0.5,0.48,0.4877,6636583.673014
2026-04-29,0.49,0.4903,0.469,0.48,5627552.729379
2026-04-30,0.478,0.5465,0.478,0.5332,34907392.074913
2026-05-01,0.535,0.543,0.5168,0.5176,7285443.57943
2026-05-04,0.526,0.56,0.525,0.54,11327123.914151
2026-05-05,0.5575,0.5648,0.53,0.5485,8129904.45779
2026-05-06,0.55,0.5599,0.5222,0.554,10348527.618139
2026-05-07,0.554,0.5547,0.515,0.515,7490955.260362
2026-05-08,0.525,0.5274,0.5006,0.5095,8163248.098549
2026-05-11,0.5,0.5149,0.4771,0.5,10350340.7764
2026-05-12,0.4944,0.5083,0.476,0.4896,9033262.558876
2026-05-13,0.4857,0.513,0.479,0.507,5800057.131622
2026-05-14,0.52,0.5274,0.49,0.5274,7481212.663902
2026-05-15,0.5001,0.5081,0.4802,0.5004,6260805.7307
2026-05-18,0.4988,0.499,0.4706,0.4827,6783535.004777
2026-05-19,0.4104,0.43,0.4015,0.417,19957181.10398
2026-05-20,0.42,0.4572,0.42,0.436,9128963.259576
2026-05-21,0.43,0.4349,0.4068,0.413,12576860.306362
2026-05-22,0.41,0.438,0.41,0.415,9820041.372438
2026-05-26,0.41,0.4221,0.402,0.403,11009070.588034
2026-05-27,0.4,0.4029,0.3861,0.395,14805694.479281
2026-05-28,0.395,0.415,0.3806,0.4115,10007848.301908
2026-05-29,0.4123,0.428,0.401,0.4133,9418873.348953
2026-06-01,0.4,0.4089,0.3931,0.4081,8743042.311132
2026-06-02,0.39,0.403,0.39,0.3944,7213690.081735
2026-06-03,0.39,0.3972,0.374,0.3756,9425231.582685
2026-06-04,0.3696,0.4046,0.36,0.389,8676264.274155
2026-06-05,0.38,0.3821,0.358,0.3581,18835712.247554
2026-06-08,0.365,0.37,0.3522,0.3543,7725001.433499
2026-06-09,0.3522,0.3648,0.3291,0.33,14909940.351798
