date,open,high,low,close,volume
2026-02-02,114.22,116.2,112.5001,115.48,316521.0
2026-02-03,115.52,121.46,114.59,121.12,592695.0
2026-02-04,123.61,129.5,122.04,122.89,627394.0
2026-02-05,121.64,121.99,113.055,114.615,692229.0
2026-02-06,114.44,121.09,114.44,120.42,569324.0
2026-02-09,120.09,120.94,117.66,118.72,453161.0
2026-02-10,118.37,119.95,115.93,116.71,907868.0
2026-02-11,116.71,119.23,114.02,115.9,448852.0
2026-02-12,117.39,120.82,114.43,116.5,407393.0
2026-02-13,117.86,119.77,115.41,118.35,667557.0
2026-02-17,118.53,123.05,118.53,122.1,1092642.0
2026-02-18,123.06,126.16,122.155,123.3,972319.0
2026-02-19,101.69,104.76,92.68,96.74,3097151.0
2026-02-20,95.76,96.86,90.92,96.47,2353696.0
2026-02-23,94.95,95.55,86.24,87.69,1219566.578636
2026-02-24,87.56,94.17,85.96,93.99,1417344.074522
2026-02-25,97.29,98.55,92.07,92.9,849572.853776
2026-02-26,92.8,97.54,92.09,96.54,639157.533285
2026-02-27,94.45,97.62,93.79,97.41,796141.18809
2026-03-02,95.0,96.905,93.82,95.71,501697.247291
2026-03-03,92.53,97.84,92.0952,96.98,692105.294646
2026-03-04,96.81,98.05,94.97,95.75,771057.441596
2026-03-05,95.82,99.49,94.51,97.05,331714.602211
2026-03-06,93.84,97.69,92.22,97.51,894199.85887
2026-03-09,96.05,97.26,92.31,95.89,619290.061347
2026-03-10,94.84,96.8,92.42,95.79,539758.033727
2026-03-11,96.81,101.68,96.65,101.185,403962.539809
2026-03-12,100.2,103.85,99.355,99.56,628045.617107
2026-03-13,99.77,102.1151,97.51,100.71,499614.919806
2026-03-16,101.54,102.87,95.725,97.98,497601.514378
2026-03-17,99.34,103.45,98.5421,101.88,377166.526782
2026-03-18,101.72,104.22,99.42,101.52,368724.432448
2026-03-19,101.69,102.6,94.29,100.44,754692.544932
2026-03-20,100.28,101.48,97.98,99.9,1486069.550866
2026-03-23,102.46,108.85,101.65,107.28,1278557.876194
2026-03-24,107.44,118.09,105.915,117.49,641800.238587
2026-03-25,119.07,123.62,115.57,123.56,761682.39334
2026-03-26,123.0,146.33,121.605,139.58,3505820.660849
2026-03-27,132.2,151.4,131.99,148.45,1836910.503384
2026-03-30,138.67,146.08,131.08,135.56,2241024.213349
2026-03-31,137.65,147.5,136.4068,145.85,1445857.901181
2026-04-01,147.52,170.4,146.82,170.07,1829749.949482
2026-04-02,170.0,191.51,166.24,190.42,1854014.14102
2026-04-06,182.8,214.84,182.8,212.6,2497556.992237
2026-04-07,217.01,256.99,209.6,255.15,6026746.401923
2026-04-08,248.0,272.4697,227.01,261.35,6686067.146703
2026-04-09,260.9,297.98,246.01,297.08,4668899.742402
2026-04-10,293.995,307.97,255.88,299.94,4173730.400981
2026-04-13,288.0,372.55,287.58,371.01,5030197.793327
2026-04-14,352.05,415.26,327.4401,411.56,6034176.110671
2026-04-15,394.425,410.9999,335.02,395.77,7170870.814084
2026-04-16,396.0,451.9999,363.1,448.98,6658319.21923
2026-04-17,438.67,501.66,422.08,493.86,4814910.401435
2026-04-20,491.26,612.58,476.0,608.8,5733761.717657
2026-04-21,624.0,765.94,569.27,713.97,12294839.203767
2026-04-22,774.99,847.6999,427.99,443.94,12229735.341912
2026-04-23,402.005,403.68,207.64,229.14,17263420.390538
2026-04-24,235.4,244.716,202.3125,204.0,6440861.056884
2026-04-27,190.54,204.1099,182.0,187.07,3732514.288849
2026-04-28,186.51,201.18,178.1501,182.005,3736025.564634
2026-04-29,157.16,189.97,155.0001,181.15,6737505.63517
2026-04-30,179.25,205.0,172.34,180.67,3772467.288689
2026-05-01,176.01,186.9,172.89,185.55,1676418.660459
2026-05-04,185.87,187.41,166.581,168.295,2234245.877895
2026-05-05,166.75,174.83,158.86,160.1,1514552.490105
2026-05-06,162.39,168.68,156.606,164.23,1191331.074231
2026-05-07,164.0,165.582,153.97,154.06,1072910.299847
2026-05-08,153.48,156.685,143.39,145.75,1253029.181676
2026-05-11,144.55,155.5399,143.5,151.19,787219.803239
2026-05-12,151.23,156.98,147.7601,150.54,476339.967041
2026-05-13,150.01,158.501,148.25,148.84,632919.185391
2026-05-14,149.31,154.92,140.44,148.76,789397.76103
2026-05-15,146.1,153.6,145.4996,150.12,455448.422026
2026-05-18,148.89,151.0,141.33,146.28,1323177.468527
2026-05-19,144.99,153.71,141.2001,151.08,1326273.566668
2026-05-20,151.03,155.5,147.11,152.8,423661.360061
2026-05-21,151.875,163.485,151.875,157.71,604726.164971
2026-05-22,158.76,170.875,156.81,167.05,3050524.350216
2026-05-26,169.95,178.5499,161.44,166.52,913264.364286
2026-05-27,168.29,173.0,161.52,165.1,1227168.373511
2026-05-28,165.0,178.76,163.85,174.88,800706.41071
2026-05-29,176.13,181.305,171.25,175.84,1607725.50373
2026-06-01,173.51,177.69,167.57,169.36,494089.577993
2026-06-02,168.82,174.61,167.38,172.38,359971.001145
2026-06-03,173.18,178.48,169.15,173.86,541274.693743
2026-06-04,175.5,181.0,172.82,176.8,2420187.534942
2026-06-05,175.43,177.69,170.3401,176.79,372806.224089
