date,open,high,low,close,volume
2026-02-06,65.085,70.35,64.56,69.96,4810989.0
2026-02-09,70.67,72.98,69.009,72.48,3547159.0
2026-02-10,72.45,72.86,68.81,68.93,2519193.0
2026-02-11,69.99,71.235,67.04,67.37,2601374.0
2026-02-12,68.54,69.3,63.2,63.61,2407517.0
2026-02-13,64.65,66.0999,62.83,63.5,2956291.0
2026-02-17,64.14,64.69,61.19,63.31,3186100.0
2026-02-18,65.98,69.06,65.6512,67.73,3338459.0
2026-02-19,66.73,68.5,66.245,68.44,3231282.0
2026-02-20,68.12,70.16,67.25,70.11,2755113.0
2026-02-23,69.22,70.64,67.725,68.35,3903415.721357
2026-02-24,67.19,69.5,66.15,67.8,4816242.491639
2026-02-25,78.55,86.48,77.22,85.67,17766965.729012
2026-02-26,85.01,85.75,79.5413,84.74,6898274.986467
2026-02-27,82.37,82.55,78.02,82.47,3881426.319792
2026-03-02,81.0,81.17,77.865,78.49,5061892.232606
2026-03-03,77.595,77.8,74.8101,77.07,3757939.199174
2026-03-04,76.88,79.69,76.0,79.52,2308337.923033
2026-03-05,79.54,81.835,77.675,79.37,3092049.860109
2026-03-06,76.66,78.91,74.8,78.59,3196102.861699
2026-03-09,77.91,81.88,76.27,81.81,2678715.192402
2026-03-10,81.5,82.22,79.75,80.02,3305040.509397
2026-03-11,80.02,80.75,77.01,80.5,2223207.901666
2026-03-12,80.19,82.07,79.01,80.35,2447469.694971
2026-03-13,81.13,83.34,80.68,82.0,2319055.60951
2026-03-16,82.38,87.76,82.25,87.25,3933412.067138
2026-03-17,87.5,91.31,87.395,90.52,3811342.814054
2026-03-18,89.9,91.8342,88.84,88.93,3019616.743941
2026-03-19,87.53,89.71,84.17,87.64,3282148.415846
2026-03-20,87.18,87.87,83.19,84.27,3253711.675711
2026-03-23,86.3,90.68,86.01,87.07,2697820.949144
2026-03-24,86.01,86.67,84.17,84.43,2699113.513844
2026-03-25,86.41,87.0,79.1,80.29,4988583.580724
2026-03-26,80.93,82.87,78.73,78.9,2872792.299589
2026-03-27,77.72,78.015,72.63,75.42,3857065.007122
2026-03-30,75.28,79.0386,75.0,76.94,2717525.698563
2026-03-31,79.27,81.74,77.99,80.9,2762652.05435
2026-04-01,82.26,83.44,79.0,80.14,2382628.671083
2026-04-02,77.71,81.37,77.2,79.63,2808206.996535
2026-04-06,78.52,82.59,78.25,82.13,1892420.054668
2026-04-07,82.65,83.84,80.5801,83.42,1772141.259133
2026-04-08,88.04,90.48,86.2,86.21,2781529.709147
2026-04-09,85.8,87.3199,84.55,86.15,1787833.284759
2026-04-10,87.14,87.8199,84.5183,84.94,2067943.755103
2026-04-13,85.4,85.67,83.28,84.21,1803760.72253
2026-04-14,84.5,88.56,84.5,88.18,2670631.442385
2026-04-15,88.59,90.25,87.5017,88.44,2011462.646363
2026-04-16,88.97,91.56,88.2215,91.24,3178529.539359
2026-04-17,92.92,96.7,92.5,94.78,3520448.281315
2026-04-20,95.89,97.85,94.51,97.39,3090214.847876
2026-04-21,96.25,98.79,93.92,96.27,2485026.647486
2026-04-22,97.14,98.55,95.0901,96.75,2966847.086214
2026-04-23,95.3,96.57,92.84,93.11,3280163.826514
2026-04-24,94.41,96.8,93.59,95.68,2453336.515755
2026-04-27,94.75,95.68,92.42,94.23,1625870.590489
2026-04-28,92.5,94.34,89.585,91.04,3064228.743282
2026-04-29,90.47,93.49,90.42,91.11,1891507.22022
2026-04-30,92.52,94.5,91.2188,93.41,2425105.380549
2026-05-01,93.96,96.19,90.5,90.98,2653093.833971
2026-05-04,91.6,93.02,89.075,89.19,1846678.406377
2026-05-05,89.6,90.64,89.1383,90.34,1369749.880209
2026-05-06,92.05,92.525,88.0,89.51,2085511.880495
2026-05-07,86.53,86.53,81.9,84.47,4948366.790976
2026-05-08,85.31,85.31,79.055,79.4,4021971.454425
2026-05-11,78.89,80.87,78.4939,79.99,3713625.695158
2026-05-12,79.45,79.64,76.51,77.18,3558030.288264
2026-05-13,76.87,77.61,72.05,72.3,3154028.593529
2026-05-14,72.51,77.26,72.5,76.09,2355757.458616
2026-05-15,75.44,77.88,75.07,76.87,1940050.333699
2026-05-18,77.22,80.97,76.8801,79.89,4119669.573852
2026-05-19,79.46,79.71,76.875,78.12,7581125.385791
2026-05-20,86.88,88.88,79.5,80.53,11328485.134254
2026-05-21,79.6,81.99,76.06,81.27,3414525.822542
2026-05-22,82.5,84.2499,80.16,80.42,2147077.480943
