date,open,high,low,close,volume
2026-02-13,73.31,76.0,73.31,74.84,372561.0
2026-02-17,73.66,75.19,72.56,73.43,237932.0
2026-02-18,72.48,74.48,72.48,73.23,237022.0
2026-02-19,72.86,73.5007,71.41,71.66,211816.0
2026-02-20,72.06,73.5596,71.61,71.85,242294.0
2026-02-23,71.66,71.775,69.255,70.0,239656.07005
2026-02-24,70.0,71.04,69.54,69.66,113364.559065
2026-02-25,69.2,69.2,66.0,67.09,193501.35626
2026-02-26,67.89,67.9,66.53,66.92,252461.497711
2026-02-27,66.58,68.11,66.17,67.23,228696.264259
2026-03-02,65.71,66.22,63.82,65.99,276142.652442
2026-03-03,63.98,66.1,63.02,65.44,260424.947153
2026-03-04,64.86,66.03,64.39,64.83,186576.21949
2026-03-05,64.03,64.54,62.6,63.11,162081.42836
2026-03-06,63.14,63.16,60.71,61.41,165456.795597
2026-03-09,60.14,60.74,57.66,59.98,366538.796083
2026-03-10,59.61,60.98,58.865,59.97,296857.882211
2026-03-11,59.58,60.38,58.46,58.6,264713.891553
2026-03-12,57.49,57.98,56.42,57.75,320883.241253
2026-03-13,58.3,58.315,56.77,57.68,235372.87314
2026-03-16,58.09,58.67,57.4,58.38,242719.912627
2026-03-17,58.84,59.26,58.0401,58.45,217343.350958
2026-03-18,58.15,58.2,56.105,56.36,249438.590813
2026-03-19,56.05,56.455,54.865,56.07,238670.986029
2026-03-20,56.12,56.45,54.38,55.66,993617.769782
2026-03-23,57.51,58.46,57.0,57.5,311607.614212
2026-03-24,56.83,58.2,56.795,57.58,213415.1555
2026-03-25,58.5,58.5,55.53,57.46,223625.357274
2026-03-26,56.98,58.1,56.67,57.33,160341.69198
2026-03-27,56.69,56.91,55.42,55.47,352645.974851
2026-03-30,56.29,56.52,55.01,55.57,296358.690428
2026-03-31,56.52,57.635,55.27,57.38,275055.08582
2026-04-01,57.05,58.38,56.84,57.41,205681.745446
2026-04-02,56.72,57.96,55.44,56.99,202278.587537
2026-04-06,56.51,57.925,56.17,57.74,144909.553198
2026-04-07,57.07,57.25,55.515,56.11,225574.1077
2026-04-08,58.33,59.97,58.065,59.16,268281.388568
2026-04-09,58.7,61.13,58.1068,60.68,318291.1368
2026-04-10,60.61,60.71,59.2,59.64,133442.527191
2026-04-13,59.64,60.355,58.24,60.32,164086.48326
2026-04-14,60.13,61.01,60.13,60.33,114593.3361
2026-04-15,59.92,59.92,58.75,58.82,201114.145677
2026-04-16,58.7,59.61,58.45,58.57,152027.849472
2026-04-17,60.33,63.57,59.96,62.3,277662.152668
2026-04-20,61.91,63.64,61.83,63.32,155530.122004
2026-04-21,65.25,65.78,63.51,63.81,258131.945263
2026-04-22,64.59,65.16,63.495,63.82,202243.076454
2026-04-23,57.48,59.35,55.31,59.29,581584.345892
2026-04-24,58.69,60.55,57.97,59.81,323594.680236
2026-04-27,59.5,60.0,58.63,58.96,255969.242601
2026-04-28,59.33,59.645,58.55,59.09,253737.881606
2026-04-29,58.27,58.27,55.45,55.47,382232.037853
2026-04-30,55.22,56.13,55.1,56.02,276991.396204
2026-05-01,56.47,56.47,55.38,55.55,189977.298476
2026-05-04,54.75,55.25,51.57,51.66,317213.141919
2026-05-05,52.27,53.315,51.69,53.25,292031.849872
2026-05-06,54.99,56.54,54.24,54.27,300569.01898
2026-05-07,54.67,55.33,53.77,54.51,404182.496898
2026-05-08,54.75,56.405,54.08,55.01,390095.553781
2026-05-11,55.14,56.4,54.86,55.24,606520.728233
2026-05-12,55.46,55.575,52.66,53.08,261073.080567
2026-05-13,52.52,53.195,51.4,51.95,247896.011253
2026-05-14,52.68,52.88,50.57,50.86,352699.940491
2026-05-15,50.65,50.77,47.84,48.41,411337.325769
2026-05-18,48.44,49.5,48.04,49.14,503645.416528
2026-05-19,48.51,48.9467,47.275,48.44,374519.315648
2026-05-20,48.8,50.56,47.6,50.43,508313.577817
2026-05-21,49.62,52.45,48.965,52.44,328683.532461
2026-05-22,52.36,52.53,51.56,51.95,196203.822436
2026-05-26,52.17,53.18,52.05,52.83,226298.636888
2026-05-27,53.26,55.4,53.26,54.16,212494.907781
2026-05-28,54.395,54.51,52.915,53.46,302854.121473
2026-05-29,53.5,54.4899,52.74,52.82,347792.283136
2026-06-01,53.38,54.89,53.045,53.79,482106.795887
2026-06-02,53.79,55.29,53.56,54.41,244239.191425
2026-06-03,53.75,54.76,52.85,54.08,341414.626153
2026-06-04,55.37,56.285,54.4901,56.2,344390.707788
2026-06-05,56.01,56.74,55.205,55.54,549537.289952
2026-06-08,55.51,56.37,55.1,55.37,380743.338214
2026-06-09,56.21,58.91,56.1,58.11,329605.625577
2026-06-10,58.04,58.82,56.99,57.25,537027.784149
2026-06-11,57.64,60.67,56.94,60.66,297401.131682
