date,open,high,low,close,volume
2026-02-02,66.8,69.16,66.6625,68.12,348435.0
2026-02-03,69.51,70.92,68.53,70.86,230884.0
2026-02-04,71.36,72.23,66.18,68.85,415386.0
2026-02-05,68.38,70.98,67.47,68.06,314976.0
2026-02-06,69.17,73.37,68.9,72.37,227504.0
2026-02-09,72.86,75.21,72.3001,73.78,213499.0
2026-02-10,73.75,75.65,72.3,73.49,296975.0
2026-02-11,74.83,77.11,72.11,76.18,293762.0
2026-02-12,76.94,77.58,72.04,75.12,378085.0
2026-02-13,75.22,79.17,74.59,79.14,302128.0
2026-02-17,79.12,79.96,75.45,78.93,535460.0
2026-02-18,79.04,81.7167,78.13,78.41,279655.0
2026-02-19,78.12,79.0699,77.25,78.24,338803.0
2026-02-20,78.15,80.35,76.97,78.78,328263.0
2026-02-23,77.94,78.9,76.16,77.68,392779.950723
2026-02-24,73.5,73.5,59.66,60.0,3104918.002643
2026-02-25,60.48,66.0,58.85,64.81,2184803.071545
2026-02-26,64.47,66.46,62.11,63.32,1657317.695035
2026-02-27,62.25,62.43,59.23,60.45,927034.067266
2026-03-02,59.96,61.065,57.73,57.81,1080738.050871
2026-03-03,56.0,56.33,53.95,54.17,1174368.051367
2026-03-04,54.17,56.78,53.54,55.51,820299.582063
2026-03-05,54.65,55.77,53.23,54.55,694212.925985
2026-03-06,53.01,53.47,51.92,52.53,837091.634958
2026-03-09,51.46,52.5,50.1,51.38,734198.231447
2026-03-10,51.89,55.67,51.38,54.34,811949.654023
2026-03-11,53.6,55.48,53.6,54.89,499217.485893
2026-03-12,56.71,57.65,54.0,54.285,627751.358139
2026-03-13,54.73,55.94,53.76,54.5,688943.753583
2026-03-16,55.53,57.335,54.525,57.06,674713.827399
2026-03-17,57.48,58.91,56.23,58.8,658521.81993
2026-03-18,58.7,59.54,56.16,56.28,637253.840065
2026-03-19,55.46,58.055,55.05,57.74,569976.616798
2026-03-20,56.89,57.51,54.7,55.28,904629.84017
2026-03-23,57.33,59.445,56.69,58.41,408744.514815
2026-03-24,57.73,62.39,56.89,62.04,714920.799188
2026-03-25,62.95,64.26,61.49,62.08,729470.53768
2026-03-26,61.13,61.49,60.01,61.09,527566.309225
2026-03-27,60.71,62.54,60.385,60.95,805549.15311
2026-03-30,61.44,61.44,57.02,57.02,577509.774533
2026-03-31,57.5,59.76,57.28,59.58,722672.42734
2026-04-01,60.69,62.54,60.6,61.5,392448.196789
2026-04-02,60.05,62.4,59.79,62.18,306001.149876
2026-04-06,62.82,62.82,59.715,60.34,463880.095147
2026-04-07,59.73,60.56,58.52,58.91,437859.813575
2026-04-08,62.2,63.71,61.72,62.61,616562.600588
2026-04-09,62.63,65.405,62.49,65.02,329773.347511
2026-04-10,65.14,65.615,63.83,64.24,366852.887133
2026-04-13,63.74,67.19,63.51,66.86,463501.931926
2026-04-14,67.01,67.68,65.55,66.07,371425.358378
2026-04-15,65.67,65.735,63.13,64.69,270204.220875
2026-04-16,64.49,65.4299,63.29,63.99,272057.33442
2026-04-17,65.28,66.82,65.097,65.27,255723.954632
2026-04-20,65.27,65.94,64.3,65.07,311064.356439
2026-04-21,65.25,66.17,61.03,61.47,330105.789388
2026-04-22,62.7,64.245,62.1,63.83,528720.853707
2026-04-23,64.5,65.12,63.15,64.8,430134.989755
2026-04-24,64.87,65.72,64.07,64.885,404884.070604
2026-04-27,65.73,67.1991,64.21,64.92,651069.599873
2026-04-28,67.74,75.49,63.52,74.29,2692389.695501
2026-04-29,75.93,75.93,71.71,72.48,957516.362674
2026-04-30,72.97,75.2,72.91,74.14,686386.097513
2026-05-01,74.23,75.095,72.67,74.3,500088.607282
2026-05-04,77.82,78.59,74.355,78.17,1799167.167544
2026-05-05,79.06,88.2399,79.06,87.78,1706813.729811
2026-05-06,89.13,90.25,85.1,86.25,1102902.721233
2026-05-07,87.47,87.47,80.34,81.38,888728.702891
2026-05-08,82.71,83.61,80.33,81.78,650903.74622
2026-05-11,82.0,84.275,81.37,81.5,701142.855092
2026-05-12,80.62,80.92,78.01,80.45,506050.011319
2026-05-13,81.98,84.43,79.15,83.14,716315.06041
2026-05-14,83.22,86.45,82.635,86.08,670513.470004
2026-05-15,83.99,83.99,80.5,80.84,433876.866797
2026-05-18,82.2,82.4311,78.65,79.44,694171.186443
2026-05-19,78.0,78.7,73.6201,78.32,902025.76959
2026-05-20,79.94,82.22,77.75,81.29,590909.618748
2026-05-21,81.0,82.0,79.23,80.68,409931.841751
2026-05-22,81.87,82.238,80.26,81.71,592476.984175
2026-05-26,84.048,90.415,83.24,89.87,1198342.78639
2026-05-27,90.76,92.0,86.25,86.95,680003.703472
2026-05-28,85.63,86.0082,77.5,83.31,2171806.799601
2026-05-29,82.72,83.08,73.14,74.75,2196668.029183
2026-06-01,75.22,79.735,74.1,79.03,1620953.504867
2026-06-02,79.87,84.84,77.9,78.47,1205374.729105
2026-06-03,77.93,80.99,77.1967,79.47,755432.286682
2026-06-04,80.57,82.77,79.05,81.1,1535370.748142
2026-06-05,79.35,81.0,77.075,78.02,1000513.419606
2026-06-08,79.31,81.64,78.5,80.53,764756.356622
2026-06-09,86.64,95.68,83.54,95.445,1582759.814162
2026-06-10,94.85,101.2399,92.12,92.29,1393751.692831
2026-06-11,93.755,97.88,93.755,96.41,814222.490138
2026-06-12,97.53,100.56,95.68,96.74,693919.931719
