date,open,high,low,close,volume
2026-02-02,279.19,282.98,268.9,270.88,4044473.0
2026-02-03,272.46,273.4,263.71,268.45,3584237.0
2026-02-04,268.95,268.95,245.02,250.46,7171952.0
2026-02-05,248.15,254.0,243.3,247.06,4001634.0
2026-02-06,254.145,263.96,252.38,261.42,6306535.0
2026-02-09,263.125,272.92,260.69,272.15,4182026.0
2026-02-10,275.815,276.4728,267.0,271.14,4603818.0
2026-02-11,272.605,277.57,268.255,276.85,3862099.0
2026-02-12,278.44,285.37,270.355,276.12,4893443.0
2026-02-13,275.99,294.36,272.0,288.43,5450262.0
2026-02-17,289.49,307.53,288.0,303.01,5259188.0
2026-02-18,305.71,310.655,290.6881,294.05,3794427.0
2026-02-19,292.48,298.2299,289.0,291.66,2550047.0
2026-02-20,291.93,297.23,289.88,294.84,3133990.0
2026-02-23,294.0,299.75,289.09,293.8,3223186.901382
2026-02-24,297.405,313.115,290.81,312.64,4652063.208451
2026-02-25,312.64,327.64,312.52,325.84,4999711.064724
2026-02-26,324.51,324.9194,308.71,323.56,3960940.6604
2026-02-27,320.0,330.145,318.6,329.88,3439504.348282
2026-03-02,321.94,333.8,320.724,327.16,3539354.890907
2026-03-03,313.0,328.4,309.13,324.87,4260329.596846
2026-03-04,323.76,326.59,318.0,322.85,2342496.679199
2026-03-05,317.59,332.42,317.59,332.07,3135152.599971
2026-03-06,327.05,331.5,317.5,319.06,3432375.014228
2026-03-09,312.26,323.95,309.03,322.99,2736854.551835
2026-03-10,322.71,326.0599,316.69,317.09,2316631.43181
2026-03-11,316.78,316.93,298.25,300.69,4343185.000484
2026-03-12,297.0,309.28,295.0,301.55,2750526.336643
2026-03-13,303.32,308.8,298.875,301.77,1988620.585686
2026-03-16,305.87,307.5,301.42,305.58,2208279.814123
2026-03-17,307.98,311.01,305.5538,307.69,2007768.836425
2026-03-18,308.99,322.65,307.55,317.22,2634656.162556
2026-03-19,313.945,318.3756,306.7,316.47,2386860.701848
2026-03-20,314.44,316.47,277.865,281.99,6107403.190177
2026-03-23,290.53,294.64,285.5101,289.76,2717857.369617
2026-03-24,286.44,299.259,286.44,294.85,2408062.47215
2026-03-25,302.77,309.19,300.33,303.32,2424369.551447
2026-03-26,301.0,303.0,285.67,295.19,3129186.812891
2026-03-27,295.91,306.94,295.91,301.49,2495206.468302
2026-03-30,303.57,310.0,295.0,298.61,2674958.249708
2026-03-31,275.05,284.925,270.89,279.25,6205186.237071
2026-04-01,282.438,286.7,277.3,279.46,3560384.629466
2026-04-02,271.26,275.64,264.74,272.82,3256691.935626
2026-04-06,273.645,277.77,272.48,275.16,2470856.480806
2026-04-07,273.91,275.63,267.7,272.58,2829330.660671
2026-04-08,283.0,288.0,281.24,284.27,2584939.987101
2026-04-09,284.57,293.595,280.03,280.25,3002443.363547
2026-04-10,280.41,293.0,280.0028,286.5,2691847.925606
2026-04-13,283.04,292.7,281.5,291.72,2696014.490121
2026-04-14,295.75,297.4,289.97,296.61,2284842.884663
2026-04-15,298.445,299.86,292.635,294.73,1930256.52583
2026-04-16,296.36,304.18,294.175,299.14,2897383.515418
2026-04-17,304.02,305.76,291.6,296.21,2266630.982708
2026-04-20,295.28,296.45,286.27,287.56,2479740.05282
2026-04-21,288.0,289.12,276.84,277.7,3395771.738288
2026-04-22,282.51,289.0774,282.34,287.16,2581864.249049
2026-04-23,289.42,293.7036,284.01,292.77,2767891.008964
2026-04-24,294.11,314.2,291.21,313.53,3609896.414636
2026-04-27,318.0,318.5,304.12,315.17,2372628.352819
2026-04-28,313.71,314.28,304.88,305.71,2631222.380524
2026-04-29,306.65,307.6665,294.26,297.0,2732913.032453
2026-04-30,302.86,314.57,300.91,313.0,2906422.820057
2026-05-01,312.51,317.24,307.62,307.81,2102480.678101
2026-05-04,308.78,325.4199,308.78,321.05,2833846.483662
2026-05-05,323.85,324.99,318.58,320.42,1895498.27544
2026-05-06,320.42,325.69,314.01,322.78,3062159.986878
2026-05-07,323.01,328.8,310.6583,311.28,2630163.667543
2026-05-08,314.87,317.65,301.76,303.63,2948643.556461
2026-05-11,315.3,317.74,288.83,299.69,6274249.677616
2026-05-12,298.69,300.71,287.5,293.6,3761523.541331
2026-05-13,289.2,292.0,268.98,274.89,6653711.925182
2026-05-14,274.7,278.6,273.8,275.26,3655483.901597
2026-05-15,270.65,273.195,266.57,267.2,3835685.004876
2026-05-18,267.2,267.87,258.9,262.0,3435800.476257
2026-05-19,258.48,261.21,256.1,260.67,3935830.673556
2026-05-20,273.39,282.6,270.2,281.26,4095620.332448
2026-05-21,281.53,288.0684,281.53,285.83,2366010.2861
2026-05-22,287.525,296.9,286.995,294.07,2879937.17856
2026-05-26,300.01,310.45,299.0801,301.57,3610754.824347
2026-05-27,300.62,300.81,286.69,288.68,3350405.828627
2026-05-28,285.225,289.89,281.11,286.31,2382824.467898
2026-05-29,286.44,290.9,284.67,287.75,2492825.372439
2026-06-01,275.0,278.61,264.21,265.7,11480632.080854
2026-06-02,266.99,275.0,260.3,272.65,7774745.990663
2026-06-03,272.715,274.5,265.23,267.24,4373119.959172
2026-06-04,266.855,268.645,261.2,264.59,3467152.556847
2026-06-05,261.0,261.865,253.68,254.83,4130674.743042
2026-06-08,256.095,256.095,250.14,250.67,3629446.873231
2026-06-09,252.655,256.4699,245.45,251.65,3546006.075877
2026-06-10,249.02,250.5422,240.51,242.3,4071684.894017
2026-06-11,244.975,248.31,242.9,246.71,5104136.565382
