date,open,high,low,close,volume
2026-02-02,208.84,216.1,204.0,213.61,2906301.0
2026-02-03,209.92,217.6,208.35,212.74,2356695.0
2026-02-04,215.56,227.33,214.82,224.18,3714841.0
2026-02-05,223.12,226.0275,219.6,223.53,2295583.0
2026-02-06,223.53,231.49,223.53,231.14,3346111.0
2026-02-09,231.14,238.65,227.0,238.25,2145589.0
2026-02-10,240.21,249.24,238.78,248.19,2683301.0
2026-02-11,247.17,248.99,239.45,241.07,2383988.0
2026-02-12,242.82,243.89,234.95,238.08,1713419.0
2026-02-13,238.98,242.04,236.545,239.09,1699721.0
2026-02-17,238.54,241.12,234.27,237.01,1343896.0
2026-02-18,236.48,241.15,236.03,239.14,1286169.0
2026-02-19,238.05,241.22,230.36,231.54,1456006.0
2026-02-20,231.95,233.72,226.15,230.16,1576329.0
2026-02-23,229.35,232.05,223.0,227.52,1307435.442296
2026-02-24,227.52,234.27,226.19,231.85,1165129.449101
2026-02-25,231.64,233.4312,225.0,225.75,1290513.956551
2026-02-26,226.48,230.43,226.22,228.38,1314220.704947
2026-02-27,228.325,237.83,225.685,234.63,2144382.306545
2026-03-02,231.46,234.79,227.32,232.8,1517586.477883
2026-03-03,225.99,233.73,225.99,229.41,1312913.799096
2026-03-04,229.29,232.97,226.02,232.0,1272023.350351
2026-03-05,229.96,236.6,228.965,229.94,1657785.978369
2026-03-06,228.87,234.55,227.5,232.24,1524621.83883
2026-03-09,229.24,229.72,221.53,222.81,1716747.006692
2026-03-10,222.23,222.78,216.9216,219.33,1889880.307398
2026-03-11,219.33,228.1,219.105,224.36,1684360.595001
2026-03-12,222.76,227.5,214.905,215.08,1490142.917267
2026-03-13,217.6,218.86,215.175,218.19,1024596.138356
2026-03-16,219.0,220.23,214.895,217.65,1192992.439334
2026-03-17,220.18,227.29,220.065,222.52,1137624.552181
2026-03-18,220.04,221.755,208.3288,209.0,1818732.482017
2026-03-19,209.165,216.105,208.35,211.63,1273066.645936
2026-03-20,210.66,216.44,209.0,213.01,2645257.43357
2026-03-23,217.075,219.22,212.37,216.61,1298470.997196
2026-03-24,215.67,220.87,215.5,217.6,1003989.305922
2026-03-25,219.725,222.61,212.96,218.91,1144877.435393
2026-03-26,218.7,221.76,215.3,218.51,1259639.718295
2026-03-27,218.51,220.39,214.43,219.14,1291672.65566
2026-03-30,219.51,224.94,217.53,220.94,2044370.212967
2026-03-31,221.65,224.743,211.44,215.88,5733771.644238
2026-04-01,213.17,217.5,208.52,216.27,1981713.918563
2026-04-02,216.46,221.32,211.61,219.79,1471214.038926
2026-04-06,219.5,224.4099,217.2906,219.98,869233.427243
2026-04-07,220.23,224.92,216.76,223.8,1045707.215057
2026-04-08,226.66,226.79,219.65,221.63,1367120.481961
2026-04-09,221.21,225.41,217.78,223.23,1304289.267718
2026-04-10,224.66,226.0,218.11,218.82,1364608.746342
2026-04-13,218.59,227.73,216.0,226.3,1858857.820406
2026-04-14,224.76,227.299,215.01,215.57,2429115.832452
2026-04-15,216.04,223.85,215.0,220.29,2028170.914505
2026-04-16,220.7,235.99,220.085,235.97,2058857.185637
2026-04-17,236.0,241.5,234.225,236.62,1778344.806158
2026-04-20,236.77,249.32,236.7,244.69,2188388.544341
2026-04-21,246.02,248.66,241.35,241.95,1929877.085305
2026-04-22,242.29,245.82,241.39,242.49,1612894.691358
2026-04-23,249.345,254.11,241.41,241.78,3609941.375402
2026-04-24,233.0,234.7099,178.0,180.13,13325309.882105
2026-04-27,178.91,183.9999,171.97,174.61,6206773.518791
2026-04-28,176.02,178.55,170.77,173.11,4775694.21871
2026-04-29,174.4,174.79,158.42,158.65,5615974.037717
2026-04-30,158.75,168.0,158.0,165.17,6130887.017615
2026-05-01,166.42,174.295,166.01,171.74,4041988.701244
2026-05-04,171.85,175.05,165.15,165.34,2909969.341628
2026-05-05,165.33,165.34,157.26,158.23,2923043.882073
2026-05-06,158.6,162.0,156.14,156.52,2951371.883159
2026-05-07,156.0,163.2,156.0,160.24,2231989.962764
2026-05-08,160.0,161.5,154.7,154.86,3089654.368397
2026-05-11,153.745,154.02,146.46,147.79,3535302.872521
2026-05-12,149.82,150.455,146.0,147.92,2546624.310327
2026-05-13,146.42,146.82,141.765,143.06,3944154.600361
2026-05-14,144.2,155.37,144.0,148.0,3752529.042548
2026-05-15,148.0,148.75,136.63,140.33,5620625.052696
2026-05-18,139.99,148.225,139.97,141.21,3631074.665806
2026-05-19,143.08,146.42,140.175,142.5,3815915.152172
2026-05-20,142.42,146.85,141.1,144.61,2876515.481942
2026-05-21,144.54,149.14,141.86,148.9,2568785.441985
2026-05-22,150.0,150.54,142.48,145.15,2101058.935227
2026-05-26,144.86,147.71,142.68,144.0,1997881.862445
2026-05-27,145.79,150.18,145.345,147.18,3041216.415505
2026-05-28,146.07,148.77,144.98,147.26,1611915.815836
2026-05-29,145.79,145.8,140.9,144.05,3831523.896955
2026-06-01,143.4,146.17,141.0,142.6,3107789.495135
2026-06-02,142.77,142.77,139.4,140.27,2543592.465974
2026-06-03,138.83,139.95,128.8,129.01,4396419.017357
2026-06-04,131.56,132.94,126.7,129.05,4247294.876844
2026-06-05,130.96,134.35,127.82,132.12,2732073.983663
