date,open,high,low,close,volume
2026-02-02,247.93,271.21,246.03,268.49,2534015.0
2026-02-03,276.55,284.79,266.2,276.52,3186562.0
2026-02-04,277.05,285.9683,248.97,253.5,5577101.0
2026-02-05,242.64,261.0,238.57,252.98,3316187.0
2026-02-06,262.65,273.0,251.26,271.32,33471358.0
2026-02-09,270.7,297.0099,266.61,289.68,4303788.0
2026-02-10,288.08,298.99,280.04,298.7,2274468.0
2026-02-11,307.28,308.81,286.5484,297.25,3525878.0
2026-02-12,300.0,305.0,284.15,292.96,2871527.0
2026-02-13,293.83,304.18,270.0,303.92,3088177.0
2026-02-17,297.91,307.63,286.81,302.33,2182171.0
2026-02-18,302.72,317.28,299.96,310.96,2223837.0
2026-02-19,308.88,320.42,303.55,318.41,2389495.0
2026-02-20,317.04,340.27,314.69,334.95,2527668.0
2026-02-23,332.86,346.55,330.2,344.84,2197402.398303
2026-02-24,341.0,348.28,334.91,342.7,2270180.163081
2026-02-25,345.99,365.9,345.681,353.33,2348344.922573
2026-02-26,354.59,358.63,326.7603,341.16,2612883.85596
2026-02-27,340.66,353.57,337.11,348.7,3083021.311997
2026-03-02,353.76,364.05,345.06,353.73,2527510.554632
2026-03-03,339.57,340.69,320.315,333.07,3014089.037
2026-03-04,339.19,353.7799,335.0,343.55,2708630.544237
2026-03-05,312.01,315.4999,278.39,299.3,7851824.259385
2026-03-06,294.81,315.84,293.11,294.17,3924162.426699
2026-03-09,289.49,319.29,287.25,318.54,3070255.778809
2026-03-10,325.0,349.7715,325.0,337.36,3020891.296842
2026-03-11,333.89,346.06,329.58,339.95,2063731.128837
2026-03-12,344.26,350.33,329.41,336.83,2641061.721136
2026-03-13,339.22,353.2499,334.5001,337.38,2425790.138513
2026-03-16,345.0,367.45,344.99,363.88,3759723.977529
2026-03-17,358.31,379.42,350.36,370.05,3263987.022701
2026-03-18,376.0,402.17,376.0,385.26,4159451.540943
2026-03-19,373.12,416.76,371.0,412.58,3934558.201662
2026-03-20,416.0,419.8,380.11,383.89,5809564.594749
2026-03-23,399.4,415.57,393.955,407.9,3544005.493897
2026-03-24,405.0,434.22,405.0,429.38,3382007.573993
2026-03-25,431.505,446.8899,423.88,437.7,2670787.969804
2026-03-26,428.47,428.735,387.4,387.99,3719886.230854
2026-03-27,394.82,411.5,391.36,401.61,2518013.297293
2026-03-30,411.0,414.75,361.7,365.0,3512374.065076
2026-03-31,373.77,388.72,364.16,388.23,3020976.185222
2026-04-01,401.71,421.99,399.82,415.39,2677105.863143
2026-04-02,400.98,453.0,400.0,447.76,3617746.404875
2026-04-06,455.45,459.8,432.77,434.26,1939070.852495
2026-04-07,435.28,449.34,421.3,447.88,1969528.944663
2026-04-08,475.5,499.39,471.6601,494.01,4110400.092435
2026-04-09,498.91,513.4899,473.725,487.38,3280367.249835
2026-04-10,498.11,508.64,475.22,496.02,2498395.988407
2026-04-13,493.44,494.6,472.3217,479.9,3048391.71603
2026-04-14,486.75,487.74,458.01,467.19,3429530.608684
2026-04-15,471.78,481.28,454.34,475.76,3041125.378204
2026-04-16,476.75,495.4,462.0001,495.17,2298719.952283
2026-04-17,500.47,513.83,495.17,507.43,1926270.688412
2026-04-20,512.0,517.88,497.62,503.27,1963473.09411
2026-04-21,507.77,522.4999,493.54,505.93,1805652.879491
2026-04-22,511.5,518.15,467.19,498.97,2778042.043376
2026-04-23,505.0,527.86,497.0901,515.85,2281939.016242
2026-04-24,514.82,527.5,505.55,520.8,1418284.324707
2026-04-27,515.82,516.34,485.0,506.34,1684236.068283
2026-04-28,485.0,493.309,461.07,473.69,3103069.261624
2026-04-29,480.14,482.54,468.31,475.39,1830424.313536
2026-04-30,487.97,529.89,486.25,527.58,2665450.998782
2026-05-01,527.25,550.0,518.58,535.29,1733825.299542
2026-05-04,540.0,548.2,528.3643,538.51,1198633.485748
2026-05-05,553.63,562.0,539.43,544.75,1632380.46428
2026-05-06,563.0,583.775,550.06,576.79,2244799.86529
2026-05-07,564.39,569.0,515.49,538.76,3546930.875842
2026-05-08,549.0,564.83,538.77,548.11,1501585.405304
2026-05-11,558.0,593.0,550.49,581.47,2380716.895809
2026-05-12,567.78,582.0,546.975,577.15,1603667.362212
2026-05-13,594.0,598.84,562.5,577.9,1272676.736604
2026-05-14,577.9,591.57,566.0,591.57,1121895.335826
2026-05-15,570.65,574.195,553.3,554.46,2423358.533337
2026-05-18,563.49,567.08,516.61,524.53,2502785.517537
2026-05-19,514.04,542.92,499.01,541.92,2331485.345536
2026-05-20,554.21,572.39,545.1,554.76,1985867.890367
2026-05-21,557.0,590.13,555.71,587.23,1548472.290233
2026-05-22,599.0,599.5,574.03,583.74,1622005.936264
2026-05-26,591.0,605.61,575.51,602.39,1410999.740202
2026-05-27,605.535,605.535,576.88,582.08,1754896.167817
2026-05-28,598.8,604.43,561.3,570.18,1821600.957249
2026-05-29,566.02,582.47,539.57,580.23,3865952.225844
2026-06-01,559.52,579.97,552.59,569.61,2894237.126112
2026-06-02,583.58,629.61,581.6302,627.0,2725851.221953
2026-06-03,628.51,637.51,609.79,620.37,2654015.819374
2026-06-04,552.39,552.39,491.0,535.63,7611820.30107
2026-06-05,512.31,525.15,488.14,488.21,4195421.37874
2026-06-08,489.775,493.09,457.79,466.67,5635282.600543
2026-06-09,465.91,467.6,417.34,439.34,7863859.65677
2026-06-10,442.0,450.78,424.45,434.65,3869932.404175
2026-06-11,441.66,451.1,430.82,445.22,3000405.414644
2026-06-12,445.22,458.47,440.71,445.98,2665183.859266
