date,open,high,low,close,volume
2026-02-02,289.47,293.78,288.285,290.77,2022632.0
2026-02-03,290.49,296.16,287.43,293.07,3977043.0
2026-02-04,292.405,296.76,286.53,294.62,3183278.0
2026-02-05,297.0,302.195,294.63,297.38,2497614.0
2026-02-06,299.46,302.79,297.655,302.27,2927444.0
2026-02-09,302.27,307.84,301.675,307.24,2350616.0
2026-02-10,306.53,309.345,302.55,306.76,2262510.0
2026-02-11,306.555,308.18,301.78,302.48,2532926.0
2026-02-12,300.72,307.39,295.265,301.64,2467152.0
2026-02-13,303.76,305.415,302.03,303.07,2206228.0
2026-02-17,305.26,308.2,302.1,303.23,2127523.0
2026-02-18,303.24,304.94,299.48,302.55,2046335.0
2026-02-19,302.53,304.09,300.62,303.91,1400811.0
2026-02-20,303.7,308.32,302.64,308.09,2754365.0
2026-02-23,309.27,314.191,308.87,314.0,3117915.759369
2026-02-24,313.44,319.24,313.275,319.03,2395310.426106
2026-02-25,317.65,322.5687,306.34,307.36,3904000.826493
2026-02-26,310.39,316.79,309.0,316.45,2477660.897591
2026-02-27,319.39,321.81,316.64,319.5,2806024.707677
2026-03-02,322.065,327.79,321.7,326.46,2459677.67906
2026-03-03,327.55,329.16,324.04,325.13,2545074.243635
2026-03-04,319.82,322.15,317.81,320.0,2559674.807468
2026-03-05,318.18,320.6,314.96,316.81,2195651.311492
2026-03-06,315.9,320.29,314.16,317.1,1846343.184992
2026-03-09,317.3294,320.86,314.5701,319.09,3573343.061591
2026-03-10,309.26,310.2,300.81,306.34,2715688.63955
2026-03-11,304.56,305.655,302.09,303.33,2072407.864012
2026-03-12,308.24,312.51,305.07,311.19,2449632.890482
2026-03-13,312.08,314.39,310.87,311.4,2253394.274302
2026-03-16,309.255,314.3,308.965,313.83,1936884.581837
2026-03-17,313.37,316.75,312.09,313.33,1374764.804728
2026-03-18,311.95,314.165,308.43,308.9,1583342.206303
2026-03-19,310.94,313.19,307.77,310.71,2003681.774632
2026-03-20,310.31,311.865,304.5,307.32,3942833.332678
2026-03-23,305.0,307.98,304.52,306.56,1963608.911121
2026-03-24,303.96,307.34,302.0,302.68,1754836.858143
2026-03-25,300.945,302.2598,292.95,293.93,2740163.229464
2026-03-26,297.55,300.85,294.08,297.58,2084236.405831
2026-03-27,297.58,299.115,293.3,293.78,1579941.015286
2026-03-30,297.25,298.42,293.865,297.58,1315257.823384
2026-03-31,298.61,300.0,292.62,295.35,2357365.471907
2026-04-01,295.74,297.2,293.5,296.94,1938916.022331
2026-04-02,300.395,305.9,297.82,305.11,1741616.947084
2026-04-06,305.64,310.225,304.19,308.57,1471702.635977
2026-04-07,308.23,312.68,307.26,310.58,1519284.252569
2026-04-08,299.36,304.8599,298.66,302.81,3168262.460628
2026-04-09,302.955,303.68,297.64,298.93,4031679.646153
2026-04-10,300.86,300.86,294.01,295.3,3025685.370035
2026-04-13,297.12,300.74,295.83,300.59,1612003.055067
2026-04-14,298.19,299.96,295.84,297.03,2279966.351565
2026-04-15,296.89,298.88,294.94,296.9,1828723.509342
2026-04-16,296.18,298.25,295.255,296.22,1900776.701921
2026-04-17,293.569,294.08,284.48,287.65,3976195.307125
2026-04-20,288.22,289.99,286.57,287.45,2071097.926063
2026-04-21,288.46,289.0,283.045,284.4,2714477.413665
2026-04-22,275.06,286.97,274.6,285.71,3394164.871255
2026-04-23,285.11,286.6,280.08,285.47,2655162.90951
2026-04-24,284.09,286.36,279.85,285.06,2347568.446056
2026-04-27,286.5,286.5,281.36,281.94,2009750.445903
2026-04-28,286.29,286.9999,283.21,284.53,1805416.614208
2026-04-29,282.93,287.75,281.905,287.27,1956641.14088
2026-04-30,285.34,288.77,283.8,287.82,2508737.932186
2026-05-01,289.34,291.11,288.01,289.54,2019685.089566
2026-05-04,287.48,292.335,286.13,290.29,1700841.80457
2026-05-05,289.77,290.5,286.345,286.82,1949241.451297
2026-05-06,285.78,288.89,283.02,288.34,2168925.204806
2026-05-07,288.195,288.38,285.145,286.85,2364014.960353
2026-05-08,286.41,286.95,280.69,281.25,2308703.532584
2026-05-11,281.42,284.21,280.63,282.58,2607822.188434
2026-05-12,286.03,287.47,282.41,285.75,3198651.86866
2026-05-13,285.445,297.78,284.62,297.13,3523648.730942
2026-05-14,297.33,298.86,294.4,297.7,1576894.319481
2026-05-15,301.28,304.72,297.8801,298.86,2216538.259383
2026-05-18,297.87,305.46,297.87,305.12,1913076.657151
2026-05-19,305.82,308.01,302.24,302.37,2129664.897183
2026-05-20,300.7,301.905,290.0509,290.12,2860172.402188
2026-05-21,293.98,294.8,288.76,289.29,2443721.880865
2026-05-22,289.1,293.085,289.1,291.23,1437501.531316
2026-05-26,290.01,290.86,280.655,282.54,2340075.347368
2026-05-27,280.92,281.75,277.01,279.1,2863071.482731
2026-05-28,279.63,280.4,277.11,277.42,2146330.553003
2026-05-29,277.05,279.82,272.28,273.54,6459940.184741
2026-06-01,272.1495,274.185,257.22,257.76,6266198.609614
2026-06-02,258.495,260.42,244.56,250.53,8507153.691033
2026-06-03,254.23,257.5,251.28,252.64,5097503.686333
2026-06-04,256.23,259.0399,254.33,256.06,3688580.387174
2026-06-05,257.48,259.45,255.43,257.4,3516199.931903
2026-06-08,255.6,256.05,249.81,252.03,3763066.527876
2026-06-09,251.36,260.49,250.48,255.94,3717508.568822
2026-06-10,259.165,264.14,256.231,263.8,3141133.777521
2026-06-11,265.8,267.41,262.0,262.18,3508811.404054
