date,open,high,low,close,volume
2026-02-04,31.12,31.12,30.95,31.07,40098.0
2026-02-05,30.84,30.9,30.72,30.76,22958.0
2026-02-06,30.86,31.045,30.86,31.02,24628.0
2026-02-09,31.02,31.245,30.98,31.24,209547.0
2026-02-10,31.18,31.22,31.1181,31.165,16566.0
2026-02-11,31.41,31.435,31.28,31.4113,11062.0
2026-02-12,31.3,31.33,30.8859,30.9202,13295.0
2026-02-13,30.93,31.04,30.93,30.98,62607.0
2026-02-17,30.87,30.87,30.7338,30.8293,26604.0
2026-02-18,31.12,31.28,31.12,31.26,91308.0
2026-02-19,31.29,31.3901,31.24,31.3901,66456.0
2026-02-20,31.46,31.52,31.3308,31.47,239732.0
2026-02-23,31.565,31.66,31.535,31.595,38986.898833
2026-02-24,31.555,31.65,31.54,31.64,18959.733909
2026-02-25,31.71,31.795,31.54,31.65,39313.77996
2026-02-26,31.5644,31.74,31.5415,31.71,42044.183437
2026-02-27,31.955,32.01,31.9277,31.96,82458.13702
2026-03-02,32.34,32.34,32.03,32.16,140538.78298
2026-03-03,32.35,32.35,32.0,32.08,74886.787133
2026-03-04,32.2,32.2,32.05,32.13,321467.630162
2026-03-05,32.27,32.5768,32.27,32.44,25843.144123
2026-03-06,32.66,33.0972,32.66,33.0212,98807.094064
2026-03-09,33.43,33.54,32.69,32.77,561508.086341
2026-03-10,33.01,33.05,32.44,33.0298,156122.25663
2026-03-11,33.25,33.6,33.0,33.6,59840.02905
2026-03-12,33.96,34.0795,33.8,33.99,125164.941385
2026-03-13,33.86,33.9875,33.7501,33.97,26567.18909
2026-03-16,33.89,33.89,33.47,33.51,422735.891932
2026-03-17,33.61,33.7,33.53,33.64,1013818.633273
2026-03-18,33.66,33.9,33.66,33.85,320982.366234
2026-03-19,33.75,33.9,33.65,33.78,248713.245378
2026-03-20,33.83,33.83,33.63,33.65,249923.776673
2026-03-23,33.46,33.46,33.085,33.24,316577.05088
2026-03-24,33.22,33.4,33.15,33.31,191238.780987
2026-03-25,33.08,33.39,33.08,33.35,224853.457327
2026-03-26,33.43,33.6,33.3801,33.45,109005.152874
2026-03-27,33.67,33.67,33.48,33.55,348295.337238
2026-03-30,33.65,33.6999,33.42,33.5,133217.146674
2026-03-31,33.59,33.7999,33.5201,33.57,133030.318672
2026-04-01,33.26,33.3799,33.0801,33.35,916307.196523
2026-04-02,33.62,33.6499,33.27,33.39,163854.31054
2026-04-06,33.44,33.52,33.36,33.47,520334.946191
2026-04-07,33.465,33.515,33.3,33.33,121951.880265
2026-04-08,33.0,33.0981,32.82,33.06,237317.277611
2026-04-09,33.21,33.22,32.95,33.08,132182.140398
2026-04-10,33.0544,33.15,32.94,32.97,188501.95835
2026-04-13,33.3,33.365,33.15,33.18,177345.597021
2026-04-14,33.23,33.33,33.15,33.24,82606.991563
2026-04-15,33.3,33.44,33.295,33.39,69081.149168
2026-04-16,33.51,33.68,33.46,33.5,256385.862482
2026-04-17,33.19,33.4796,33.0805,33.45,278551.043355
2026-04-20,33.39,33.65,33.36,33.55,161001.600454
2026-04-21,33.59,33.75,33.59,33.73,132824.159816
2026-04-22,33.8,33.85,33.6501,33.67,99101.185479
2026-04-23,33.66,33.8499,33.59,33.81,45870.906424
2026-04-24,33.67,33.8,33.67,33.8,60765.834897
2026-04-27,33.86,34.0,33.86,33.97,145415.844913
2026-04-28,33.98,34.14,33.93,34.14,108771.418599
2026-04-29,34.21,34.23,34.08,34.11,92399.46236
2026-04-30,34.22,34.32,34.15,34.29,57736.17395
2026-05-01,34.39,34.52,34.3001,34.45,115277.51083
2026-05-04,34.35,34.585,34.3202,34.54,99765.119031
2026-05-05,34.58,34.63,34.46,34.57,159804.827346
2026-05-06,34.27,34.33,34.22,34.31,275675.127399
2026-05-07,34.1,34.225,34.02,34.22,89731.98302
2026-05-08,34.36,34.59,34.36,34.59,96573.736585
2026-05-11,34.78,35.06,34.735,35.01,196788.351834
2026-05-12,35.1661,35.41,35.1601,35.41,146968.295692
2026-05-13,35.47,35.62,35.36,35.4,409203.484108
2026-05-14,35.17,35.17,34.81,34.96,405722.271986
2026-05-15,34.46,34.47,34.32,34.37,235819.935691
2026-05-18,34.85,35.03,34.815,34.98,404094.741761
2026-05-19,34.91,34.9691,34.82,34.93,331212.901558
2026-05-20,34.84,34.87,34.66,34.74,138385.821924
2026-05-21,34.65,34.65,34.36,34.44,233593.065812
2026-05-22,34.46,34.54,34.3703,34.42,91962.165839
2026-05-26,34.37,34.3908,34.21,34.25,293696.085681
2026-05-27,33.99,34.08,33.9,33.95,141003.021677
2026-05-28,34.08,34.22,34.0,34.21,109016.472631
2026-05-29,34.17,34.17,33.95,34.012,121619.88478
2026-06-01,34.17,34.1803,34.02,34.08,146190.802717
2026-06-02,34.08,34.12,34.03,34.06,91459.902765
