date,open,high,low,close,volume
2026-02-06,191.63,194.6,187.1201,191.35,13652621.0
2026-02-09,189.3,195.1999,185.73,194.03,12112033.0
2026-02-10,191.9,199.1,190.75,193.45,13392989.0
2026-02-11,193.15,193.665,181.81,185.0,16350186.0
2026-02-12,185.96,188.32,180.24,185.43,16849111.0
2026-02-13,186.44,193.45,184.3,189.72,14822879.0
2026-02-17,190.97,193.0,183.17,184.29,13692933.0
2026-02-18,183.88,188.14,181.8645,187.79,9852893.0
2026-02-19,186.6,186.95,183.23,185.29,9565134.0
2026-02-20,185.32,191.73,183.73,185.16,10816216.0
2026-02-23,181.27,182.47,174.57,178.16,15498634.308461
2026-02-24,177.64,188.67,176.28,185.42,15564730.665123
2026-02-25,183.0,192.6,182.261,191.75,21875066.596681
2026-02-26,196.76,201.035,191.33,199.47,26680489.982853
2026-02-27,191.91,195.92,189.9248,194.79,16346535.287999
2026-03-02,192.5,195.94,190.675,192.95,9932748.56614
2026-03-03,190.75,198.67,189.58,196.05,13208923.282277
2026-03-04,195.1,196.47,192.1,193.08,11583729.640983
2026-03-05,194.36,204.42,194.24,201.39,15860914.470919
2026-03-06,200.79,202.96,197.37,202.11,9657395.976294
2026-03-09,198.56,203.67,195.87,198.79,10754797.917735
2026-03-10,197.26,199.57,190.6,194.91,14467396.114122
2026-03-11,196.4,199.55,191.2876,194.13,9580004.906318
2026-03-12,194.13,204.855,193.15,199.28,26309733.020537
2026-03-13,199.73,200.9999,191.75,192.83,14834718.798095
2026-03-16,195.15,198.63,195.15,198.34,13419635.227046
2026-03-17,198.22,202.38,194.45,195.31,11559323.721695
2026-03-18,193.4,196.15,192.64,194.34,10525102.460643
2026-03-19,195.59,200.395,193.3,194.99,9254295.531154
2026-03-20,193.21,195.6699,190.0,195.38,20201081.078067
2026-03-23,197.09,198.05,192.0,195.18,13976236.25079
2026-03-24,192.14,192.14,182.29,183.02,18631394.678349
2026-03-25,185.7,187.385,179.85,181.96,12565193.489348
2026-03-26,181.18,187.47,179.53,185.64,10330721.564208
2026-03-27,184.0,184.11,178.816,179.31,9901975.805639
2026-03-30,180.1,186.39,179.58,185.03,11617715.67956
2026-03-31,184.9,188.5,182.31,186.67,11041377.038385
2026-04-01,186.85,188.98,183.01,186.24,11677678.285319
2026-04-02,185.3,187.58,181.575,187.18,11635452.696402
2026-04-06,187.5,188.14,183.6001,185.03,14390963.871093
2026-04-07,184.95,186.58,182.017,182.96,12344587.423924
2026-04-08,186.5,186.77,175.78,176.37,13472050.221857
2026-04-09,173.17,174.29,167.12,170.85,20855393.683313
2026-04-10,171.26,171.26,163.52,164.96,18109343.667
2026-04-13,167.05,173.4,165.77,172.82,12390752.740773
2026-04-14,175.21,177.5,170.5,171.31,13123641.198929
2026-04-15,174.22,179.62,172.88,177.6,14340255.055526
2026-04-16,184.0,184.55,178.57,181.22,11866659.067128
2026-04-17,185.43,187.98,181.03,182.14,17225680.641296
2026-04-20,182.5,189.0,182.122,186.27,14382264.047496
2026-04-21,186.6,193.56,184.1001,187.11,12073660.765482
2026-04-22,188.2,191.15,187.03,189.8,14565948.499515
2026-04-23,177.56,178.87,170.65,173.3,22719938.58041
2026-04-24,175.62,178.45,174.4,178.16,10817611.062332
2026-04-27,178.26,184.29,177.51,180.18,11906973.450811
2026-04-28,182.43,184.42,181.32,181.32,8711743.087432
2026-04-29,179.2,181.7835,177.35,181.22,6882845.048175
2026-04-30,178.3,178.6934,173.0,176.53,14408281.245927
2026-05-01,182.185,186.04,178.75,183.82,12324379.129236
2026-05-04,184.24,190.31,183.97,185.48,8444726.956375
2026-05-05,185.55,187.39,181.1,186.99,9740802.603459
2026-05-06,185.52,187.1,179.58,181.19,11303437.458887
2026-05-07,184.6,188.58,184.0,186.34,13955115.768692
2026-05-08,179.68,181.8718,176.88,181.82,15123889.11462
2026-05-11,179.905,182.5,176.31,177.49,11145016.498578
2026-05-12,177.575,177.575,170.58,171.31,10214014.890511
2026-05-13,169.78,169.78,164.75,165.84,11951930.031059
2026-05-14,166.0,169.3476,164.3275,167.58,9749385.247507
2026-05-15,169.25,175.97,169.0,173.51,13883384.968149
2026-05-18,172.89,180.78,171.8,179.48,13671181.119778
2026-05-19,185.0,187.44,178.81,179.42,17510823.006639
2026-05-20,176.04,180.31,173.34,180.1,13025257.834529
2026-05-21,175.38,177.34,171.99,176.31,10949098.553637
2026-05-22,179.84,183.35,177.6801,180.07,10184791.195591
