date,open,high,low,close,volume
2026-02-05,4.85,4.87,4.585,4.74,1419653.0
2026-02-06,4.815,5.255,4.7613,5.17,1293440.0
2026-02-09,5.13,5.215,5.01,5.16,920531.0
2026-02-10,5.19,5.38,5.14,5.17,946170.0
2026-02-11,5.2,5.35,4.925,4.96,890082.0
2026-02-12,5.0,5.0673,4.48,4.58,7978722.0
2026-02-13,6.48,7.68,6.43,6.79,46841748.0
2026-02-17,6.73,6.74,5.535,5.555,7209757.0
2026-02-18,5.63,5.99,5.42,5.575,2781965.0
2026-02-19,5.52,5.61,5.21,5.58,3035754.0
2026-02-20,5.49,5.71,5.41,5.62,1873675.0
2026-02-23,5.52,5.68,5.35,5.4,1533011.183219
2026-02-24,5.41,5.58,5.375,5.45,1081217.15197
2026-02-25,5.5,5.765,5.46,5.69,1640675.227197
2026-02-26,5.71,5.89,5.58,5.77,1246185.887004
2026-02-27,5.63,5.68,5.41,5.49,1479760.905553
2026-03-02,5.37,5.79,5.3,5.78,1796481.947143
2026-03-03,5.56,5.79,5.305,5.77,1647505.802818
2026-03-04,5.8,6.11,5.67,6.1,2700629.556483
2026-03-05,6.0,6.29,5.93,6.24,3278135.468549
2026-03-06,6.08,6.14,5.855,5.95,1379119.074144
2026-03-09,5.76,5.77,5.51,5.67,1683993.995305
2026-03-10,5.705,5.7755,5.535,5.66,1454665.529567
2026-03-11,5.74,5.83,5.605,5.7,1394563.146156
2026-03-12,5.67,5.855,5.315,5.32,1477459.170026
2026-03-13,5.3,5.4,5.19,5.32,1360700.331171
2026-03-16,5.37,5.395,5.235,5.28,1071116.311399
2026-03-17,5.31,5.525,5.31,5.39,1184072.371848
2026-03-18,5.32,5.475,5.27,5.35,1246111.044021
2026-03-19,5.26,5.445,5.2316,5.41,1089691.040006
2026-03-20,5.36,5.36,5.165,5.2,2071000.156294
2026-03-23,5.36,5.5651,5.27,5.53,1298782.492013
2026-03-24,5.46,5.73,5.45,5.7,2380214.665892
2026-03-25,5.75,5.825,5.57,5.75,968374.226131
2026-03-26,5.59,5.805,5.47,5.53,1073632.867394
2026-03-27,5.42,5.45,5.235,5.32,781196.491473
2026-03-30,5.39,5.41,5.17,5.34,1405425.60265
2026-03-31,5.41,5.58,5.36,5.55,1036381.832361
2026-04-01,5.59,5.68,5.5,5.55,999690.921046
2026-04-02,5.37,5.6799,5.31,5.63,763839.209967
2026-04-06,5.63,5.69,5.5,5.65,691225.844331
2026-04-07,5.57,5.655,5.53,5.61,723423.428739
2026-04-08,5.89,5.96,5.655,5.7,1151405.145379
2026-04-09,5.64,5.68,5.54,5.59,920721.640884
2026-04-10,5.67,5.765,5.63,5.69,694753.028251
2026-04-13,5.67,6.04,5.66,6.02,982561.812103
2026-04-14,6.08,6.14,5.97,6.13,833445.154794
2026-04-15,6.14,6.28,6.12,6.16,861179.983811
2026-04-16,6.22,6.435,6.13,6.39,1126566.435401
2026-04-17,6.53,6.555,6.4273,6.48,970516.483868
2026-04-20,6.45,6.57,6.4,6.51,619271.928637
2026-04-21,6.52,6.67,6.47,6.52,692629.810594
2026-04-22,6.59,6.64,6.3,6.47,775093.138426
2026-04-23,6.41,6.5,6.24,6.39,740784.669314
2026-04-24,6.47,6.62,6.37,6.58,805687.465422
2026-04-27,6.58,6.835,6.5,6.73,794559.381354
2026-04-28,6.65,6.73,6.57,6.69,552747.75076
2026-04-29,6.7,6.86,6.58,6.82,838198.871762
2026-04-30,6.85,6.86,6.65,6.79,842715.937648
2026-05-01,6.85,7.0,6.77,6.96,810814.425929
2026-05-04,6.96,7.095,6.8,6.89,854722.909903
2026-05-05,6.89,7.175,6.6809,7.12,1029893.061316
2026-05-06,7.25,7.305,7.0,7.26,1253724.458919
2026-05-07,7.28,7.44,7.02,7.09,2073039.32766
2026-05-08,7.41,8.25,6.98,7.88,3994140.123101
2026-05-11,7.86,8.27,7.77,7.91,2616379.223794
2026-05-12,7.86,7.88,7.375,7.5,1309144.250708
2026-05-13,7.51,7.59,7.23,7.42,1854650.279369
2026-05-14,7.48,7.505,7.355,7.36,1107915.820244
2026-05-15,7.14,7.16,6.695,6.72,1629516.267885
2026-05-18,6.75,6.91,6.68,6.88,1008113.652993
2026-05-19,6.81,6.81,6.665,6.71,894221.113746
2026-05-20,6.75,6.9,6.66,6.88,943013.903144
2026-05-21,6.83,7.005,6.684,6.93,919796.005374
2026-05-22,7.075,7.775,7.0,7.7,2163320.928743
2026-05-26,7.79,8.295,7.55,8.09,3475101.448424
2026-05-27,8.77,9.9,8.4,9.82,10636509.961574
2026-05-28,11.09,13.1,10.58,11.95,26164991.143812
2026-05-29,11.92,12.785,11.2401,12.14,10547340.053776
2026-06-01,10.325,11.53,10.0,11.48,7597023.472173
2026-06-02,11.12,11.765,10.81,11.53,3242403.102366
2026-06-03,11.132,11.29,10.345,10.475,3083666.063072
