date,open,high,low,close,volume
2026-02-02,440.0,447.24,434.7442,438.85,2073674.0
2026-02-03,435.92,436.7087,415.05,421.73,3834887.0
2026-02-04,411.94,421.98,401.55,415.36,4733012.0
2026-02-05,414.79,416.29,374.52,377.16,6053233.0
2026-02-06,384.94,396.99,378.37,395.5,4942990.0
2026-02-09,396.185,410.75,386.2544,408.04,2825946.0
2026-02-10,401.21,418.88,400.78,413.39,3121374.0
2026-02-11,413.7,416.5899,404.4,415.81,2470908.0
2026-02-12,418.9,420.67,402.2884,411.54,3502527.0
2026-02-13,416.91,432.85,412.58,429.64,3536681.0
2026-02-17,423.592,425.8821,400.0201,414.285,4428133.0
2026-02-18,409.75,421.76,402.0,415.76,2752702.0
2026-02-19,417.62,424.0,409.97,422.14,2000407.0
2026-02-20,419.28,431.88,387.11,388.6,8360791.0
2026-02-23,384.96,385.11,342.72,350.33,15076250.915514
2026-02-24,349.1,360.9,345.05,350.25,7138708.881286
2026-02-25,349.57,365.9799,346.5,363.31,5697882.643684
2026-02-26,367.248,385.09,364.66,381.1,6199823.109655
2026-02-27,369.06,373.5,359.29,371.98,5125782.184025
2026-03-02,375.9,387.1499,373.086,384.86,3771510.163386
2026-03-03,369.5,394.92,367.99,391.42,7713168.534982
2026-03-04,386.185,408.41,380.11,407.68,8352528.735973
2026-03-05,407.3,429.6899,407.0,426.16,5952572.091456
2026-03-06,425.96,433.71,420.23,428.99,4604169.747031
2026-03-09,425.575,438.28,425.52,434.13,3850353.199947
2026-03-10,445.0,447.95,428.55,436.33,3316809.301082
2026-03-11,442.51,452.0,436.215,442.03,2911221.668916
2026-03-12,441.0,450.03,438.33,441.54,2359955.474687
2026-03-13,443.99,450.64,434.58,441.78,2227117.669258
2026-03-16,442.99,443.52,423.77,423.84,3666368.069325
2026-03-17,424.09,439.01,419.6,433.2,2931479.300744
2026-03-18,428.77,442.43,427.99,435.81,2799130.901253
2026-03-19,439.0,440.71,423.38,428.18,2359821.261793
2026-03-20,423.675,424.31,403.61,409.0,9111497.77253
2026-03-23,411.06,417.43,407.0,413.31,3603293.681326
2026-03-24,410.405,410.86,390.6,392.99,3636343.140639
2026-03-25,398.98,400.32,383.5,385.86,3128658.189701
2026-03-26,383.17,395.5,381.19,392.62,2458717.499663
2026-03-27,370.85,374.46,361.8067,369.58,6032000.206744
2026-03-30,379.57,390.4868,376.39,380.06,4381651.10384
2026-03-31,381.9,392.88,379.0,390.41,2976601.545857
2026-04-01,396.75,396.94,386.3701,393.31,2118929.372659
2026-04-02,391.18,400.8,386.75,399.12,1990086.259252
2026-04-06,405.0,405.0,392.7302,398.61,1595726.877064
2026-04-07,397.865,423.73,395.579,423.23,4626826.768736
2026-04-08,439.99,449.9,423.35,426.51,4727169.382384
2026-04-09,425.98,427.02,390.81,394.68,5420541.867879
2026-04-10,396.102,398.05,364.47,379.02,8938953.504438
2026-04-13,380.1,403.06,378.25,402.24,4166463.637669
2026-04-14,404.65,411.44,393.4,398.49,3187036.901339
2026-04-15,407.0,411.98,402.05,411.16,3108144.139675
2026-04-16,421.85,425.77,411.09,418.2,2991061.123112
2026-04-17,428.96,431.8399,420.36,423.95,2906302.833397
2026-04-20,422.54,433.81,417.02,433.15,2885092.062486
2026-04-21,439.75,459.15,436.5,449.61,3671059.716062
2026-04-22,455.33,467.95,452.63,466.68,2892351.252034
2026-04-23,453.61,454.0,436.51,445.39,3225472.795369
2026-04-24,447.935,451.045,435.56,448.13,2271728.208918
2026-04-27,453.55,457.98,442.62,454.61,2297053.501522
2026-04-28,457.625,463.6899,450.32,454.99,1872929.145371
2026-04-29,450.32,453.16,443.24,452.38,1914787.652114
2026-04-30,447.01,450.0112,432.55,445.75,2442739.225649
2026-05-01,454.69,457.97,445.565,455.64,1521998.949374
2026-05-04,456.9,471.81,455.4001,469.24,2183621.837876
2026-05-05,474.39,480.66,466.0,476.53,2225010.640567
2026-05-06,468.4,475.296,457.46,468.07,2198864.413676
2026-05-07,486.09,506.79,486.09,505.72,5114477.805008
2026-05-08,499.175,528.915,492.33,527.77,4041153.365599
2026-05-11,523.78,542.67,522.0,542.26,2793317.989605
2026-05-12,542.0,552.43,533.0,546.18,3545373.385463
2026-05-13,540.84,568.37,538.3683,562.57,2800856.113103
2026-05-14,559.705,583.78,555.0,579.95,2815889.416197
2026-05-15,573.17,598.25,560.69,594.08,3859375.379418
2026-05-18,589.495,621.05,587.37,618.83,4699836.818551
2026-05-19,619.98,634.24,613.29,616.88,4465043.337286
2026-05-20,614.3,651.0,614.0638,650.11,4383313.575621
2026-05-21,650.52,659.55,642.05,648.23,2646075.737099
2026-05-22,650.5,674.84,649.6,663.46,2781663.25621
2026-05-26,665.0,677.4999,648.0,671.55,2088129.34167
2026-05-27,641.01,660.6599,633.09,645.36,3276362.479482
2026-05-28,649.33,677.5,641.52,671.0,2375246.595039
2026-05-29,677.435,731.49,674.94,731.0,4820454.991615
2026-06-01,735.81,785.66,734.0,782.17,4590344.96573
2026-06-02,764.85,778.82,745.38,768.95,4185300.433097
2026-06-03,765.675,766.9999,742.12,747.61,5246589.235353
2026-06-04,674.07,720.96,671.11,719.09,7449786.195829
2026-06-05,696.74,706.22,670.1,671.02,5238819.819129
2026-06-08,673.505,684.0,652.01,658.79,3337378.742398
2026-06-09,658.79,664.87,617.74,644.93,3740613.583997
2026-06-10,639.03,662.13,635.95,647.74,2527369.681765
2026-06-11,645.28,696.43,641.0,691.53,3534000.993067
2026-06-12,690.66,702.17,678.0,682.8,2311891.323568
