date,open,high,low,close,volume
2026-02-02,92.835,94.7699,88.52,88.94,19489110.0
2026-02-03,91.02,92.1199,83.93,90.06,25101357.0
2026-02-04,89.55,91.95,81.01,82.46,26247809.0
2026-02-05,79.65,81.97,74.0,74.65,23637671.0
2026-02-06,77.9,90.6,77.1,89.95,36852754.0
2026-02-09,90.07,97.94,88.7,96.79,25424406.0
2026-02-10,95.0,97.29,93.8,95.11,14088159.0
2026-02-11,95.82,97.77,88.53,95.15,21192299.0
2026-02-12,94.265,97.5,90.33,95.7,20441449.0
2026-02-13,94.28,100.69,91.0,96.04,23116988.0
2026-02-17,92.69,95.4599,89.09,91.0,17482204.0
2026-02-18,91.085,97.29,87.5,95.45,17481824.0
2026-02-19,95.285,98.29,93.51,97.14,10807572.0
2026-02-20,93.56,93.675,84.5,89.25,46366165.0
2026-02-23,87.36,93.39,86.57,90.84,21774808.173283
2026-02-24,91.06,99.37,90.6863,99.3,24587573.575591
2026-02-25,100.98,103.44,97.85,98.01,20880987.790244
2026-02-26,98.85,100.75,95.02,97.63,27329418.763122
2026-02-27,84.22,84.38,75.66,79.56,67921276.907591
2026-03-02,76.61,80.33,75.6,78.05,25514169.380676
2026-03-03,75.23,75.3699,70.37,73.78,24549363.338825
2026-03-04,77.8,80.66,75.8,79.5,25322759.81506
2026-03-05,77.0,78.68,73.25,74.82,22667512.42149
2026-03-06,72.95,77.9497,71.85,72.99,25591588.965981
2026-03-09,71.54,74.5,70.7,74.41,21551455.905529
2026-03-10,75.02,75.92,73.75,74.92,16449259.852953
2026-03-11,79.0,82.99,77.86,81.96,33672129.897641
2026-03-12,79.63,82.38,78.4,79.86,16174676.443788
2026-03-13,81.07,84.44,79.46,81.11,17700719.913591
2026-03-16,85.87,88.26,81.88,85.86,25842506.467679
2026-03-17,83.98,85.1,81.56,82.12,17332108.649205
2026-03-18,80.71,85.28,80.04,82.82,17332834.119154
2026-03-19,80.0,81.6,78.78,80.66,19522350.742046
2026-03-20,80.14,83.15,77.58,81.47,29378469.929567
2026-03-23,81.8,85.34,80.31,81.96,19755833.720762
2026-03-24,82.93,84.5,80.1,83.02,21682537.756707
2026-03-25,85.23,88.75,84.85,87.58,19101590.197713
2026-03-26,86.85,88.26,80.16,80.45,18464596.012049
2026-03-27,78.41,79.4,73.22,74.81,22244316.182498
2026-03-30,75.31,75.46,67.1501,69.15,27315935.555121
2026-03-31,73.0,77.59,72.42,77.47,27917130.597165
2026-04-01,79.49,80.5399,76.8,78.44,28569049.757749
2026-04-02,75.76,82.5,73.81,82.24,20958230.35923
2026-04-06,81.33,82.29,79.56,80.94,16946863.821061
2026-04-07,80.18,85.3,80.135,85.24,16277315.307881
2026-04-08,91.985,93.9,87.45,88.9,19538594.96819
2026-04-09,90.4,94.96,84.81,92.0,65533290.046646
2026-04-10,93.44,105.9,93.2,102.0,83416527.779682
2026-04-13,104.225,114.1,103.87,110.27,56011105.763604
2026-04-14,114.945,119.06,112.91,117.2,46585995.364071
2026-04-15,119.83,121.37,113.87,118.69,43324937.477165
2026-04-16,119.98,122.14,114.8,119.56,28917571.095666
2026-04-17,120.385,120.69,115.99,116.85,24685920.76259
2026-04-20,116.18,118.08,110.6,117.43,29542371.123468
2026-04-21,118.3,120.82,113.8,115.16,18656061.193347
2026-04-22,118.3,124.96,117.575,122.54,31878211.704454
2026-04-23,122.1,124.2,116.15,117.42,21696230.465932
2026-04-24,120.97,121.0,106.51,110.14,33898207.899386
2026-04-27,109.87,112.82,104.93,112.06,24928955.41159
2026-04-28,103.6,110.0,103.05,105.53,27765202.347744
2026-04-29,108.195,115.47,107.05,114.19,27754006.392329
2026-04-30,117.29,118.25,111.18,111.6,25279771.770761
2026-05-01,114.11,121.855,113.14,119.01,27413038.952277
2026-05-04,121.18,129.97,121.17,125.43,30197252.520326
2026-05-05,125.0,129.52,122.5242,127.89,22972750.389385
2026-05-06,131.075,138.25,130.41,137.98,31677917.196753
2026-05-07,132.055,133.5889,125.43,128.84,41365344.151812
2026-05-08,118.46,123.75,110.5501,114.15,48479367.828858
2026-05-11,112.02,119.49,111.5,114.7,27701915.360403
2026-05-12,110.79,110.98,101.12,107.75,32879127.486981
2026-05-13,112.95,112.98,106.34,111.31,23597982.087823
2026-05-14,111.53,118.21,110.0601,114.215,27702282.367019
2026-05-15,109.415,110.36,106.44,107.3,22048173.702773
2026-05-18,106.785,106.95,98.65,103.77,38653678.265061
2026-05-19,98.53,101.31,94.82,99.81,29845564.316169
2026-05-20,101.5,102.75,98.1,101.28,21656792.674598
2026-05-21,106.56,108.44,103.161,107.58,31898627.91911
2026-05-22,109.32,109.85,104.8802,105.49,20001619.535672
2026-05-26,108.24,109.2,105.0,105.89,21456077.718342
2026-05-27,105.11,105.55,99.6,104.27,24155028.283736
2026-05-28,107.95,110.33,103.63,106.86,23405961.680451
2026-05-29,108.02,110.25,102.3,109.53,28158221.632705
2026-06-01,114.775,127.8485,114.715,124.82,58297282.359708
2026-06-02,129.96,132.15,118.82,119.27,34813977.312362
2026-06-03,119.915,121.96,110.55,110.93,26460067.801545
2026-06-04,107.49,110.45,105.03,108.03,26751963.891359
2026-06-05,104.635,104.8,95.5401,100.39,32460769.040956
