date,open,high,low,close,volume
2026-02-02,21.94,22.6796,21.55,22.49,1153532.0
2026-02-03,22.47,23.36,21.84,23.34,1186668.0
2026-02-04,23.49,24.145,23.49,23.88,906645.0
2026-02-05,23.71,24.03,23.265,23.6,859942.0
2026-02-06,23.58,24.9,23.58,24.54,1015685.0
2026-02-09,24.41,24.83,24.17,24.74,1030600.0
2026-02-10,24.75,24.75,24.1,24.2,928125.0
2026-02-11,24.8,24.97,24.11,24.43,777561.0
2026-02-12,24.4,24.41,22.6,22.81,958071.0
2026-02-13,22.65,23.31,22.65,23.17,731588.0
2026-02-17,23.63,23.63,22.2401,22.52,1245919.0
2026-02-18,22.7,22.825,22.0,22.36,1095640.0
2026-02-19,20.5,21.79,19.62,21.59,2152958.0
2026-02-20,21.11,21.44,20.33,20.72,2841130.0
2026-02-23,20.66,21.2,20.48,21.07,2049498.600389
2026-02-24,21.02,21.73,20.955,21.71,1736483.80429
2026-02-25,22.72,23.2929,22.19,23.11,1720756.961172
2026-02-26,23.06,23.98,22.81,23.63,1454317.667044
2026-02-27,23.81,24.2,22.93,24.16,1960021.442207
2026-03-02,25.34,25.37,24.47,24.93,1221516.723152
2026-03-03,25.07,25.28,24.31,25.02,1233710.94733
2026-03-04,24.89,26.45,24.655,26.45,1163368.773333
2026-03-05,26.74,27.81,26.59,27.08,1698483.492715
2026-03-06,27.35,27.6,26.4,26.83,1133572.080387
2026-03-09,27.22,27.33,25.13,25.23,1415331.391308
2026-03-10,25.58,26.43,24.91,25.72,1017316.301206
2026-03-11,26.15,28.42,26.14,28.37,1696888.991993
2026-03-12,28.83,30.01,28.68,28.76,1539622.092469
2026-03-13,28.35,28.83,27.91,28.57,789355.868167
2026-03-16,28.25,28.63,27.72,28.22,901019.445599
2026-03-17,29.08,30.86,28.91,29.82,1769356.72614
2026-03-18,30.3,32.93,30.02,32.91,2538965.59857
2026-03-19,33.53,34.5,31.68,32.13,3065956.60022
2026-03-20,32.35,33.97,31.96,33.82,2776444.23143
2026-03-23,32.11,33.335,31.31,32.45,1614455.062776
2026-03-24,32.97,35.1299,32.93,33.06,2266402.248714
2026-03-25,32.57,33.9109,32.53,32.69,2089672.013038
2026-03-26,33.25,34.925,32.88,34.35,1304019.012713
2026-03-27,34.59,35.19,33.785,34.83,1111959.359041
2026-03-30,35.17,35.57,34.22,34.94,1221463.899331
2026-03-31,35.06,35.72,32.93,33.65,1337776.017399
2026-04-01,32.58,33.43,30.58,31.6,1838576.650942
2026-04-02,32.85,33.02,31.42,31.65,1426230.399064
2026-04-06,30.91,32.58,30.84,32.54,873906.538239
2026-04-07,32.47,33.52,32.47,33.03,834942.278983
2026-04-08,30.31,32.84,30.0023,32.68,1557451.527082
2026-04-09,32.8,33.2865,30.175,30.53,1277972.924056
2026-04-10,30.0,31.12,29.6621,30.65,807155.624648
2026-04-13,31.31,32.18,30.69,31.32,831816.240224
2026-04-14,31.32,31.44,30.08,30.13,776244.637644
2026-04-15,30.03,32.055,30.03,31.64,1196961.960142
2026-04-16,32.0,33.22,31.95,32.86,940036.647003
2026-04-17,30.71,30.75,28.79,29.44,1722596.055129
2026-04-20,29.57,30.4162,29.57,30.18,881834.17563
2026-04-21,30.39,31.5,29.93,31.22,980156.581767
2026-04-22,31.52,31.9,31.1,31.3,667364.477754
2026-04-23,31.3,31.6601,30.75,31.22,632797.439358
2026-04-24,31.24,31.835,30.75,31.52,556651.805088
2026-04-27,31.81,33.57,31.52,32.39,990866.142257
2026-04-28,32.77,33.01,31.85,32.65,728011.91985
2026-04-29,33.3,34.99,33.07,34.13,1432403.877634
2026-04-30,33.8,34.255,32.23,33.14,1773046.025989
2026-05-01,32.64,33.48,32.0101,33.28,976636.501217
2026-05-04,33.65,34.64,32.8037,34.2,794135.839873
2026-05-05,33.78,35.33,33.55,35.24,1028146.214078
2026-05-06,33.13,33.77,32.3,32.79,1138703.076472
2026-05-07,31.96,32.65,31.16,32.58,928240.763614
2026-05-08,32.32,33.86,31.775,33.55,753619.864494
2026-05-11,33.83,34.94,33.45,34.88,904396.162604
2026-05-12,35.23,35.23,34.2801,34.39,733048.290761
2026-05-13,34.41,34.475,33.2,33.84,795939.190559
2026-05-14,34.0,34.23,32.92,33.11,728077.901843
2026-05-15,33.51,34.5,33.485,33.89,1271268.510127
2026-05-18,33.55,35.1499,32.34,34.54,1035207.995763
2026-05-19,34.69,34.69,33.22,34.34,762577.889123
2026-05-20,34.22,34.5499,32.74,33.48,907010.962527
2026-05-21,33.98,34.0,31.75,31.84,745141.322692
2026-05-22,31.75,32.6699,31.41,32.45,601293.353572
2026-05-26,31.9,32.79,31.18,31.67,501300.115754
2026-05-27,31.11,32.195,30.59,32.02,515377.86643
2026-05-28,32.92,33.91,32.53,33.62,591879.52023
2026-05-29,33.47,34.075,33.05,33.22,851392.842736
2026-06-01,34.0,35.1,33.54,34.92,601386.643789
2026-06-02,34.54,35.95,34.49,35.66,592652.271282
2026-06-03,36.0,36.43,35.2,35.51,603586.458271
2026-06-04,33.77,34.49,33.43,33.75,810834.878607
2026-06-05,33.38,34.33,32.91,33.15,773528.555001
