date,open,high,low,close,volume
2026-02-10,73.77,78.36,73.0,75.7,13120315.0
2026-02-11,75.7,77.02,74.34,77.02,10625426.0
2026-02-12,77.51,79.065,77.08,77.93,8057600.0
2026-02-13,77.75,79.09,77.65,78.48,6721020.0
2026-02-17,79.18,79.75,77.85,78.2,5795354.0
2026-02-18,77.9,78.075,77.01,77.75,5217247.0
2026-02-19,78.02,78.28,76.43,77.32,5346110.0
2026-02-20,77.11,77.5,75.7201,76.69,6172898.0
2026-02-23,76.02,77.785,75.7,77.0,6498893.631004
2026-02-24,76.96,76.96,72.92,74.18,12199429.285098
2026-02-25,75.3,76.63,75.0145,76.19,8126226.73799
2026-02-26,76.34,78.68,76.34,78.01,6319378.101681
2026-02-27,78.02,79.9,77.5,79.9,14699347.2479
2026-03-02,79.89,81.68,79.28,81.66,12488706.631671
2026-03-03,81.18,81.69,79.13,80.49,7090906.416582
2026-03-04,80.41,81.09,79.671,80.57,6804710.012843
2026-03-05,79.96,80.32,78.3,78.69,10056204.774763
2026-03-06,78.77,78.855,76.93,77.92,7139743.166839
2026-03-09,77.24,78.41,76.3,78.26,6872305.537656
2026-03-10,78.59,78.75,76.1,76.32,6480819.460451
2026-03-11,76.0,76.51,75.32,75.72,5531464.466212
2026-03-12,76.81,77.585,75.985,76.07,7721049.764951
2026-03-13,76.84,77.17,76.0302,76.13,4537876.827388
2026-03-16,76.45,77.075,75.765,75.84,5392874.516462
2026-03-17,76.33,76.62,74.1201,74.81,8348745.903457
2026-03-18,74.39,74.47,73.0,73.02,7089710.860384
2026-03-19,73.2,73.85,71.6,71.86,9066931.988806
2026-03-20,71.5,71.73,70.21,71.48,18871390.046869
2026-03-23,72.29,72.46,70.61,71.29,8156426.306981
2026-03-24,71.0,73.28,70.25,72.8,8528246.233298
2026-03-25,72.74,73.38,71.44,72.18,5363762.024006
2026-03-26,72.02,72.63,71.02,71.18,4129058.506814
2026-03-27,71.1,71.43,69.67,70.08,6105505.058338
2026-03-30,71.13,71.46,69.5101,70.14,7306198.034683
2026-03-31,70.4,72.2,70.25,71.82,7718858.496245
2026-04-01,72.06,72.75,71.82,72.49,5099788.369076
2026-04-02,72.5,73.68,72.12,73.49,6034577.647586
2026-04-06,73.49,73.75,72.1,73.28,4948700.352669
2026-04-07,77.42,78.5851,75.44,78.22,16422464.418621
2026-04-08,78.64,78.86,77.72,78.79,6758554.801134
2026-04-09,78.76,79.56,78.31,78.84,5161137.271285
2026-04-10,78.98,79.46,78.44,79.33,6857835.687753
2026-04-13,78.14,78.82,77.535,78.09,6714745.946041
2026-04-14,77.9,78.98,77.56,77.62,6105015.801239
2026-04-15,77.15,77.445,74.87,74.99,8660949.865042
2026-04-16,74.9,76.81,74.7801,76.79,10594716.164207
2026-04-17,76.69,77.789,76.24,77.3,8683663.205652
2026-04-20,77.0,77.3112,76.287,76.58,7439691.105551
2026-04-21,78.99,79.05,76.6,77.36,7442527.307204
2026-04-22,77.9,78.295,76.31,76.43,5147971.731032
2026-04-23,76.1,79.64,76.1,78.86,9017513.188789
2026-04-24,78.88,79.04,77.46,77.94,7374346.223246
2026-04-27,77.86,78.67,77.61,78.36,5735071.270172
2026-04-28,79.18,81.37,79.04,80.98,8306951.382186
2026-04-29,81.22,83.93,81.0,83.9,7609601.152075
2026-04-30,83.83,83.85,82.3328,83.29,8332098.341601
2026-05-01,83.45,83.74,82.07,82.09,4941894.735304
2026-05-04,82.3,83.02,81.68,82.01,5375694.044546
2026-05-05,82.06,82.3,80.4,80.69,7304698.379
2026-05-06,85.51,88.63,85.12,86.86,15185203.201891
2026-05-07,87.0,87.99,86.22,87.36,9388716.523553
2026-05-08,88.0,90.89,87.36,90.55,11162662.985047
2026-05-11,91.155,92.77,90.63,92.22,12024381.170496
2026-05-12,92.22,95.355,91.5,95.15,12802558.267217
2026-05-13,95.5,98.22,94.3,98.11,12552652.50813
2026-05-14,98.32,98.43,96.58,97.15,9299641.758338
2026-05-15,97.5,97.8659,95.84,95.89,8798380.418455
2026-05-18,95.7,96.45,94.88,95.99,7208687.449873
2026-05-19,95.21,95.4633,93.9201,94.18,12935774.938666
2026-05-20,95.18,96.37,93.0,93.28,7886210.46794
2026-05-21,93.16,93.93,92.56,93.32,6479005.112941
2026-05-22,93.29,94.15,93.0,93.26,4838610.073177
2026-05-26,93.06,93.51,90.71,90.73,5624429.40659
2026-05-27,90.99,92.09,90.6501,92.07,5403371.832244
2026-05-28,92.21,94.175,91.975,92.97,6901906.204646
2026-05-29,92.67,93.58,90.57,90.98,9729968.553552
2026-06-01,91.13,91.85,90.19,90.62,5153847.059814
2026-06-02,90.55,91.195,89.42,89.5,5652045.2299
2026-06-03,90.05,93.32,90.0,91.37,7581483.8975
2026-06-04,93.55,94.87,93.0,94.82,12339777.325099
2026-06-05,94.97,96.63,94.9672,95.93,9704795.666307
2026-06-08,95.95,97.27,94.89,97.08,6082306.312272
2026-06-09,96.7,97.52,95.92,97.06,6175991.762504
