date,open,high,low,close,volume
2026-02-12,75.69,75.84,74.135,74.23,748041.0
2026-02-13,74.31,74.84,73.83,74.35,970735.0
2026-02-17,74.13,74.6699,73.6593,74.45,722998.0
2026-02-18,74.61,75.18,74.45,74.83,1237027.0
2026-02-19,74.61,74.8399,74.335,74.68,748175.0
2026-02-20,74.4,75.25,74.4,75.16,1113226.0
2026-02-23,75.01,75.18,74.065,74.29,762261.548771
2026-02-24,74.28,74.98,74.1,74.91,552492.190401
2026-02-25,75.17,75.56,75.165,75.5,395218.078417
2026-02-26,75.53,75.53,74.595,75.16,559108.26614
2026-02-27,74.46,74.81,74.2802,74.8,737639.725503
2026-03-02,73.99,75.06,73.95,74.84,918277.068111
2026-03-03,73.51,74.375,72.87,74.09,1158782.985345
2026-03-04,74.31,74.84,74.02,74.64,615222.603242
2026-03-05,74.31,74.69,73.54,74.18,1370187.76098
2026-03-06,73.29,73.54,72.83,73.16,1889700.478733
2026-03-09,72.47,73.96,71.985,73.81,1907026.230129
2026-03-10,73.78,74.36,73.41,73.62,1571093.053921
2026-03-11,73.69,73.94,73.22,73.57,909945.626813
2026-03-12,72.99,73.03,72.36,72.39,3079264.926125
2026-03-13,72.73,73.05,71.88,71.98,1908812.074711
2026-03-16,72.68,73.03,72.53,72.72,1638238.76445
2026-03-17,73.05,73.34,72.86,72.96,822038.703243
2026-03-18,72.7,72.85,71.94,71.97,1975159.934061
2026-03-19,71.4,72.17,71.25,71.8,4357955.073131
2026-03-20,71.72,71.72,70.34,70.74,1868575.464545
2026-03-23,71.79,72.39,71.42,71.6,3221017.016621
2026-03-24,71.0,71.65,70.82,71.23,2159482.530901
2026-03-25,71.89,72.08,71.35,71.66,1268423.760279
2026-03-26,71.18,71.47,70.37,70.4,986924.988553
2026-03-27,70.14,70.14,69.06,69.19,1346955.118247
2026-03-30,69.8,69.835,68.59,68.89,2448828.914059
2026-03-31,69.67,71.05,69.55,70.91,1834165.879412
2026-04-01,71.38,71.85,71.225,71.46,1042766.197611
2026-04-02,70.53,71.79,70.34,71.55,2252581.702649
2026-04-06,71.56,71.93,71.485,71.84,2378698.332913
2026-04-07,71.65,71.92,71.01,71.88,1217264.366084
2026-04-08,73.79,73.875,73.27,73.72,670958.948267
2026-04-09,73.69,74.26,73.48,74.12,833035.71282
2026-04-10,74.31,74.34,73.9223,74.06,515429.102266
2026-04-13,73.84,74.85,73.75,74.83,644142.72402
2026-04-14,75.08,75.73,75.05,75.71,500509.984689
2026-04-15,75.84,76.29,75.7,76.24,404744.935568
2026-04-16,76.41,76.56,76.11,76.44,364018.923539
2026-04-17,76.94,77.675,76.92,77.41,707805.460099
2026-04-20,77.31,77.405,77.02,77.3,740593.832372
2026-04-21,77.48,77.655,76.68,76.8,471321.122118
2026-04-22,77.35,77.591,77.29,77.57,1311450.099015
2026-04-23,77.41,77.67,76.55,77.26,545707.311699
2026-04-24,77.52,77.875,77.265,77.82,490976.220169
2026-04-27,77.69,77.98,77.63,77.94,387471.1781
2026-04-28,77.62,77.7,77.22,77.48,404733.248028
2026-04-29,77.48,77.52,77.1,77.43,466738.625366
2026-04-30,77.74,78.385,77.37,78.27,445749.668912
2026-05-01,78.59,78.93,78.48,78.48,476130.73506
2026-05-04,78.41,78.685,77.9,78.22,822445.198317
2026-05-05,78.59,79.035,78.59,78.87,697265.935713
2026-05-06,79.44,80.065,79.39,80.01,504268.840184
2026-05-07,80.18,80.18,79.44,79.61,784894.386468
2026-05-08,80.0,80.32,79.92,80.27,489628.576017
2026-05-11,80.11,80.62,80.11,80.41,468578.631439
2026-05-12,80.18,80.32,79.53,80.25,530903.353756
2026-05-13,80.28,80.8699,79.96,80.72,435878.056303
2026-05-14,80.91,81.495,80.91,81.36,790887.812811
2026-05-15,80.65,80.76,80.18,80.28,588633.837029
2026-05-18,80.33,80.53,79.66,80.18,1449058.991849
2026-05-19,79.8,80.0855,79.38,79.64,572175.161596
2026-05-20,79.91,80.6,79.72,80.57,650561.83838
2026-05-21,80.3,80.99,80.135,80.78,506371.787837
2026-05-22,81.14,81.48,81.0,81.12,579229.621885
2026-05-26,81.63,81.94,81.53,81.78,579704.441477
2026-05-27,81.89,81.89,81.51,81.76,814756.97681
2026-05-28,81.81,82.2965,81.615,82.24,816071.260521
2026-05-29,82.35,82.605,82.195,82.42,454940.866623
2026-06-01,82.36,82.82,82.2,82.62,874686.463705
2026-06-02,82.56,82.965,82.52,82.87,1188816.777223
2026-06-03,82.8,82.8,82.24,82.32,712380.663235
2026-06-04,82.01,82.815,81.975,82.68,532359.57382
2026-06-05,82.13,82.17,80.19,80.4,703128.689853
2026-06-08,81.14,81.34,80.59,80.68,747337.654397
2026-06-09,81.19,81.61,78.79,80.46,1990638.827663
2026-06-10,80.07,80.63,79.16,79.17,751822.584674
2026-06-11,79.56,80.88,79.15,80.67,869425.970708
