date,open,high,low,close,volume
2026-02-02,2.57,2.62,2.421,2.52,2391658.0
2026-02-03,2.575,2.76,2.4899,2.74,3524690.0
2026-02-04,2.7,2.76,2.43,2.49,3923696.0
2026-02-05,2.35,2.465,2.14,2.15,3277610.0
2026-02-06,2.22,2.39,2.1901,2.33,4267790.0
2026-02-09,2.33,2.4853,2.27,2.43,1709240.0
2026-02-10,2.4,2.49,2.32,2.34,1337528.0
2026-02-11,2.38,2.42,2.155,2.19,2719125.0
2026-02-12,2.22,2.26,2.07,2.22,1897087.0
2026-02-13,2.21,2.37,2.17,2.26,1445650.0
2026-02-17,2.25,2.33,2.14,2.3,1570544.0
2026-02-18,2.27,2.49,2.26,2.39,1320954.0
2026-02-19,2.35,2.405,2.285,2.4,890546.0
2026-02-20,2.4,2.6,2.36,2.44,1244356.0
2026-02-23,2.37,2.43,2.29,2.42,1178114.811127
2026-02-24,2.38,2.6472,2.32,2.59,1976332.588831
2026-02-25,2.67,2.8389,2.65,2.66,1890418.550506
2026-02-26,2.7,2.8,2.5911,2.77,1263034.793965
2026-02-27,2.71,2.77,2.62,2.76,1997399.010456
2026-03-02,2.65,2.97,2.61,2.93,2632501.572705
2026-03-03,2.8,2.8788,2.68,2.8,1709040.304189
2026-03-04,2.91,3.05,2.87,2.98,2021643.921412
2026-03-05,2.99,3.05,2.8,2.9,1562565.458443
2026-03-06,2.76,2.88,2.63,2.72,1934368.351933
2026-03-09,2.62,2.76,2.555,2.73,1422916.522828
2026-03-10,2.75,2.895,2.7101,2.75,1683668.16425
2026-03-11,2.72,3.01,2.72,2.89,1716043.716981
2026-03-12,2.89,2.9,2.74,2.83,995062.806881
2026-03-13,2.9,3.05,2.215,2.22,6157217.975726
2026-03-16,2.46,2.65,2.38,2.48,3792878.773938
2026-03-17,2.49,2.505,2.345,2.39,1980534.205432
2026-03-18,2.41,2.5,2.37,2.41,1535105.401912
2026-03-19,2.37,2.445,2.27,2.41,1272804.254268
2026-03-20,2.4,2.4,2.23,2.33,1795109.611851
2026-03-23,2.35,2.495,2.29,2.39,1795603.176901
2026-03-24,2.37,2.415,2.285,2.34,1051951.903965
2026-03-25,2.38,2.455,2.34,2.4,962679.619944
2026-03-26,2.33,2.355,2.15,2.15,1782077.566475
2026-03-27,2.12,2.14,2.03,2.06,1483186.458695
2026-03-30,2.11,2.14,1.86,1.89,2224033.798131
2026-03-31,1.94,2.055,1.895,2.03,3081404.72167
2026-04-01,2.05,2.27,1.995,2.16,2058437.806961
2026-04-02,2.08,2.225,2.0,2.21,1111577.852025
2026-04-06,2.21,2.25,2.14,2.18,963072.436879
2026-04-07,2.16,2.16,2.03,2.15,1053488.05722
2026-04-08,2.3,2.52,2.16,2.4,3471893.286445
2026-04-09,2.36,2.41,2.29,2.36,1428531.229991
2026-04-10,2.35,2.385,2.175,2.36,1595252.897892
2026-04-13,2.3,2.54,2.242,2.51,1414922.945232
2026-04-14,2.6,2.825,2.6,2.75,2244306.898625
2026-04-15,2.74,2.92,2.71,2.86,1901234.779616
2026-04-16,2.86,2.87,2.675,2.76,1295094.531049
2026-04-17,2.96,3.1399,2.94,3.1,2600186.822188
2026-04-20,3.11,3.73,3.09,3.69,8618469.65434
2026-04-21,3.7,3.78,3.41,3.46,3697048.799347
2026-04-22,3.6,3.66,3.43,3.53,2022326.612342
2026-04-23,3.46,3.71,3.32,3.44,2187788.582392
2026-04-24,3.45,3.4699,3.23,3.39,1298303.036339
2026-04-27,3.33,3.44,3.21,3.33,1411035.426859
2026-04-28,3.23,3.27,3.11,3.19,1020490.250241
2026-04-29,3.2,3.2,2.935,3.11,1488814.307635
2026-04-30,3.1,3.37,3.075,3.37,1196947.496418
2026-05-01,3.38,3.76,3.33,3.76,1896815.072313
2026-05-04,3.83,4.23,3.64,3.95,4976635.732386
2026-05-05,5.34,5.68,4.71,5.11,115837544.136017
2026-05-06,5.42,6.41,5.3,6.24,31021344.71826
2026-05-07,6.19,6.43,5.485,6.19,19279436.37358
2026-05-08,6.17,6.8,5.9,6.63,16461211.613614
2026-05-11,7.42,8.08,7.16,7.43,38246772.530061
2026-05-12,7.18,8.52,6.8601,8.39,22399187.235187
2026-05-13,8.79,9.2,7.71,8.46,26450280.558611
2026-05-14,8.37,9.08,6.915,7.22,41647493.771277
2026-05-15,6.88,8.04,6.8,7.54,22587840.1696
2026-05-18,7.53,7.75,6.75,7.24,13109537.782108
2026-05-19,7.07,7.93,6.895,7.72,11160386.409546
2026-05-20,7.68,8.11,7.36,7.56,11010172.977262
2026-05-21,7.47,7.99,7.145,7.7,9273144.940968
2026-05-22,7.7,8.2997,7.4101,7.94,14858504.136659
2026-05-26,7.91,8.57,7.71,8.1,12711895.899072
2026-05-27,7.85,8.2,7.41,8.01,12643409.072045
2026-05-28,7.9,8.81,7.9,8.11,14366947.30073
2026-05-29,8.165,8.1988,7.37,7.81,11038036.908161
2026-06-01,7.615,8.2,7.2802,8.04,9287489.911033
2026-06-02,7.82,8.37,7.76,7.86,8220302.74347
2026-06-03,8.21,8.52,7.545,7.62,17199728.09051
2026-06-04,7.39,8.0,7.3299,7.48,9890862.913884
2026-06-05,7.22,7.26,5.97,6.04,15257982.298275
2026-06-08,6.4,6.65,6.163,6.36,5871735.747434
2026-06-09,6.34,6.4756,5.61,5.9,10022621.358325
2026-06-10,5.88,6.36,5.8,5.99,5512746.230099
2026-06-11,6.11,6.5,5.992,6.5,8272913.465063
2026-06-12,6.52,6.74,6.23,6.24,4693006.480675
