date,open,high,low,close,volume
2026-02-02,12.55,12.82,12.28,12.32,4361378.0
2026-02-03,12.37,12.48,12.0,12.19,3500441.0
2026-02-04,12.3,12.52,12.1,12.455,3464920.0
2026-02-05,12.1,12.1805,10.89,10.895,6129986.0
2026-02-06,11.24,11.53,11.12,11.455,3760680.0
2026-02-09,11.26,11.49,11.0403,11.27,2871852.0
2026-02-10,11.29,11.45,11.155,11.25,3248685.0
2026-02-11,11.28,11.28,10.92,11.06,2746078.0
2026-02-12,11.1,11.13,10.66,10.89,3787019.0
2026-02-13,10.95,11.3,10.83,10.98,2804496.0
2026-02-17,10.96,10.98,9.9,9.91,6951261.0
2026-02-18,10.08,10.52,9.93,10.48,4606230.0
2026-02-19,10.39,10.6179,10.25,10.57,2343437.0
2026-02-20,10.49,10.71,10.07,10.11,3149553.0
2026-02-23,10.01,10.14,9.9,9.96,3109481.181691
2026-02-24,9.96,10.7,9.89,10.63,3171465.148742
2026-02-25,10.7,10.96,10.52,10.89,2698574.135692
2026-02-26,10.775,11.0,10.6914,10.96,2409029.521938
2026-02-27,10.95,11.0599,10.55,10.71,2823754.45649
2026-03-02,10.23,11.43,10.2,11.08,5605121.400608
2026-03-03,10.76,10.8511,10.23,10.64,3448310.674373
2026-03-04,10.79,11.11,10.745,10.95,3217620.768167
2026-03-05,10.87,10.9693,10.53,10.74,2512719.883548
2026-03-06,10.51,10.6036,10.15,10.18,3076533.745131
2026-03-09,10.02,10.3578,9.9,10.27,3106156.264049
2026-03-10,10.24,10.37,10.13,10.27,3057655.444937
2026-03-11,10.27,10.475,10.055,10.37,3422653.832674
2026-03-12,10.2,10.311,9.92,9.94,3174232.824939
2026-03-13,10.17,10.3,9.72,9.8,4120384.642769
2026-03-16,9.955,10.05,9.76,9.76,3414625.835367
2026-03-17,9.8,9.879,9.74,9.8,2846419.973489
2026-03-18,9.725,9.75,9.12,9.13,5034500.055524
2026-03-19,8.95,8.97,8.48,8.66,6091804.736008
2026-03-20,8.59,8.695,8.305,8.58,5962762.528871
2026-03-23,8.57,9.22,8.52,9.05,4635990.625679
2026-03-24,8.92,8.9293,8.7,8.775,2406172.51271
2026-03-25,8.93,9.245,8.83,9.19,3775727.353715
2026-03-26,8.92,9.145,8.58,8.59,3094384.564331
2026-03-27,8.5,8.6272,8.38,8.47,2551518.252496
2026-03-30,8.5,8.85,8.48,8.72,3105428.722418
2026-03-31,8.88,9.29,8.8602,9.28,3499185.272371
2026-04-01,9.39,9.42,9.01,9.06,2521754.44444
2026-04-02,8.82,9.285,8.78,9.18,2962737.112627
2026-04-06,9.31,9.63,9.25,9.38,3063587.245443
2026-04-07,9.25,9.305,9.09,9.2,2415818.384574
2026-04-08,9.758,9.88,9.37,9.57,3512352.754373
2026-04-09,9.47,9.54,9.16,9.26,3396399.835473
2026-04-10,9.35,9.465,9.3066,9.39,2434054.744497
2026-04-13,9.26,9.6,9.21,9.6,2835650.43942
2026-04-14,9.79,10.0,9.7603,9.95,4374514.162753
2026-04-15,10.0,10.215,9.91,10.2,3481426.317306
2026-04-16,10.25,10.32,9.8,9.85,3094234.237142
2026-04-17,10.08,10.55,10.05,10.26,4208557.295741
2026-04-20,10.06,10.22,9.9,10.2,2769887.623352
2026-04-21,10.25,10.27,9.82,9.82,2814055.303046
2026-04-22,9.87,10.07,9.48,9.48,5201582.360509
2026-04-23,9.485,9.63,9.06,9.17,3485746.387079
2026-04-24,9.27,9.46,9.015,9.35,2469913.419752
2026-04-27,9.32,10.1499,9.29,9.95,5433756.350914
2026-04-28,9.69,9.8,9.1,9.16,5357437.368848
2026-04-29,9.18,9.2499,8.97,9.17,4129475.4527
2026-04-30,9.195,9.348,9.06,9.15,3011391.922076
2026-05-01,9.15,9.7,9.12,9.39,6344239.431851
2026-05-04,9.36,9.4347,9.13,9.2,2676661.378044
2026-05-05,9.25,9.34,9.08,9.2,2630156.471329
2026-05-06,9.26,9.4,9.0301,9.1,3556264.205186
2026-05-07,9.07,9.285,8.95,9.02,3153992.287103
2026-05-08,9.045,9.075,8.7,8.93,4960996.908416
2026-05-11,8.78,9.15,8.599,8.83,4981752.032384
2026-05-12,8.83,9.05,8.652,8.73,3685351.05787
2026-05-13,8.78,9.12,8.56,8.95,6091807.589258
2026-05-14,8.95,9.09,8.77,8.95,3900131.534649
2026-05-15,8.79,8.8204,8.625,8.67,2827777.204538
2026-05-18,8.64,8.6563,8.135,8.27,4468718.759039
2026-05-19,8.19,8.25,8.0,8.0,3354488.900707
2026-05-20,8.0,8.15,7.86,8.06,3783024.705526
2026-05-21,8.0,8.1,7.93,7.95,3277243.105603
2026-05-22,7.95,8.15,7.9,7.95,2756042.11572
2026-05-26,8.01,8.49,8.01,8.28,5352479.780885
2026-05-27,8.24,8.795,8.15,8.57,5223803.722671
2026-05-28,8.49,9.01,8.24,8.9,4710944.345281
2026-05-29,8.88,9.65,8.815,9.31,7882863.938731
2026-06-01,9.08,9.48,9.0,9.47,4799859.346436
2026-06-02,9.36,9.36,8.91,9.04,3943870.984749
2026-06-03,8.91,8.97,8.5702,8.63,3953813.916401
2026-06-04,8.56,9.55,8.56,8.8,6081583.495452
2026-06-05,8.72,8.7783,8.22,8.27,5100000.17757
2026-06-08,8.31,8.385,8.15,8.15,2578297.101558
2026-06-09,8.16,8.31,7.76,8.16,4868312.837653
2026-06-10,8.01,8.24,7.77,7.79,3741058.654786
2026-06-11,7.82,8.28,7.75,8.25,4191150.345054
2026-06-12,8.21,8.2599,7.8,7.8,4162158.896505
