date,open,high,low,close,volume
2026-02-06,23.69,27.89,23.66,27.73,23126300.0
2026-02-09,28.57,28.65,26.59,27.5,6883775.0
2026-02-10,27.75,28.5,26.98,27.24,4399915.0
2026-02-11,27.01,27.43,25.92,25.96,5137107.0
2026-02-12,26.1,26.14,24.35,24.71,6262336.0
2026-02-13,25.17,25.465,24.55,25.02,3725276.0
2026-02-17,25.14,25.58,24.3,24.58,4866326.0
2026-02-18,24.76,25.95,24.49,25.45,3684048.0
2026-02-19,25.31,25.46,24.9,25.23,2711126.0
2026-02-20,25.05,25.91,24.98,25.55,2253078.0
2026-02-23,25.21,25.28,23.58,23.76,3837834.354331
2026-02-24,23.74,24.285,23.66,24.07,2940610.16863
2026-02-25,24.32,24.71,23.53,24.4,2635753.549123
2026-02-26,24.415,25.35,24.28,25.1,3162862.188421
2026-02-27,24.3,24.79,24.11,24.53,3102451.312414
2026-03-02,24.05,25.73,23.84,25.7,3595766.905161
2026-03-03,25.16,27.06,24.865,26.97,3608321.514579
2026-03-04,26.75,26.92,25.96,26.44,2173482.370817
2026-03-05,26.74,27.09,25.45,26.07,2783119.423458
2026-03-06,26.06,26.155,25.053,25.34,2210630.759016
2026-03-09,25.0,25.6,24.67,25.49,2014224.235734
2026-03-10,25.37,25.71,24.09,24.78,2836554.672151
2026-03-11,24.96,25.19,24.2,24.64,1940314.272324
2026-03-12,24.61,25.09,24.05,24.28,2876286.496547
2026-03-13,24.57,24.74,24.0,24.37,2226793.025791
2026-03-16,24.15,24.86,24.0,24.59,2312838.488938
2026-03-17,24.66,25.39,24.65,24.91,2398542.183733
2026-03-18,24.7,25.11,24.6,24.79,1875971.147611
2026-03-19,24.42,25.31,24.42,24.8,1724441.398134
2026-03-20,24.69,24.95,24.24,24.41,5112693.866472
2026-03-23,24.93,25.41,24.57,25.03,2130833.774258
2026-03-24,24.64,24.775,24.075,24.34,2391176.283121
2026-03-25,24.62,24.94,23.53,24.18,2056010.399987
2026-03-26,24.07,24.92,23.93,24.31,1681758.074179
2026-03-27,24.04,24.25,23.13,23.69,2082059.71728
2026-03-30,23.79,24.44,23.7,23.73,2109547.212417
2026-03-31,22.73,24.085,21.82,23.3,6239736.548335
2026-04-01,23.31,23.6,22.75,22.93,3612317.451535
2026-04-02,22.62,23.12,21.88,22.77,2401746.670884
2026-04-06,22.8,23.2,22.65,23.06,1373761.01998
2026-04-07,23.0,23.29,22.265,22.5,1922374.858857
2026-04-08,23.13,23.35,21.66,21.86,3430878.112106
2026-04-09,21.64,21.73,20.55,21.16,5091992.362976
2026-04-10,21.09,21.59,20.87,21.05,3635278.778701
2026-04-13,21.06,22.76,20.96,22.66,2826452.773093
2026-04-14,22.89,23.28,21.985,22.25,2237322.071223
2026-04-15,22.71,23.97,22.68,23.9,3681648.306927
2026-04-16,24.24,25.0,23.92,24.25,3792203.160931
2026-04-17,24.9,25.65,24.55,24.71,3838662.434566
2026-04-20,23.5,24.5,23.05,24.39,3703257.676663
2026-04-21,24.5,25.15,23.94,24.15,3365958.83691
2026-04-22,24.39,24.48,23.86,24.26,2451225.424719
2026-04-23,23.7,23.7,22.722,23.17,2269647.941492
2026-04-24,23.52,24.02,23.2,24.01,5697708.817512
2026-04-27,23.95,24.98,23.9,24.66,3071923.166042
2026-04-28,24.74,25.39,24.475,24.57,1757525.238989
2026-04-29,24.49,24.49,23.775,24.2,2045530.107472
2026-04-30,23.84,24.51,23.4,24.44,2428383.990329
2026-05-01,24.93,25.29,24.51,24.98,2690208.291657
2026-05-04,24.98,25.67,24.55,24.89,3219494.124418
2026-05-05,24.89,25.85,24.54,25.77,2964004.708088
2026-05-06,25.7,25.86,24.8,25.69,2638800.721349
2026-05-07,26.06,26.45,25.75,26.03,2173565.426991
2026-05-08,25.58,26.0,24.99,25.98,2075585.025755
2026-05-11,25.77,26.49,25.56,26.26,4192656.853429
2026-05-12,26.42,26.69,26.19,26.45,3589051.30908
2026-05-13,26.34,26.49,23.21,23.39,12367159.98845
2026-05-14,18.26,18.4,17.15,18.01,25491388.264872
2026-05-15,17.95,19.779,17.881,18.97,12354254.032407
2026-05-18,18.99,19.7999,18.55,19.58,7423104.165642
2026-05-19,19.8,20.135,19.04,19.26,5788938.002166
2026-05-20,19.01,19.98,18.36,19.86,4502687.174822
2026-05-21,19.75,19.86,19.06,19.39,3779617.023487
2026-05-22,19.3,20.0,19.275,19.94,3475644.881985
