date,open,high,low,close,volume
2026-02-06,55.16,55.88,55.16,55.78,196275.0
2026-02-09,55.76,56.0393,55.5301,55.88,226855.0
2026-02-10,56.01,56.48,56.01,56.3,120527.0
2026-02-11,56.57,56.7592,56.21,56.39,118433.0
2026-02-12,56.66,56.99,55.29,55.61,112564.0
2026-02-13,55.55,56.238,55.36,56.01,155085.0
2026-02-17,56.02,56.23,55.401,55.85,98670.0
2026-02-18,55.87,56.28,55.855,56.08,93533.0
2026-02-19,55.88,56.1047,55.585,55.84,108542.0
2026-02-20,55.84,56.29,55.635,56.14,99289.0
2026-02-23,56.02,56.21,54.94,55.23,135099.260431
2026-02-24,55.29,55.75,55.29,55.58,223441.96361
2026-02-25,55.77,55.77,55.0,55.5,244427.407142
2026-02-26,55.72,56.14,55.59,56.01,124691.172348
2026-02-27,55.64,55.64,55.205,55.58,86504.987712
2026-03-02,55.09,55.895,54.85,55.75,132753.093367
2026-03-03,54.77,55.2999,54.0,55.09,115304.01779
2026-03-04,55.26,55.26,54.7165,55.13,91710.114473
2026-03-05,54.81,55.085,54.19,54.52,123400.09141
2026-03-06,53.76,53.76,53.14,53.68,86399.201575
2026-03-09,53.13,53.69,52.26,53.49,118838.562106
2026-03-10,53.44,53.9099,53.055,53.11,105536.781289
2026-03-11,53.01,53.15,52.6601,52.94,92565.022459
2026-03-12,52.58,52.89,52.2784,52.34,121308.185392
2026-03-13,52.69,52.89,52.17,52.26,107562.223825
2026-03-16,52.68,52.93,52.39,52.39,104229.341266
2026-03-17,52.81,53.135,52.74,52.74,101233.856588
2026-03-18,52.53,52.6661,52.13,52.17,89552.551496
2026-03-19,51.74,52.34,51.6,52.04,113890.499374
2026-03-20,51.95,51.95,51.04,51.28,93528.610774
2026-03-23,52.07,52.6404,51.85,51.92,144381.455223
2026-03-24,51.74,52.6816,51.67,52.3,157598.821079
2026-03-25,52.73,52.92,52.12,52.61,210941.776464
2026-03-26,52.12,52.76,52.12,52.27,150240.737877
2026-03-27,52.15,52.29,51.59,51.69,193981.100577
2026-03-30,52.15,52.25,51.47,51.62,221362.257801
2026-03-31,52.16,52.9,51.87,52.54,148216.001144
2026-04-01,52.64,52.96,52.595,52.76,148122.523658
2026-04-02,52.37,53.0,52.23,52.84,162281.345599
2026-04-06,52.74,53.0934,52.605,53.04,146904.980019
2026-04-07,52.96,53.33,52.93,53.1,321771.353945
2026-04-08,53.93,54.3,53.9204,54.18,119554.082291
2026-04-09,54.0,54.62,53.9901,54.46,110545.732024
2026-04-10,54.52,54.52,54.073,54.17,131565.772418
2026-04-13,54.03,54.49,53.86,54.49,151997.197681
2026-04-14,54.49,54.6894,54.22,54.57,116489.976648
2026-04-15,54.56,54.56,54.1708,54.32,114622.808783
2026-04-16,54.4,54.79,54.32,54.49,152082.349883
2026-04-17,54.68,55.59,54.68,55.25,100426.359019
2026-04-20,55.09,55.5645,55.09,55.51,94248.84479
2026-04-21,55.54,55.8612,55.075,55.14,93866.426543
2026-04-22,55.62,55.62,54.88,55.01,105012.362264
2026-04-23,55.21,55.4799,54.8707,55.31,86952.471365
2026-04-24,55.41,55.41,55.01,55.05,78863.079141
2026-04-27,55.1,55.3187,55.06,55.15,107162.513207
2026-04-28,55.38,55.555,54.86,55.08,160182.202625
2026-04-29,55.14,55.19,54.61,54.73,132084.2005
2026-04-30,54.68,55.555,54.68,55.47,81035.322486
2026-05-01,55.56,55.56,55.17,55.22,81535.034424
2026-05-04,55.01,55.31,54.55,54.75,154246.511443
2026-05-05,54.86,55.4,54.81,55.21,104250.434817
2026-05-06,55.52,55.81,55.4401,55.53,80322.450897
2026-05-07,55.63,55.63,55.005,55.08,80253.557165
2026-05-08,55.36,55.425,55.0,55.21,99567.00595
2026-05-11,55.45,55.45,54.85,54.89,146523.785068
2026-05-12,54.98,54.98,54.265,54.85,73269.515615
2026-05-13,54.75,54.75,54.25,54.52,110407.608337
2026-05-14,54.75,54.94,54.6,54.65,145066.855133
2026-05-15,54.51,54.51,53.93,54.0,131220.135645
2026-05-18,54.19,54.6875,54.15,54.43,101075.744413
2026-05-19,54.33,54.35,53.8517,54.05,147410.828617
2026-05-20,54.19,54.78,53.85,54.78,114304.227768
2026-05-21,54.5,54.935,54.16,54.87,154538.620179
2026-05-22,55.0,55.27,54.86,55.25,127254.544992
