date,open,high,low,close,volume
2026-02-06,31.0,31.855,30.81,31.78,8977217.0
2026-02-09,31.5,32.54,31.02,32.08,10275426.0
2026-02-10,32.4,33.99,32.4,33.6,13531189.0
2026-02-11,33.7,34.77,33.51,34.0,12754847.0
2026-02-12,34.21,34.43,32.0726,32.65,15685874.0
2026-02-13,32.62,33.15,32.321,32.49,10184110.0
2026-02-17,32.3,32.69,30.93,31.42,9911383.0
2026-02-18,31.65,32.48,31.44,31.58,10919042.0
2026-02-19,31.49,31.73,30.89,31.39,8869406.0
2026-02-20,30.97,31.07,29.49,30.52,17925083.0
2026-02-23,30.09,30.9,30.09,30.3,9417744.542292
2026-02-24,30.64,31.47,30.51,31.05,10487419.347787
2026-02-25,31.16,31.3,29.645,30.02,11139343.968441
2026-02-26,29.99,30.05,29.21,29.9,9211207.044763
2026-02-27,29.24,30.86,29.2041,30.73,13297751.51113
2026-03-02,30.7,31.555,30.14,30.6,13479048.086042
2026-03-03,29.83,31.0,29.385,30.74,13305276.087737
2026-03-04,32.0,32.39,31.04,32.34,13279485.113719
2026-03-05,33.5,34.592,33.21,33.72,24545884.082314
2026-03-06,35.0,35.15,32.95,33.28,19447179.319889
2026-03-09,34.95,35.749,34.1,34.31,28495468.899667
2026-03-10,34.62,35.18,33.185,33.89,22301911.884486
2026-03-11,33.95,34.575,33.7001,34.37,11113493.549754
2026-03-12,35.75,37.68,35.51,37.58,25159615.732938
2026-03-13,37.7,37.75,36.51,36.62,16375051.5803
2026-03-16,36.39,36.63,35.97,36.0,9567400.615545
2026-03-17,36.18,37.57,36.03,36.91,14301725.706342
2026-03-18,37.5,38.26,37.0526,37.69,15273871.540287
2026-03-19,38.01,38.58,37.07,37.49,13779980.343509
2026-03-20,37.82,38.32,36.48,36.65,15453512.413537
2026-03-23,35.92,36.685,35.55,36.04,14991549.384482
2026-03-24,36.23,38.47,36.23,38.31,16393479.858543
2026-03-25,38.3,39.695,38.0,39.62,12223755.168134
2026-03-26,39.62,40.195,39.22,39.47,9711574.280707
2026-03-27,39.63,41.055,39.31,40.82,12322125.942369
2026-03-30,41.62,42.5,41.21,41.87,15306522.099656
2026-03-31,41.68,42.74,40.86,41.65,21086635.32039
2026-04-01,41.59,41.755,39.585,40.69,21921973.567797
2026-04-02,42.12,42.37,40.8,41.4,13355364.874893
2026-04-06,40.45,41.0683,39.935,40.56,13059094.087194
2026-04-07,40.84,42.05,40.66,41.41,14260234.433007
2026-04-08,36.62,39.345,35.75,39.28,27145690.812568
2026-04-09,39.6,40.6,37.9,38.04,18500459.174677
2026-04-10,38.5,39.12,38.245,39.01,10924277.224148
2026-04-13,40.0,40.6178,39.7808,40.11,9495680.183195
2026-04-14,39.7,39.725,38.15,39.16,13086673.924691
2026-04-15,39.15,39.415,38.72,38.84,9404346.276521
2026-04-16,39.5,40.01,39.18,39.92,11306243.760817
2026-04-17,36.29,36.55,34.8,35.6,27285946.425679
2026-04-20,36.045,37.28,35.92,36.77,12428592.081026
2026-04-21,36.88,38.33,36.88,38.31,13555504.903086
2026-04-22,38.5,39.0,38.29,38.81,14665254.999071
2026-04-23,39.38,40.05,36.7246,38.53,22976934.030476
2026-04-24,38.94,39.49,37.93,38.66,12672412.088868
2026-04-27,39.5,39.72,37.375,38.1,11226410.419322
2026-04-28,38.9,39.1,37.85,38.01,9268110.251596
2026-04-29,38.59,39.7,38.51,39.55,11659366.32053
2026-04-30,39.4,40.85,38.88,40.49,15935600.746465
2026-05-01,40.94,41.46,39.43,40.29,9176886.120043
2026-05-04,40.74,40.99,39.6205,40.58,8787388.588303
2026-05-05,40.44,41.475,40.305,40.8,7117500.558535
2026-05-06,38.07,38.91,37.585,38.5,17871609.896954
2026-05-07,37.55,37.76,36.86,37.32,17292209.875609
2026-05-08,37.51,37.645,36.72,36.87,9781535.642309
2026-05-11,37.5,38.82,37.49,38.76,9412508.665833
2026-05-12,38.99,39.845,38.5405,39.43,8792714.525545
2026-05-13,40.01,40.17,38.81,38.84,8415307.932698
2026-05-14,38.73,39.075,38.5499,38.78,5643055.313041
2026-05-15,39.0,39.415,38.611,38.75,9185309.813003
2026-05-18,38.47,38.8086,37.885,38.56,8719776.18432
2026-05-19,38.71,38.88,37.205,37.74,10566275.028097
2026-05-20,37.58,37.89,35.92,36.27,15321313.461464
2026-05-21,36.5797,37.35,35.565,35.91,12844727.20134
2026-05-22,36.15,36.6,35.555,36.01,9011923.901181
2026-05-26,36.21,36.3,35.02,35.28,14117706.669111
2026-05-27,34.6,34.89,34.085,34.49,16014608.639253
2026-05-28,34.89,35.54,34.435,34.77,12486395.568161
2026-05-29,34.48,34.52,33.445,33.75,17171965.15289
2026-06-01,34.25,35.4099,34.205,34.69,10533943.121336
2026-06-02,34.555,34.925,34.26,34.72,11207901.257623
2026-06-03,34.69,35.7142,34.68,35.4,10733809.744672
2026-06-04,34.96,35.52,34.53,34.79,9244342.493411
