date,open,high,low,close,volume
2026-02-06,7.0,7.03,6.58,6.62,6523064.0
2026-02-09,6.68,6.74,6.545,6.59,5650947.0
2026-02-10,6.58,6.765,6.58,6.69,4054813.0
2026-02-11,6.5,6.5801,6.35,6.37,8898627.0
2026-02-12,6.41,6.929,6.34,6.75,15508025.0
2026-02-13,6.79,6.79,6.4,6.45,16208212.0
2026-02-17,6.43,6.875,6.305,6.67,14257869.0
2026-02-18,6.58,6.59,6.4,6.43,16361862.0
2026-02-19,6.29,6.34,6.08,6.13,20612975.0
2026-02-20,6.18,6.255,6.055,6.1,19652167.0
2026-02-23,6.09,6.3908,5.945,6.3,14667595.280135
2026-02-24,6.3,6.48,6.271,6.29,11694655.721391
2026-02-25,6.28,6.6,6.26,6.4,14173015.156562
2026-02-26,6.53,6.6291,6.15,6.28,25688515.802981
2026-02-27,6.18,6.2601,5.9297,5.96,19076378.858706
2026-03-02,5.45,5.7799,5.4,5.49,39319076.300933
2026-03-03,5.35,5.66,5.3,5.55,52219360.987536
2026-03-04,5.7,5.77,5.38,5.42,31473184.486598
2026-03-05,5.35,5.35,5.081,5.21,46462358.099691
2026-03-06,5.08,5.24,4.99,5.2,37934486.230891
2026-03-09,5.0,5.43,5.0,5.33,53604491.447908
2026-03-10,5.43,5.615,5.31,5.54,55507850.261692
2026-03-11,5.54,5.54,5.125,5.13,30725886.668051
2026-03-12,5.04,5.085,4.87,5.02,32006879.882369
2026-03-13,5.09,5.14,4.905,4.94,18797254.688747
2026-03-16,4.94,5.07,4.86,4.97,23285878.70441
2026-03-17,4.89,4.93,4.7301,4.82,22534725.685489
2026-03-18,4.78,4.79,4.62,4.65,26144974.929936
2026-03-19,4.57,4.59,4.3201,4.55,56460191.866744
2026-03-20,4.5,4.55,4.3,4.45,38141208.454188
2026-03-23,4.64,4.73,4.42,4.52,34244834.224552
2026-03-24,4.42,4.42,4.11,4.22,46063302.556236
2026-03-25,4.33,4.33,4.14,4.16,42936482.194101
2026-03-26,4.1,4.1,3.9,3.99,25750909.810874
2026-03-27,3.94,3.99,3.85,3.86,23323513.995417
2026-03-30,3.78,4.01,3.77,3.98,57715258.919926
2026-03-31,3.97,4.29,3.88,4.14,79221963.834599
2026-04-01,4.325,4.5399,4.2,4.46,57434766.050177
2026-04-02,4.12,4.41,4.08,4.32,52735189.247259
2026-04-06,4.34,4.38,4.2401,4.26,25523361.308989
2026-04-07,4.22,4.24,4.06,4.19,36907817.060057
2026-04-08,4.8,4.915,4.5601,4.59,49249766.457574
2026-04-09,4.56,4.86,4.46,4.79,50250326.522397
2026-04-10,4.85,4.93,4.7335,4.77,26706824.905811
2026-04-13,4.62,4.8299,4.59,4.76,29644103.196094
2026-04-14,4.85,5.1099,4.85,5.06,32541904.892137
2026-04-15,5.08,5.16,4.91,4.99,32934254.592652
2026-04-16,4.99,5.01,4.77,4.78,26048741.113683
2026-04-17,5.25,5.54,5.22,5.25,57863409.070909
2026-04-20,5.14,5.26,5.09,5.16,40720640.961471
2026-04-21,5.11,5.16,4.88,4.92,40456751.383899
2026-04-22,4.83,4.845,4.7,4.73,27978462.147053
2026-04-23,4.67,4.77,4.615,4.65,35833068.789934
2026-04-24,4.68,4.8,4.64,4.73,23414934.734974
2026-04-27,4.67,4.7,4.525,4.65,27036308.489475
2026-04-28,4.52,4.59,4.45,4.53,31580900.042335
2026-04-29,4.4,4.43,4.21,4.23,57630083.769498
2026-04-30,4.39,4.45,4.18,4.19,39540554.323213
2026-05-01,4.28,4.4599,4.22,4.27,31969705.312713
2026-05-04,4.26,4.31,4.06,4.06,32973445.568684
2026-05-05,4.12,4.17,4.03,4.08,23942710.382322
2026-05-06,4.45,4.61,4.39,4.6,42361346.923565
2026-05-07,4.78,4.98,4.74,4.77,37635998.357412
2026-05-08,4.79,4.91,4.71,4.84,22398309.721981
2026-05-11,4.68,4.73,4.59,4.63,32241927.839951
2026-05-12,4.53,4.66,4.5,4.56,27677941.088682
2026-05-13,4.56,4.74,4.53,4.65,24379272.342189
2026-05-14,4.67,4.695,4.5401,4.6,22211659.048053
2026-05-15,4.51,4.515,4.33,4.33,21728889.308726
2026-05-18,4.38,4.46,4.15,4.24,29420488.459269
2026-05-19,4.17,4.2701,4.095,4.12,27551284.813772
2026-05-20,4.17,4.37,4.06,4.31,45189752.230818
2026-05-21,4.19,4.57,4.14,4.49,46277498.769285
2026-05-22,4.54,4.56,4.41,4.44,18223585.178077
