date,open,high,low,close,volume
2026-02-02,6.9,7.28,6.86,6.96,233476.0
2026-02-03,6.99,7.44,6.965,7.3,294944.0
2026-02-04,7.3,7.64,7.19,7.6,495938.0
2026-02-05,7.51,7.51,6.82,6.86,358881.0
2026-02-06,7.07,7.22,6.59,7.11,171423.0
2026-02-09,7.2,7.75,7.05,7.71,411025.0
2026-02-10,7.765,7.765,7.1434,7.36,453033.0
2026-02-11,7.36,7.5,7.06,7.45,220678.0
2026-02-12,7.5,7.5,7.0,7.23,219041.0
2026-02-13,7.16,7.4558,7.13,7.21,156258.0
2026-02-17,7.13,7.49,6.9,7.46,164714.0
2026-02-18,7.42,7.5,7.26,7.32,138247.0
2026-02-19,7.3,7.3171,7.07,7.24,99681.0
2026-02-20,7.21,7.5,7.14,7.32,243449.0
2026-02-23,7.23,7.32,6.95,7.31,109950.358822
2026-02-24,7.48,7.53,7.32,7.395,825833.310418
2026-02-25,7.5,8.6,7.35,8.42,937139.418245
2026-02-26,8.4,8.4,7.7,7.93,345841.860842
2026-02-27,7.89,7.92,7.5962,7.76,210395.004038
2026-03-02,7.71,7.7899,7.35,7.63,177189.103899
2026-03-03,7.3,7.39,6.99,7.07,344178.447157
2026-03-04,6.78,7.05,6.3,7.02,559745.639373
2026-03-05,6.88,7.2,6.88,7.12,251382.082372
2026-03-06,6.98,6.981,6.4,6.41,265626.189793
2026-03-09,6.25,6.78,6.1,6.71,354712.564318
2026-03-10,6.66,7.15,6.41,6.84,295413.127572
2026-03-11,6.88,7.11,6.75,7.04,218430.630467
2026-03-12,7.0,7.18,6.91,6.97,199329.581187
2026-03-13,6.97,7.5399,6.96,7.17,152629.346133
2026-03-16,7.17,7.4,7.11,7.25,161762.496226
2026-03-17,7.3,7.64,7.275,7.47,244355.072986
2026-03-18,7.43,7.7,7.2001,7.31,288609.398518
2026-03-19,7.48,7.52,7.1,7.32,291471.412856
2026-03-20,7.35,7.41,6.965,7.07,179910.048712
2026-03-23,7.09,7.5,7.088,7.2,218955.612056
2026-03-24,7.2,7.26,6.92,7.01,139954.223757
2026-03-25,7.21,7.3,6.8,7.06,211012.937269
2026-03-26,7.02,7.215,6.85,6.9,182127.741933
2026-03-27,6.82,7.02,6.6,6.86,236331.458564
2026-03-30,6.9,6.9788,6.3507,6.55,243491.351305
2026-03-31,6.7,7.17,6.7,7.07,210813.329349
2026-04-01,7.18,7.3,6.815,6.92,147384.636484
2026-04-02,6.74,7.12,6.715,6.92,168396.02294
2026-04-06,7.0,7.17,6.77,6.83,221994.528241
2026-04-07,6.76,7.17,6.7,7.14,229350.798934
2026-04-08,7.54,7.65,7.095,7.2,348147.945775
2026-04-09,7.19,7.45,7.14,7.35,280371.675564
2026-04-10,7.34,7.38,7.14,7.29,126155.694153
2026-04-13,7.3,7.7999,7.28,7.64,364779.190037
2026-04-14,7.89,7.92,7.68,7.83,454252.494953
2026-04-15,7.8,7.95,7.54,7.88,271630.767611
2026-04-16,8.0,8.24,7.81,7.97,492292.578556
2026-04-17,8.13,8.1668,7.85,8.03,250510.439553
2026-04-20,8.0,8.3,7.9,8.11,247998.645226
2026-04-21,8.11,8.2269,7.86,7.9,158578.80496
2026-04-22,8.03,8.23,8.0,8.08,142355.723536
2026-04-23,8.13,8.44,7.92,7.98,365764.995128
2026-04-24,8.19,8.35,7.6501,8.09,285491.70917
2026-04-27,8.18,8.25,7.85,7.91,403233.179871
2026-04-28,7.85,7.9,7.3,7.3,471382.361603
2026-04-29,7.32,7.38,7.15,7.37,248862.929274
2026-04-30,7.5,8.48,7.5,8.34,777149.360034
2026-05-01,8.4,8.8,8.11,8.54,915283.187203
2026-05-04,9.01,9.071,7.5,7.53,1571607.331406
2026-05-05,7.76,7.8584,7.1701,7.39,759965.883317
2026-05-06,7.38,7.7,7.3,7.59,401703.273272
2026-05-07,7.75,8.03,7.52,7.85,509891.81196
2026-05-08,7.82,8.59,7.7,8.51,492868.136696
2026-05-11,9.75,10.8,9.25,10.34,4924758.538982
2026-05-12,10.29,10.29,9.305,9.88,875853.597461
2026-05-13,9.9,9.92,9.37,9.64,775799.313727
2026-05-14,9.625,10.4999,9.45,10.41,1029230.732726
2026-05-15,10.26,10.8099,10.15,10.36,901304.825882
2026-05-18,10.65,10.77,9.77,10.03,939449.64096
2026-05-19,10.23,10.85,9.75,10.68,1005617.454191
2026-05-20,10.37,11.62,10.1,11.18,1251708.884746
2026-05-21,11.03,11.3599,10.7707,10.96,731749.177948
2026-05-22,10.74,10.74,9.76,10.04,857991.236913
2026-05-26,10.2,10.7148,9.925,10.37,796507.291261
2026-05-27,10.25,10.425,9.93,10.29,371360.968062
2026-05-28,10.51,10.54,9.87,10.13,909792.490295
2026-05-29,10.1,10.9692,9.66,10.83,1455829.357793
2026-06-01,10.89,10.89,9.47,9.665,1968308.266386
2026-06-02,9.67,9.67,8.86,8.93,1085187.997878
2026-06-03,9.27,11.0,9.22,10.58,3237535.728531
2026-06-04,10.5,11.33,10.11,10.29,1477027.59185
2026-06-05,10.27,10.29,9.13,9.35,1390932.878108
2026-06-08,9.58,9.78,9.21,9.28,598282.48965
2026-06-09,9.3,9.62,8.75,9.19,767528.855117
2026-06-10,9.1,9.4787,8.81,9.24,409057.653139
2026-06-11,9.52,9.91,9.31,9.68,700809.250563
