date,open,high,low,close,volume
2026-02-06,27.215,27.25,27.1201,27.2418,2455.0
2026-02-09,27.27,27.31,27.253,27.2727,9248.0
2026-02-10,27.1558,27.27,27.1533,27.1533,3662.0
2026-02-11,27.15,27.35,27.1451,27.3372,7381.0
2026-02-12,27.7,27.7,27.4489,27.4489,971.0
2026-02-13,27.56,27.7,27.555,27.6368,3850.0
2026-02-17,27.801,27.801,27.5382,27.5382,31482.0
2026-02-18,27.48,27.48,27.38,27.4567,19092.0
2026-02-19,27.92,27.92,27.4767,27.5003,3952.0
2026-02-20,27.499,27.57,27.42,27.5266,28963.0
2026-02-23,27.6,27.7582,27.6,27.6888,24705.0
2026-02-24,27.76,27.78,27.65,27.7647,15959.0
2026-02-25,27.69,27.7292,27.6089,27.6447,8408.790251
2026-02-26,27.76,27.7801,27.6699,27.7801,5942.0
2026-02-27,27.94,28.1639,27.94,28.1639,8363.0
2026-03-02,28.25,28.25,28.155,28.1707,2865.929997
2026-03-03,27.93,27.9505,27.68,27.9065,2085.927642
2026-03-04,27.72,27.83,27.67,27.7941,8396.0
2026-03-05,27.7,27.7,27.5335,27.6191,6554.425288
2026-03-06,27.47,27.68,27.47,27.6473,6650.0
2026-03-09,27.405,27.636,27.32,27.636,2280.924
2026-03-10,27.48,27.5683,27.37,27.3733,11744.065
2026-03-11,27.82,27.82,27.24,27.3008,6784.905
2026-03-12,27.52,27.55,27.3575,27.3575,4400.418723
2026-03-13,27.595,27.595,27.4191,27.4191,8979.0
2026-03-16,27.52,27.55,27.48,27.4805,14918.0
2026-03-17,27.53,27.53,27.3786,27.3786,6797.94
2026-03-18,27.22,27.22,26.9738,26.9738,3784.0
2026-03-19,26.87,26.92,26.81,26.8191,12007.0
2026-03-20,26.61,26.61,26.42,26.4479,4618.0
2026-03-23,26.6,26.63,26.4453,26.4453,238272.0
2026-03-24,26.58,26.58,26.415,26.415,8825.9961
2026-03-25,26.52,26.605,26.395,26.5605,4913.9961
2026-03-26,26.57,26.65,26.465,26.465,9998.825872
2026-03-27,26.85,26.85,26.3576,26.3576,22998.9961
2026-03-30,26.42,26.42,26.3,26.3241,8099.9961
2026-03-31,26.57,26.595,26.4,26.5874,21057.601981
2026-04-01,26.6,26.69,26.55,26.6439,4635.583371
2026-04-02,26.815,26.843,26.815,26.843,7870.936326
2026-04-06,26.83,26.85,26.7781,26.8097,12564.623661
2026-04-07,26.915,26.92,26.75,26.8003,10074.9961
2026-04-08,26.91,27.0374,26.91,27.0374,2041.1811
2026-04-09,27.14,27.21,27.0909,27.109,3831.9961
2026-04-10,26.95,26.98,26.78,26.7959,7507.0331
2026-04-13,26.63,26.7263,26.63,26.7263,7056.1831
2026-04-14,26.79,26.79,26.72,26.7389,17360.9961
2026-04-15,26.62,26.65,26.59,26.6137,7036.701541
2026-04-16,26.67,26.6817,26.605,26.6817,3419.0331
2026-04-17,26.7225,26.82,26.7225,26.8114,7414.9961
2026-04-20,26.81,26.82,26.6954,26.6954,4783.9961
2026-04-21,26.5872,26.5872,26.4391,26.4391,2160.390278
2026-04-22,26.55,26.55,26.34,26.3833,12416.653738
2026-04-23,26.69,26.7653,26.61,26.7653,9539.9961
2026-04-24,26.6669,26.6669,26.54,26.5609,1896.1081
2026-04-27,26.545,26.57,26.3656,26.3656,1367.1091
2026-04-28,26.66,26.66,26.535,26.6141,4395.7761
2026-04-29,26.88,26.88,26.405,26.493,6932.96056
2026-04-30,26.695,26.85,26.68,26.8235,18065.7451
2026-05-01,26.9299,26.9299,26.75,26.7969,198094.1081
2026-05-04,26.85,26.85,26.6467,26.707,6181.9961
2026-05-05,26.67,26.72,26.6397,26.6596,9211.989
2026-05-06,26.52,26.58,26.414,26.4799,21205.5603
2026-05-07,26.3,26.38,26.3,26.3322,14923.5293
2026-05-08,26.1701,26.24,26.0513,26.0513,3082.6433
2026-05-11,26.15,26.15,26.0,26.0727,6905.5293
2026-05-12,26.32,26.32,26.28,26.2944,2769.4533
2026-05-13,26.26,26.33,26.2,26.3147,17413.4533
2026-05-14,26.4,26.41,26.375,26.3869,915.4533
2026-05-15,26.43,26.43,26.2304,26.2304,4343.5953
2026-05-18,26.33,26.63,26.33,26.6063,11898.4533
2026-05-19,26.85,26.85,26.6643,26.6643,9216.4533
2026-05-20,26.66,26.66,26.535,26.5635,4636.4533
2026-05-21,26.5,26.576,26.5,26.576,4711.4533
2026-05-22,26.67,26.72,26.57,26.6988,10943.4533
