date,open,high,low,close,volume
2026-02-02,85.07,88.11,82.49,86.15,1774369.0
2026-02-03,86.2,89.6,83.11,84.81,2266213.0
2026-02-04,84.58,88.85,84.0,84.63,4127474.0
2026-02-05,92.0,95.0,76.51,76.86,5552791.0
2026-02-06,77.11,84.4,76.0924,82.09,3172568.0
2026-02-09,81.78,82.2,74.06,74.46,4121881.0
2026-02-10,75.61,78.2,73.2,73.26,2909862.0
2026-02-11,74.08,77.83,73.12,76.82,2522523.0
2026-02-12,77.05,78.93,74.01,74.33,1948097.0
2026-02-13,75.59,81.62,74.5,81.5,2937112.0
2026-02-17,83.13,88.55,83.125,87.28,3122363.0
2026-02-18,88.72,88.89,86.11,88.04,2004522.0
2026-02-19,87.14,91.31,86.7001,91.13,1916823.0
2026-02-20,90.49,95.58,89.5,94.02,2966971.0
2026-02-23,93.35,95.36,88.65,90.07,1666839.121968
2026-02-24,92.02,95.5,91.21,94.83,1470152.021791
2026-02-25,93.95,94.55,91.5,93.09,1717119.056825
2026-02-26,93.59,97.505,93.59,94.65,1569277.704319
2026-02-27,92.76,95.5,89.87,92.05,1723013.773442
2026-03-02,88.57,88.9999,80.96,81.64,3428681.359322
2026-03-03,80.42,82.66,78.75,81.09,1818972.907854
2026-03-04,82.23,82.5,79.54,80.3,1468791.190388
2026-03-05,79.36,82.63,79.0,82.54,1520594.164626
2026-03-06,81.22,83.7,80.0001,82.44,1403647.032838
2026-03-09,79.72,79.805,73.555,77.15,4109229.910212
2026-03-10,77.01,81.47,76.48,80.49,2233028.509433
2026-03-11,80.7,82.3,79.35,79.95,1469065.810216
2026-03-12,77.77,77.77,72.05,72.58,3049985.218667
2026-03-13,72.25,75.91,71.8,73.41,3013209.773462
2026-03-16,73.34,74.78,72.35,73.62,1695467.012989
2026-03-17,73.61,76.18,73.61,74.66,1309256.212939
2026-03-18,73.5,75.439,70.04,70.31,2960025.203559
2026-03-19,69.4,73.45,68.872,73.4,1959953.637038
2026-03-20,72.97,74.18,71.691,72.5,2013722.864232
2026-03-23,74.5,75.1,70.995,71.92,2367781.012706
2026-03-24,71.0,71.5,67.48,67.56,2555302.778912
2026-03-25,68.63,69.71,67.16,69.65,1808380.760343
2026-03-26,68.25,69.99,66.74,66.88,1540140.283463
2026-03-27,65.71,66.15,60.9001,61.05,2763553.191189
2026-03-30,61.31,62.75,59.0,59.35,3095804.56296
2026-03-31,60.23,61.3289,58.05,60.61,3593260.349556
2026-04-01,61.75,63.77,61.26,62.3,3795534.007723
2026-04-02,59.14,62.1349,58.54,61.16,3084274.289415
2026-04-06,60.5,64.06,60.42,63.22,2148579.01063
2026-04-07,62.32,63.075,59.98,61.14,2541554.403748
2026-04-08,65.65,67.21,61.7,61.77,3418099.220347
2026-04-09,61.06,65.01,59.91,63.93,2097809.916649
2026-04-10,63.73,65.4631,63.11,65.13,2143256.030203
2026-04-13,64.09,67.19,64.06,65.62,2249337.412511
2026-04-14,66.22,69.29,66.22,68.9,2289952.013168
2026-04-15,69.15,70.3,68.25,69.86,1635537.935194
2026-04-16,69.86,71.12,68.11,69.25,1597384.041749
2026-04-17,70.94,71.23,66.505,66.82,2798529.281895
2026-04-20,66.67,68.65,65.6,68.42,1748561.877071
2026-04-21,68.27,70.2,66.61,66.98,1767025.623678
2026-04-22,67.59,67.6,65.045,65.58,2293259.977507
2026-04-23,65.31,67.88,65.31,66.23,1828273.715177
2026-04-24,66.87,67.82,65.8,66.28,1714220.382218
2026-04-27,66.15,66.15,62.74,63.72,2842727.805311
2026-04-28,63.0,63.67,61.91,63.0,2483403.161512
2026-04-29,62.15,62.78,60.7,61.08,2272152.13411
2026-04-30,61.5,64.47,61.236,63.97,2175247.851365
2026-05-01,63.1,63.9999,59.74,60.49,4069565.87201
2026-05-04,60.06,62.605,60.0,61.85,2663467.000448
2026-05-05,62.3,62.43,59.085,59.42,2826618.11985
2026-05-06,61.18,61.71,60.0,61.43,2479423.267502
2026-05-07,62.09,63.57,61.25,61.79,2354687.150373
2026-05-08,62.26,62.45,60.415,60.86,2260790.974167
2026-05-11,60.0,60.305,54.7,55.19,6412602.193953
2026-05-12,55.11,55.98,53.97,55.66,3772330.53787
2026-05-13,55.67,56.45,52.7828,53.74,4699448.077548
2026-05-14,53.39,56.73,53.16,55.47,2868084.333403
2026-05-15,55.5,57.1,54.9,56.43,2459325.850161
2026-05-18,56.11,57.98,54.81,54.86,2591003.092743
2026-05-19,54.56,55.0,52.4,52.98,4221670.5501
2026-05-20,53.0,53.07,50.13,50.72,9885091.144578
2026-05-21,54.06,54.5,49.72,53.12,9799845.69591
2026-05-22,53.2,56.49,52.08,52.9,5181907.645208
2026-05-26,52.8,54.4799,51.08,54.13,4857030.83949
2026-05-27,55.22,59.765,55.22,57.36,5110014.998578
2026-05-28,56.9,57.4192,55.31,57.4,3198884.401037
2026-05-29,57.19,57.345,55.74,56.0,3251905.203399
2026-06-01,56.54,56.75,53.12,53.49,4115360.011765
2026-06-02,53.15,53.4899,51.745,51.98,3902474.094806
2026-06-03,52.02,52.5585,50.2,51.99,4212860.99451
2026-06-04,52.64,53.07,50.62,51.44,4158479.079165
2026-06-05,51.8,53.27,48.82,49.57,5655878.043296
2026-06-08,50.05,54.096,49.22,52.28,4816106.233134
2026-06-09,52.52,57.265,52.31,55.67,4931074.026197
2026-06-10,55.66,60.85,55.6,58.12,5185167.829612
2026-06-11,58.06,60.83,56.52,60.68,3794149.630555
2026-06-12,60.85,61.8,60.0,61.15,3024737.535652
