date,open,high,low,close,volume
2026-02-02,6.05,6.11,6.045,6.11,210838.0
2026-02-03,6.12,6.12,6.03,6.07,175096.0
2026-02-04,6.09,6.1,6.02,6.05,135270.0
2026-02-05,6.05,6.06,6.01,6.03,163489.0
2026-02-06,6.04,6.09,6.039,6.08,183354.0
2026-02-09,6.1,6.17,6.09,6.16,203288.0
2026-02-10,6.16,6.17,6.12,6.13,166910.0
2026-02-11,6.16,6.1883,6.13,6.13,115267.0
2026-02-12,6.17,6.17,6.03,6.08,147250.0
2026-02-13,6.08,6.0965,6.03,6.08,123363.0
2026-02-17,6.1,6.11,6.04,6.11,174187.0
2026-02-18,6.12,6.17,6.08,6.13,118957.0
2026-02-19,6.14,6.15,6.0975,6.13,130464.0
2026-02-20,6.14,6.19,6.14,6.19,142140.0
2026-02-23,6.18,6.18,6.14,6.16,61421.409621
2026-02-24,6.19,6.2,6.15,6.19,129849.388323
2026-02-25,6.2,6.23,6.17,6.22,97685.69075
2026-02-26,6.25,6.25,6.205,6.25,118786.5713
2026-02-27,6.23,6.3,6.22,6.28,83293.4657
2026-03-02,6.21,6.27,6.21,6.25,98926.7828
2026-03-03,6.15,6.1601,6.07,6.13,109498.654787
2026-03-04,6.15,6.19,6.13,6.17,86849.57549
2026-03-05,6.18,6.2,6.095,6.12,77401.18585
2026-03-06,6.08,6.12,6.06,6.09,88783.4051
2026-03-09,6.05,6.085,5.95,6.08,151447.358
2026-03-10,6.13,6.18,6.08,6.16,136493.761583
2026-03-11,6.17,6.205,6.12,6.17,100969.978634
2026-03-12,6.01,6.0474,5.93,5.97,85478.23766
2026-03-13,5.99,6.0,5.89,5.92,86786.8783
2026-03-16,5.98,5.995,5.95,5.98,50496.017041
2026-03-17,6.02,6.02,5.92,5.97,56071.337438
2026-03-18,5.97,5.97,5.93,5.95,63590.174
2026-03-19,5.92,5.9299,5.82,5.85,191140.5843
2026-03-20,5.87,5.88,5.66,5.68,94765.2821
2026-03-23,5.72,5.78,5.7101,5.75,113359.9673
2026-03-24,5.75,5.7799,5.68,5.76,87525.45434
2026-03-25,5.84,5.8899,5.73,5.84,93376.230111
2026-03-26,5.82,5.8397,5.68,5.71,85696.766769
2026-03-27,5.69,5.75,5.53,5.55,120869.765902
2026-03-30,5.62,5.63,5.51,5.55,111118.55
2026-03-31,5.65,5.83,5.61,5.83,156823.2871
2026-04-01,5.95,5.98,5.86,5.96,222940.693632
2026-04-02,5.88,5.98,5.82,5.87,120489.78649
2026-04-06,5.92,5.94,5.83,5.94,98667.329165
2026-04-07,5.92,5.92,5.81,5.9,60909.323292
2026-04-08,6.17,6.1899,6.07,6.14,194683.6284
2026-04-09,6.15,6.28,6.1001,6.28,206835.2658
2026-04-10,6.28,6.32,6.24,6.26,222002.017832
2026-04-13,6.24,6.33,6.16,6.33,97486.3751
2026-04-14,6.35,6.4199,6.33,6.36,138281.3751
2026-04-15,6.36,6.3793,6.31,6.36,130277.625436
2026-04-16,6.39,6.39,6.35,6.37,145853.9719
2026-04-17,6.43,6.43,6.37,6.42,154267.139
2026-04-20,6.4,6.41,6.36,6.37,96911.0495
2026-04-21,6.38,6.45,6.27,6.27,102149.847415
2026-04-22,6.35,6.39,6.32,6.39,96248.27032
2026-04-23,6.38,6.3999,6.26,6.32,137489.0725
2026-04-24,6.36,6.39,6.25,6.31,116340.355388
2026-04-27,6.34,6.37,6.27,6.29,70855.935669
2026-04-28,6.29,6.33,6.21,6.25,101759.229621
2026-04-29,6.26,6.2879,6.16,6.25,138230.316637
2026-04-30,6.3,6.37,6.265,6.37,95071.08548
2026-05-01,6.41,6.44,6.36,6.39,82790.15453
2026-05-04,6.39,6.41,6.3,6.38,141306.982219
2026-05-05,6.4,6.4,6.2,6.4,102181.24885
2026-05-06,6.41,6.48,6.35,6.465,139014.844477
2026-05-07,6.48,6.49,6.39,6.41,115597.1545
2026-05-08,6.45,6.54,6.4301,6.54,96676.90774
2026-05-11,6.49,6.59,6.48,6.53,167530.771604
2026-05-12,6.52,6.52,6.4252,6.49,111076.482275
2026-05-13,6.52,6.52,6.48,6.5,62068.3314
2026-05-14,6.51,6.57,6.47,6.47,56245.983349
2026-05-15,6.4,6.4399,6.38,6.39,59498.582062
2026-05-18,6.44,6.47,6.3101,6.37,62422.4398
2026-05-19,6.32,6.4,6.2901,6.32,51577.100345
2026-05-20,6.37,6.47,6.37,6.46,38442.99285
2026-05-21,6.45,6.5,6.36,6.49,45036.767579
2026-05-22,6.51,6.545,6.4714,6.48,44203.118607
2026-05-26,6.55,6.61,6.474,6.52,122512.82475
2026-05-27,6.55,6.6,6.49,6.52,85469.077772
2026-05-28,6.5,6.63,6.495,6.56,103258.880013
2026-05-29,6.61,6.65,6.6,6.64,146607.0322
2026-06-01,6.66,6.68,6.61,6.67,157021.482662
2026-06-02,6.67,6.74,6.66,6.72,132091.191712
2026-06-03,6.72,6.72,6.66,6.7,108557.161714
2026-06-04,6.68,6.7,6.65,6.69,68236.8562
2026-06-05,6.64,6.6596,6.43,6.46,108238.2445
2026-06-08,6.53,6.61,6.43,6.48,125841.729571
2026-06-09,6.53,6.5789,6.43,6.53,92421.878562
2026-06-10,6.52,6.55,6.4,6.48,82559.857246
2026-06-11,6.34,6.43,6.29,6.41,63111.682979
2026-06-12,6.45,6.45,6.36,6.41,68220.021077
