date,open,high,low,close,volume
2026-02-02,22.62,23.25,22.22,22.5,784061.0
2026-02-03,22.27,22.365,18.6,19.07,1635399.0
2026-02-04,19.12,19.14,17.94,18.18,2324595.0
2026-02-05,17.93,18.3999,17.225,17.24,1671061.0
2026-02-06,17.83,18.59,17.55,18.09,1711664.0
2026-02-09,17.96,18.0897,17.05,17.14,849374.0
2026-02-10,16.9,17.25,16.425,16.46,1132516.0
2026-02-11,16.47,16.675,14.565,14.96,1341929.0
2026-02-12,14.91,14.94,14.14,14.49,1713388.0
2026-02-13,14.51,15.02,14.198,14.66,930923.0
2026-02-17,14.53,14.8,14.08,14.39,945993.0
2026-02-18,14.37,14.675,14.15,14.27,1063711.0
2026-02-19,14.16,14.47,13.93,14.41,1581341.0
2026-02-20,14.3,15.54,14.18,15.49,1780927.0
2026-02-23,15.52,15.58,14.87,15.32,2120000.761885
2026-02-24,15.32,16.19,14.5635,15.5,2550604.09711
2026-02-25,15.56,16.32,15.55,16.29,1388904.579061
2026-02-26,16.34,16.96,16.19,16.49,1082624.836244
2026-02-27,16.1,16.3,15.525,15.8,943435.716347
2026-03-02,15.33,16.25,15.01,15.98,927858.450284
2026-03-03,15.77,16.6495,15.59,16.38,749897.093786
2026-03-04,16.4,17.2,16.165,16.85,869134.460438
2026-03-05,16.83,17.59,16.82,17.08,1559363.543927
2026-03-06,16.89,17.1399,16.5,16.85,635766.440405
2026-03-09,16.41,16.64,15.89,16.24,738431.226846
2026-03-10,16.12,16.21,15.64,15.83,830188.293812
2026-03-11,15.86,15.99,15.17,15.86,662709.015889
2026-03-12,15.81,16.39,15.77,16.22,1096708.11455
2026-03-13,16.25,16.64,15.97,16.49,673208.259464
2026-03-16,16.49,16.625,15.72,15.72,607519.31261
2026-03-17,15.78,16.45,15.78,15.93,740401.201187
2026-03-18,15.81,16.24,15.695,16.1,577190.09497
2026-03-19,15.99,16.55,15.6,15.68,751333.506312
2026-03-20,15.66,15.68,15.26,15.34,1250685.381785
2026-03-23,15.55,15.97,15.0,15.96,1199190.732623
2026-03-24,15.85,16.19,15.21,15.55,758752.136733
2026-03-25,15.8,16.16,15.36,15.96,654498.608855
2026-03-26,15.67,16.56,15.67,15.9,475063.675822
2026-03-27,15.68,15.74,15.155,15.19,692721.182785
2026-03-30,15.3,15.7,15.275,15.66,524739.154513
2026-03-31,15.67,15.91,15.025,15.42,1133600.712555
2026-04-01,15.42,15.71,14.72,14.74,759953.318832
2026-04-02,14.53,15.2797,14.0,15.18,643318.745019
2026-04-06,15.35,15.575,15.17,15.35,425478.101087
2026-04-07,15.27,15.5099,15.12,15.36,482260.962889
2026-04-08,15.62,16.16,15.59,16.13,534381.610585
2026-04-09,16.05,16.05,15.26,15.88,537848.852712
2026-04-10,15.91,16.31,14.902,15.09,495446.246644
2026-04-13,15.0,15.575,14.92,15.53,674665.092959
2026-04-14,15.59,16.03,15.5,15.88,412454.493278
2026-04-15,16.12,16.47,15.39,15.47,736982.731345
2026-04-16,15.53,16.54,15.53,16.18,803559.071384
2026-04-17,16.43,16.44,15.71,16.1,537794.623957
2026-04-20,16.04,16.955,16.04,16.83,961673.54872
2026-04-21,16.97,17.29,16.62,16.77,792484.427217
2026-04-22,16.88,17.0,16.26,16.39,486143.575289
2026-04-23,16.14,16.205,14.96,15.21,897684.60421
2026-04-24,15.22,15.895,14.99,15.88,529379.019659
2026-04-27,15.73,16.09,15.59,15.82,608472.390256
2026-04-28,15.97,16.3,15.9,16.16,596324.532059
2026-04-29,15.95,16.12,15.62,15.76,709150.957265
2026-04-30,15.57,15.765,14.395,14.42,1211700.725979
2026-05-01,14.71,15.06,13.88,14.49,1943647.959888
2026-05-04,14.86,15.125,14.38,14.61,2008807.487819
2026-05-05,19.09,23.98,18.15,23.82,6856563.125497
2026-05-06,23.19,23.69,19.5,20.57,2999672.575168
2026-05-07,20.665,21.16,20.05,20.6,1234098.846029
2026-05-08,20.34,20.72,19.69,20.5,865827.569702
2026-05-11,20.06,20.236,19.26,19.75,869483.8497
2026-05-12,19.75,19.855,18.78,19.12,693727.130421
2026-05-13,18.88,19.0,17.77,18.86,1084521.190712
2026-05-14,18.75,18.855,17.25,17.37,712688.531355
2026-05-15,17.26,17.89,17.26,17.48,779081.67245
2026-05-18,17.375,18.69,17.375,18.23,484854.209749
2026-05-19,18.73,19.13,18.14,18.48,488826.744779
2026-05-20,18.1,18.74,17.69,18.71,566311.045149
2026-05-21,18.4,18.69,17.89,18.63,450677.528122
2026-05-22,18.8,19.15,18.6,18.88,424833.295979
2026-05-26,18.61,19.34,18.1,19.16,616833.463909
2026-05-27,18.955,19.95,18.88,19.24,700066.794434
2026-05-28,19.24,19.64,18.58,18.89,589812.074764
2026-05-29,19.05,19.9299,18.4,19.24,706038.235451
2026-06-01,19.415,20.17,19.22,19.95,863312.919999
2026-06-02,19.61,19.625,18.6701,19.0,710473.565612
2026-06-03,18.67,18.67,17.6,17.96,788273.706065
2026-06-04,18.34,19.49,18.2528,19.22,880924.016968
2026-06-05,19.44,19.8099,19.08,19.32,746892.386019
2026-06-08,19.01,19.75,18.37,19.3,735573.429153
2026-06-09,19.36,20.18,19.19,19.39,842885.407918
2026-06-10,19.37,20.57,19.15,19.82,808354.243152
2026-06-11,19.75,20.24,19.1,19.84,445785.566488
