date,open,high,low,close,volume
2026-02-02,85.33,86.01,85.08,85.89,7060258.0
2026-02-03,86.32,86.74,85.92,86.68,12779774.0
2026-02-04,87.67,88.235,87.19,87.49,11696687.0
2026-02-05,86.33,86.755,86.02,86.1,9245226.0
2026-02-06,88.77,89.465,88.58,89.4,7409030.0
2026-02-09,90.295,91.48,90.2,91.29,9877554.0
2026-02-10,93.195,93.57,92.97,93.1,21601711.0
2026-02-11,93.91,94.2,93.215,93.97,12280215.0
2026-02-12,94.0,94.28,93.135,93.37,10269692.0
2026-02-13,93.66,93.935,92.91,93.85,11219185.0
2026-02-17,91.41,92.07,90.87,91.87,21815183.0
2026-02-18,91.55,92.02,91.27,91.38,9336341.0
2026-02-19,90.83,91.215,90.67,91.2,10448691.0
2026-02-20,90.4,91.57,90.325,91.47,10905671.0
2026-02-23,91.64,92.085,91.18,91.39,7862037.924137
2026-02-24,90.52,91.435,90.365,91.23,8912883.965559
2026-02-25,92.02,92.565,91.89,92.44,6061187.485582
2026-02-26,92.6,92.745,91.95,92.48,6763890.927582
2026-02-27,92.67,92.81,92.25,92.37,7723468.90818
2026-03-02,89.41,90.405,89.17,90.2,17218060.169962
2026-03-03,84.78,87.14,83.85,86.83,29746636.110224
2026-03-04,87.55,88.715,87.08,88.59,14258209.205987
2026-03-05,86.45,86.84,84.91,85.89,18640544.683073
2026-03-06,84.375,85.2,84.12,84.77,11412136.214836
2026-03-09,83.78,85.87,82.9151,85.64,20330933.54789
2026-03-10,86.5,88.14,85.86,86.46,12730054.901135
2026-03-11,85.3,86.18,84.985,85.73,8071862.376749
2026-03-12,84.82,84.92,83.76,84.19,13356744.180968
2026-03-13,84.53,84.79,83.2136,83.36,10036491.573426
2026-03-16,84.58,85.32,84.52,85.07,6784671.940043
2026-03-17,85.57,85.64,84.86,85.08,5197758.25693
2026-03-18,84.7,85.135,84.05,84.15,8642605.055906
2026-03-19,82.26,84.48,82.14,84.08,8664700.922019
2026-03-20,83.87,83.91,80.85,81.2,19746929.228966
2026-03-23,83.57,84.6,82.73,83.55,17234519.856564
2026-03-24,82.9,83.87,82.63,83.28,7210280.465484
2026-03-25,84.97,85.24,84.35,84.75,7553473.016417
2026-03-26,83.64,84.28,82.6627,82.71,5882961.521048
2026-03-27,82.19,82.525,81.19,81.43,14066609.346682
2026-03-30,82.65,82.745,81.35,81.52,11806522.211158
2026-03-31,82.45,84.485,82.17,84.44,12647231.783994
2026-04-01,86.66,87.36,86.27,86.48,14766012.031133
2026-04-02,83.98,85.84,83.74,85.29,6422091.958313
2026-04-06,85.05,85.75,85.05,85.57,3819823.12607
2026-04-07,84.88,85.7,83.82,85.51,17552101.350433
2026-04-08,89.82,89.99,88.83,89.41,14590358.787081
2026-04-09,87.29,88.77,86.99,88.22,7396190.595274
2026-04-10,88.18,88.38,87.785,88.13,4469813.7662
2026-04-13,86.78,88.395,86.6,88.35,9482435.876803
2026-04-14,88.69,89.595,88.66,89.41,9458069.525176
2026-04-15,88.91,89.165,88.68,89.07,3739941.451461
2026-04-16,89.64,89.68,89.085,89.41,3630075.468816
2026-04-17,90.03,91.025,89.86,90.19,5913819.699513
2026-04-20,89.27,89.465,88.81,89.33,5479128.543847
2026-04-21,88.18,88.43,86.99,87.14,8155037.857627
2026-04-22,87.7,87.83,87.38,87.76,3590504.498761
2026-04-23,87.49,87.795,86.12,87.07,5174786.742074
2026-04-24,86.93,87.54,86.665,87.32,5262602.369001
2026-04-27,88.03,88.36,87.558,87.68,4086341.532309
2026-04-28,87.92,88.017,87.315,87.56,5663824.20257
2026-04-29,87.16,87.26,86.41,86.81,5281567.138768
2026-04-30,88.35,89.3,87.92,89.1,12083603.094481
2026-05-01,88.21,88.869,87.91,88.3,5441149.129461
2026-05-04,88.56,88.9499,87.78,88.12,4303998.809776
2026-05-05,88.6,89.29,88.475,89.26,4866021.59315
2026-05-06,91.41,91.9,91.22,91.68,5400012.861573
2026-05-07,91.775,91.97,90.8,90.99,6926130.469123
2026-05-08,92.2,92.45,91.82,92.22,4426291.935903
2026-05-11,92.08,92.48,92.03,92.26,4372678.206446
2026-05-12,92.02,92.26,91.36,92.06,6548270.145905
2026-05-13,92.69,93.27,92.55,93.09,5348340.618213
2026-05-14,92.37,92.49,91.97,92.06,7047521.335181
2026-05-15,91.09,91.41,90.79,91.07,5272000.285218
2026-05-18,91.03,91.27,90.23,90.92,8364350.571719
2026-05-19,89.99,90.885,89.74,90.29,4772822.975438
2026-05-20,89.67,91.23,89.59,91.21,6144125.29685
2026-05-21,90.18,91.6199,89.96,91.37,5616939.271845
2026-05-22,91.42,92.095,91.29,91.61,4032629.430906
2026-05-26,92.98,93.225,92.7,92.9,4636808.369255
2026-05-27,92.19,92.42,91.93,92.29,4245335.73077
2026-05-28,91.86,92.97,91.785,92.7,4527726.038212
2026-05-29,92.94,93.37,92.605,92.96,5203989.205984
2026-06-01,92.77,93.35,91.76,92.93,9666643.229612
2026-06-02,92.61,93.6,92.605,93.58,4434636.442943
2026-06-03,94.25,94.25,93.79,93.94,5961242.45948
2026-06-04,93.85,94.2,93.405,94.13,3536795.424318
2026-06-05,93.13,93.21,90.535,90.72,11554083.227229
2026-06-08,91.91,92.37,91.75,91.95,9131204.876529
2026-06-09,92.23,92.805,89.72,90.95,8716570.716934
2026-06-10,89.89,90.67,89.17,89.29,8157676.953283
2026-06-11,89.98,92.33,89.74,92.18,9304684.224062
2026-06-12,92.49,93.02,91.78,92.71,4938533.406336
