date,open,high,low,close,volume
2026-02-13,45.705,46.54,45.03,46.41,9921118.0
2026-02-17,46.365,46.4703,45.65,45.69,5750725.0
2026-02-18,45.61,46.12,45.29,45.98,5214662.0
2026-02-19,45.84,46.38,45.715,46.21,6155967.0
2026-02-20,46.22,46.8,44.83,46.22,11672285.0
2026-02-23,46.15,46.36,44.95,45.05,6648980.983738
2026-02-24,45.17,45.645,45.01,45.46,5318707.233142
2026-02-25,45.56,45.6275,44.51,44.63,6168581.926452
2026-02-26,44.97,45.71,44.7968,45.68,5984063.955865
2026-02-27,45.39,46.305,45.39,46.04,9926403.059981
2026-03-02,45.97,46.585,45.48,46.33,7522846.065047
2026-03-03,46.265,46.59,45.275,46.23,7327975.295723
2026-03-04,46.35,47.08,45.785,46.43,9006480.587306
2026-03-05,47.8,48.415,46.99,47.3,11529998.496239
2026-03-06,46.45,46.73,45.94,46.46,8186791.831309
2026-03-09,46.01,47.05,45.38,46.8,9592811.96785
2026-03-10,46.42,46.87,46.04,46.3,7194883.086895
2026-03-11,46.315,46.68,45.6,46.59,6015854.482647
2026-03-12,46.26,46.44,45.22,45.25,7256172.57388
2026-03-13,45.8,45.8,44.845,45.46,6190714.231061
2026-03-16,45.75,45.87,45.2601,45.68,5124814.555308
2026-03-17,46.0,46.16,45.2,45.93,6182119.259329
2026-03-18,45.74,45.945,45.05,45.08,6363452.581092
2026-03-19,45.085,45.085,44.085,44.49,8655496.112235
2026-03-20,44.37,44.795,43.465,43.76,30102429.499265
2026-03-23,44.63,45.29,44.36,44.45,6455686.726915
2026-03-24,43.683,45.22,43.683,44.89,5117672.318435
2026-03-25,45.2,45.5499,44.555,45.37,5085007.214682
2026-03-26,45.41,45.89,44.94,45.11,5845843.737563
2026-03-27,44.96,45.375,44.7901,44.95,5709088.473683
2026-03-30,45.14,45.46,44.66,45.12,6411737.9007
2026-03-31,45.65,46.575,45.18,46.4,10750999.264851
2026-04-01,46.55,46.95,46.21,46.63,5737583.962502
2026-04-02,46.085,47.26,45.88,46.3,7128430.407869
2026-04-06,45.97,46.3,45.635,45.87,7363272.166312
2026-04-07,45.77,45.88,45.095,45.64,7128745.682787
2026-04-08,46.41,48.21,46.41,48.18,7429113.28621
2026-04-09,48.18,49.42,47.98,49.1,7316976.050409
2026-04-10,49.265,49.67,49.085,49.17,7289927.481098
2026-04-13,48.74,49.0,45.27,45.8,16217620.404734
2026-04-14,45.425,45.6999,44.12,44.62,11386282.493817
2026-04-15,44.5,44.51,43.52,44.4,8872528.994336
2026-04-16,44.4,45.24,44.35,44.72,6685556.770528
2026-04-17,45.23,46.0,45.13,45.78,9131605.044974
2026-04-20,45.6,46.0352,45.37,45.56,5427072.000959
2026-04-21,45.51,45.905,45.4,45.7,6424251.963634
2026-04-22,45.71,45.79,44.64,44.81,5685816.797653
2026-04-23,45.09,45.705,44.97,45.45,5229207.13821
2026-04-24,45.26,45.35,44.625,44.69,4079114.569385
2026-04-27,44.64,45.485,44.64,45.28,5547593.878202
2026-04-28,45.49,45.49,44.49,44.68,5630754.32848
2026-04-29,44.225,44.59,43.635,43.71,6212336.462539
2026-04-30,43.71,45.1,43.62,44.93,8650607.663598
2026-05-01,45.0,45.16,44.495,44.91,5941512.69688
2026-05-04,44.63,45.12,44.56,44.88,6452629.399456
2026-05-05,45.0,45.12,44.215,44.33,6411798.61285
2026-05-06,44.8,45.41,44.565,44.71,10972532.729308
2026-05-07,44.98,45.635,44.285,44.36,7490899.546118
2026-05-08,44.39,44.605,43.875,44.17,4384350.977364
2026-05-11,43.985,44.15,42.965,43.3,9109907.518438
2026-05-12,43.475,43.8,42.97,43.32,4500283.053325
2026-05-13,43.3,43.875,42.995,43.77,7430005.410301
2026-05-14,43.89,44.15,43.48,43.98,4998587.657835
2026-05-15,43.745,43.78,43.005,43.26,4653761.80397
2026-05-18,43.43,44.25,43.355,44.0,6296237.456957
2026-05-19,44.0,44.0,43.18,43.57,4783783.981096
2026-05-20,43.57,44.13,43.18,43.68,8845212.372868
2026-05-21,43.47,44.0,42.91,43.53,8230103.527683
2026-05-22,43.53,43.995,43.23,43.94,5583717.684496
2026-05-26,44.01,44.62,43.96,44.45,5707079.834015
2026-05-27,44.45,44.9772,44.32,44.82,7656467.145937
2026-05-28,44.65,44.9,44.19,44.76,7568499.574685
2026-05-29,44.66,44.93,44.15,44.2,8249689.782015
2026-06-01,43.66,44.18,43.26,43.99,7588572.961033
2026-06-02,44.22,44.77,43.9,44.73,4478052.03551
2026-06-03,44.75,46.64,44.62,46.46,8094236.88157
2026-06-04,47.5,47.74,46.65,47.16,7325002.295063
2026-06-05,47.33,47.78,46.6,46.79,7276460.603784
2026-06-08,46.8,46.86,45.95,46.0,7427714.866664
2026-06-09,46.27,46.94,46.02,46.58,6783544.062089
2026-06-10,46.53,47.06,45.905,46.03,7157174.717619
2026-06-11,46.41,46.85,46.075,46.39,6015358.74437
