date,open,high,low,close,volume
2026-02-02,25.67,25.82,23.99,24.0,14686715.0
2026-02-03,23.4,23.42,20.9421,21.39,25595888.0
2026-02-04,21.02,22.72,19.85,22.51,24193964.0
2026-02-05,21.83,22.9699,21.42,22.2,25140342.0
2026-02-06,22.525,22.95,20.95,21.99,12071610.0
2026-02-09,21.54,22.43,20.94,22.13,8852053.0
2026-02-10,22.23,25.17,21.9,24.1,27066922.0
2026-02-11,23.68,23.69,22.17,22.57,12262364.0
2026-02-12,22.6,22.835,21.15,22.02,9605399.0
2026-02-13,22.47,23.37,22.17,22.53,9365177.0
2026-02-17,23.0,23.58,21.965,23.1,12748238.0
2026-02-18,23.11,24.85,22.8418,24.19,25278148.0
2026-02-19,26.0,26.5,23.28,25.86,65989887.0
2026-02-20,25.49,28.42,25.07,26.09,42577660.0
2026-02-23,25.2,25.23,23.45,24.75,26505051.414492
2026-02-24,24.75,27.52,24.74,27.43,23545438.952816
2026-02-25,28.48,31.64,28.48,31.24,28113709.683737
2026-02-26,30.42,32.6525,29.87,30.22,26026576.499964
2026-02-27,28.59,29.97,28.4965,29.39,13065841.322084
2026-03-02,28.5,29.89,28.28,29.29,12043709.921555
2026-03-03,28.47,30.9,27.95,30.74,12243966.916972
2026-03-04,30.57,31.3,29.52,29.64,12027291.798709
2026-03-05,29.58,31.94,29.15,30.3,14166636.817585
2026-03-06,29.61,29.7,28.7187,29.11,8577928.718293
2026-03-09,28.7,30.66,28.5907,30.48,12913275.644604
2026-03-10,30.1,30.3,28.24,28.35,10291995.108627
2026-03-11,28.6,29.77,27.66,27.84,8962961.127607
2026-03-12,27.89,28.5,26.14,26.17,9542983.731132
2026-03-13,26.2,26.765,25.4301,26.03,9088016.894602
2026-03-16,26.32,27.2,26.2363,27.16,8788735.939646
2026-03-17,27.02,27.955,27.0,27.45,6134935.913169
2026-03-18,27.09,27.32,24.85,25.26,17146227.688611
2026-03-19,25.0,25.72,23.53,24.22,19230120.738601
2026-03-20,23.85,24.17,23.05,23.73,18151457.353827
2026-03-23,23.8,24.1789,22.75,23.2,14347643.502623
2026-03-24,22.65,22.91,21.31,21.87,22875063.751906
2026-03-25,22.25,22.45,20.72,21.09,15447814.55395
2026-03-26,20.99,22.425,20.91,22.15,12794709.326435
2026-03-27,21.61,21.63,19.82,20.19,16960458.808239
2026-03-30,20.21,20.6,19.83,20.16,7983649.932006
2026-03-31,20.31,21.46,20.1,21.14,13270096.520137
2026-04-01,21.49,21.56,20.3,20.42,9332957.142528
2026-04-02,20.46,21.43,19.7008,21.27,8354683.689716
2026-04-06,21.38,21.698,21.0478,21.42,5686889.772433
2026-04-07,21.19,21.5,20.67,21.19,6702965.840585
2026-04-08,22.5,23.15,20.125,20.15,15415296.632433
2026-04-09,20.01,20.215,18.78,19.08,15769798.045095
2026-04-10,19.08,19.15,17.73,18.16,16568019.118333
2026-04-13,18.115,19.41,17.75,19.18,14804894.823585
2026-04-14,19.55,20.25,17.65,18.42,23762373.230161
2026-04-15,18.97,20.48,18.6201,20.34,18388660.762416
2026-04-16,21.235,21.3,19.3,20.32,21745443.024246
2026-04-17,20.97,21.45,18.61,18.92,37423982.815207
2026-04-20,18.69,19.33,18.5,19.01,13533396.097184
2026-04-21,19.0,20.33,18.66,18.72,21954546.955811
2026-04-22,18.91,19.6,18.8,19.17,10642158.207669
2026-04-23,18.5,18.56,16.8,17.32,23425557.5364
2026-04-24,17.35,17.5,16.69,17.47,20942077.44318
2026-04-27,17.35,17.805,17.02,17.31,10729686.898679
2026-04-28,17.5,17.685,17.135,17.18,9870172.134441
2026-04-29,17.13,17.25,16.68,16.86,10767377.271595
2026-04-30,16.72,18.0,16.6,17.7,13547963.02628
2026-05-01,18.725,19.28,18.255,18.74,24134212.036349
2026-05-04,18.74,20.66,18.7,19.96,19307351.967405
2026-05-05,20.04,20.04,18.99,19.42,12728641.017229
2026-05-06,19.35,19.64,18.79,19.29,15420307.455037
2026-05-07,20.21,21.5,20.09,20.56,18444486.767884
2026-05-08,20.0,20.88,19.63,20.66,10563647.961237
2026-05-11,20.5,21.19,19.61,20.05,14182350.584657
2026-05-12,20.0,20.03,19.155,19.33,10118837.741029
2026-05-13,19.165,19.305,18.515,18.94,13430049.273657
2026-05-14,19.85,20.45,19.05,20.24,49141812.195563
2026-05-15,22.28,23.93,21.31,22.92,77424650.136863
2026-05-18,22.136,24.41,21.6,24.36,39321691.99093
2026-05-19,24.6,25.84,23.09,23.27,34473101.954965
2026-05-20,22.43,22.8499,21.78,22.58,17590789.162968
2026-05-21,22.3,22.65,21.41,21.59,15986864.612907
2026-05-22,21.87,23.09,21.78,22.71,16884704.023143
2026-05-26,22.7,23.05,21.84,21.96,14049590.287377
2026-05-27,21.58,22.43,21.09,21.34,15994270.447709
2026-05-28,21.7,23.75,21.36,23.46,18798166.739507
2026-05-29,23.39,25.76,22.83,25.5,32656337.976043
2026-06-01,26.31,27.735,25.35,27.12,23457339.466489
2026-06-02,25.52,25.915,24.0,24.29,20362029.113348
2026-06-03,23.9,23.9,22.28,22.79,14778699.989029
2026-06-04,23.5,23.6,22.43,22.51,14246183.677619
2026-06-05,22.44,22.66,21.26,21.75,16435759.891204
