date,open,high,low,close,volume
2026-02-02,191.64,198.635,191.64,197.8,967979.0
2026-02-03,199.2,201.719,195.6,196.73,936566.0
2026-02-04,202.81,202.83,190.79,192.93,1188131.0
2026-02-05,193.07,195.78,190.33,194.09,959406.0
2026-02-06,196.66,207.11,195.72,202.61,1321901.0
2026-02-09,202.77,209.9799,202.77,209.43,949617.0
2026-02-10,208.31,208.35,203.8301,206.68,600600.0
2026-02-11,209.0,210.33,204.54,206.12,653074.0
2026-02-12,207.68,208.62,197.43,201.23,789044.0
2026-02-13,201.13,206.99,197.55,205.93,789564.0
2026-02-17,206.68,212.84,204.45,212.48,940067.0
2026-02-18,211.8,218.81,210.7846,214.36,1163977.0
2026-02-19,212.52,216.79,210.95,215.97,591916.0
2026-02-20,213.78,224.8,211.81,220.09,1494019.0
2026-02-23,218.73,220.33,209.45,219.29,1010784.681222
2026-02-24,217.01,221.9,217.01,221.4,591277.188959
2026-02-25,221.59,223.92,218.99,223.1,560870.711671
2026-02-26,224.97,229.33,222.445,225.12,875132.963947
2026-02-27,221.25,224.41,217.01,223.53,1017516.236117
2026-03-02,216.0,225.25,215.0899,223.48,854911.682216
2026-03-03,216.97,222.97,212.87,221.55,1171258.754343
2026-03-04,225.0,227.1878,219.142,220.52,693643.253405
2026-03-05,218.2,223.03,216.67,221.65,974588.967726
2026-03-06,216.34,217.95,210.39,215.28,844038.237027
2026-03-09,212.51,221.545,206.75,219.82,943459.350984
2026-03-10,219.33,225.0,219.33,221.05,910041.472286
2026-03-11,220.03,221.98,218.11,218.54,731077.605615
2026-03-12,212.78,221.38,210.27,217.03,783480.335013
2026-03-13,214.62,216.57,208.5,210.36,1324262.816677
2026-03-16,213.84,216.0,210.085,211.67,694703.929671
2026-03-17,211.67,215.0,209.44,214.0,1070860.07307
2026-03-18,214.2,219.06,210.57,212.47,2418477.805121
2026-03-19,219.3,237.25,208.62,235.17,4173054.787457
2026-03-20,235.0,237.5,225.2,227.42,1990447.2022
2026-03-23,229.31,234.46,226.7,230.5,1588569.697423
2026-03-24,230.15,232.31,223.35,231.09,1376486.323634
2026-03-25,233.31,235.92,229.77,233.65,963599.218426
2026-03-26,231.56,234.63,226.53,226.79,1205266.03128
2026-03-27,225.69,228.13,220.0,221.72,1040835.036402
2026-03-30,226.27,227.11,218.08,219.82,891218.984935
2026-03-31,223.92,230.945,223.05,228.48,926907.220866
2026-04-01,230.38,237.0,229.49,234.92,917500.519806
2026-04-02,229.2,235.735,225.25,235.39,1119677.971825
2026-04-06,236.06,238.3999,229.89,233.72,1195662.215644
2026-04-07,230.81,232.4,224.065,226.53,1023926.053434
2026-04-08,232.31,237.24,224.865,228.18,1236928.196763
2026-04-09,226.49,227.71,217.37,225.19,1356739.503934
2026-04-10,223.49,223.795,213.18,217.37,1226394.182425
2026-04-13,215.73,222.74,215.73,221.19,1128811.43861
2026-04-14,221.25,222.14,216.79,219.85,846381.913848
2026-04-15,219.15,226.21,219.0549,223.32,1049477.769322
2026-04-16,223.9,226.25,221.43,225.06,1336538.495301
2026-04-17,227.86,236.32,226.5,236.26,1723745.416011
2026-04-20,234.77,247.93,234.77,247.71,1964674.815473
2026-04-21,248.94,251.63,236.18,237.1,1484209.984405
2026-04-22,240.36,241.75,236.485,240.23,1055035.729265
2026-04-23,240.23,244.52,236.48,238.2,816394.047623
2026-04-24,239.51,239.51,228.68,234.01,1246579.115809
2026-04-27,235.39,235.99,230.19,234.25,721807.874862
2026-04-28,235.82,236.48,228.73,232.54,1026907.943551
2026-04-29,232.22,234.67,227.16,228.14,657680.93546
2026-04-30,231.31,237.13,229.8,235.66,752271.757058
2026-05-01,236.24,236.77,229.84,230.52,734529.143479
2026-05-04,230.24,237.34,228.11,231.1,778559.275058
2026-05-05,232.12,235.5,226.57,226.72,725778.707252
2026-05-06,229.58,236.0,229.2,234.18,679040.839042
2026-05-07,236.28,240.09,220.815,221.25,1088367.761133
2026-05-08,224.57,226.0,220.0,223.13,970416.692442
2026-05-11,223.0,223.34,206.2761,208.15,1571233.943742
2026-05-12,208.15,210.15,203.885,208.51,1232168.944606
2026-05-13,208.2,211.9999,205.1407,209.99,851835.431074
2026-05-14,211.86,215.65,210.275,214.94,734047.863513
2026-05-15,213.83,214.92,210.26,213.64,1105871.505695
2026-05-18,215.83,221.32,213.685,218.36,968169.517504
2026-05-19,218.16,218.16,209.335,214.39,1052367.668703
2026-05-20,215.85,220.84,211.72,219.87,1256930.052542
2026-05-21,220.17,223.01,215.0701,219.79,1130026.451261
2026-05-22,220.0,223.34,216.435,219.5,805180.889017
2026-05-26,220.81,224.0,219.9,221.07,950180.494455
2026-05-27,222.33,224.0,214.21,215.99,1196832.143231
2026-05-28,222.0,228.69,219.46,224.9,1438795.041634
2026-05-29,223.45,229.04,221.95,227.36,1007579.951131
2026-06-01,227.175,232.5,221.11,226.22,1721771.590064
2026-06-02,230.01,230.495,218.965,220.37,1811154.679356
2026-06-03,223.1,225.758,219.19,222.89,3161507.187987
2026-06-04,197.467,201.0,191.095,192.17,5052551.057351
2026-06-05,192.69,196.86,190.38,190.465,2159781.590198
2026-06-08,190.47,192.8399,185.39,186.49,2024492.134646
2026-06-09,186.49,193.175,184.68,190.83,1586754.407175
2026-06-10,190.3,196.585,188.0,195.85,2086712.218245
2026-06-11,195.85,202.47,193.3,201.97,1327191.03263
2026-06-12,203.29,203.93,195.69,198.49,873622.708759
