date,open,high,low,close,volume
2026-02-02,1142.78,1178.43,1138.06,1176.26,329691.0
2026-02-03,1195.0,1220.0,1174.85,1209.97,357386.0
2026-02-04,1200.0,1214.42,1075.3619,1119.81,625942.0
2026-02-05,1119.8,1162.345,1097.41,1147.97,462843.0
2026-02-06,1175.0,1230.49,1175.0,1230.26,279177.0
2026-02-09,1228.85,1299.94,1219.05,1283.65,356265.0
2026-02-10,1280.12,1295.0,1250.0001,1269.63,308593.0
2026-02-11,1314.3,1364.9499,1306.78,1338.65,461795.0
2026-02-12,1346.25,1399.0,1298.97,1300.02,505807.0
2026-02-13,1313.0,1355.0,1276.87,1337.95,297778.0
2026-02-17,1317.89,1364.88,1307.645,1337.75,425280.0
2026-02-18,1344.04,1372.0,1314.22,1319.47,458518.0
2026-02-19,1322.9,1377.5,1302.0,1373.52,696527.0
2026-02-20,1414.51,1476.94,1390.0,1462.23,923639.0
2026-02-23,1463.0,1465.49,1387.54,1413.57,734712.147248
2026-02-24,1410.17,1480.97,1375.0,1468.58,507477.236946
2026-02-25,1468.0,1500.0,1442.5101,1450.6,406229.954071
2026-02-26,1453.29,1457.755,1377.6,1438.23,456339.20594
2026-02-27,1418.71,1441.62,1395.84,1429.37,489674.062451
2026-03-02,1405.52,1439.12,1389.54,1438.24,388421.91475
2026-03-03,1412.0,1412.0,1344.03,1391.16,614997.456753
2026-03-04,1407.61,1441.0,1380.22,1430.38,390634.166594
2026-03-05,1408.85,1415.99,1287.91,1348.22,554172.218029
2026-03-06,1290.0,1327.68,1270.69,1279.06,557235.406011
2026-03-09,1246.74,1373.65,1225.24,1372.4,600531.450703
2026-03-10,1384.99,1409.99,1372.4,1383.62,390098.606408
2026-03-11,1384.42,1436.07,1362.01,1407.32,319160.035591
2026-03-12,1390.84,1405.8599,1353.82,1373.76,301534.906762
2026-03-13,1396.02,1418.0,1358.0,1365.34,280196.655103
2026-03-16,1392.05,1421.08,1391.07,1414.1,289033.881993
2026-03-17,1410.1,1432.79,1397.02,1424.46,238672.293041
2026-03-18,1438.71,1462.0,1422.92,1423.0,425405.759419
2026-03-19,1384.6,1463.166,1371.15,1444.6,415640.283164
2026-03-20,1425.42,1450.05,1346.07,1356.75,933571.423304
2026-03-23,1367.54,1456.0,1358.86,1408.25,574241.68289
2026-03-24,1412.07,1472.42,1387.5701,1461.52,572359.645652
2026-03-25,1479.15,1495.46,1461.52,1470.64,279973.644498
2026-03-26,1446.55,1455.8399,1346.0,1358.66,420959.518739
2026-03-27,1366.2,1390.0,1346.7,1366.77,296519.879258
2026-03-30,1385.33,1398.87,1255.0,1273.18,559634.1285
2026-03-31,1299.52,1381.02,1298.34,1378.99,450861.536418
2026-04-01,1393.75,1465.44,1393.75,1428.52,426446.802638
2026-04-02,1378.03,1464.59,1368.0,1417.19,283465.131039
2026-04-06,1417.19,1435.8399,1394.984,1434.09,233386.388891
2026-04-07,1433.67,1447.8,1400.0,1424.91,231418.057449
2026-04-08,1510.0,1547.53,1501.32,1525.16,435405.643186
2026-04-09,1531.51,1601.8999,1531.51,1574.45,363819.601496
2026-04-10,1592.45,1614.0,1567.0,1592.84,241351.454252
2026-04-13,1582.87,1635.58,1582.87,1627.81,426438.039379
2026-04-14,1645.0,1671.95,1617.01,1650.48,375188.61447
2026-04-15,1642.9,1659.3912,1598.47,1648.96,333873.426312
2026-04-16,1655.2,1655.2,1584.27,1605.97,287110.189158
2026-04-17,1623.21,1654.29,1605.0,1650.47,435071.486819
2026-04-20,1646.33,1685.0,1635.2,1680.09,256886.978289
2026-04-21,1705.29,1719.0,1661.91,1674.16,364786.652165
2026-04-22,1715.0,1730.26,1677.09,1724.49,368628.357403
2026-04-23,1731.75,1798.96,1731.75,1773.91,604874.288088
2026-04-24,1774.14,1829.66,1676.7601,1726.12,834843.491561
2026-04-27,1744.6,1804.9998,1685.0,1794.04,492355.598175
2026-04-28,1740.0,1775.4933,1680.51,1719.21,386897.147592
2026-04-29,1720.2,1756.35,1713.21,1724.14,353946.694454
2026-04-30,1749.125,1855.425,1749.125,1840.25,573115.931128
2026-05-01,1852.01,1877.345,1817.43,1867.02,316635.258714
2026-05-04,1867.5,1905.58,1857.96,1891.95,382603.065106
2026-05-05,1951.5,2003.65,1938.0001,1967.24,449077.233577
2026-05-06,1995.72,2018.0499,1916.75,2011.49,432669.153988
2026-05-07,2002.0,2002.0,1902.09,1942.02,506149.869007
2026-05-08,1980.0,1980.0,1921.66,1952.37,265956.448133
2026-05-11,1955.0,2045.14,1942.6574,2032.98,377376.693486
2026-05-12,1991.175,2027.7,1941.36,2016.31,382003.906464
2026-05-13,2039.04,2050.0,1960.0,2034.63,313584.898987
2026-05-14,2036.0,2073.9883,2015.0,2042.36,226033.597743
2026-05-15,1979.13,1998.98,1925.0,1992.74,570747.259193
2026-05-18,1987.14,1987.14,1833.89,1854.43,582066.493378
2026-05-19,1783.11,1872.84,1755.61,1825.5,514649.791673
2026-05-20,1865.0,1891.2,1828.595,1835.51,419321.37377
2026-05-21,1836.68,1874.18,1820.0,1835.33,276499.905648
2026-05-22,1856.24,1860.36,1783.21,1828.25,250265.979182
2026-05-26,1877.385,1921.59,1866.25,1883.56,316833.631683
2026-05-27,1891.02,1916.68,1826.21,1867.09,317502.714381
2026-05-28,1866.92,1880.49,1810.571,1855.15,345231.415018
2026-05-29,1859.055,1865.73,1794.1601,1828.21,875350.166192
2026-06-01,1765.75,1826.99,1750.0,1787.88,476669.861611
2026-06-02,1812.45,1895.13,1812.45,1883.26,479769.949564
2026-06-03,1884.5,1972.68,1850.0,1850.04,514209.240947
2026-06-04,1816.1,1932.6,1792.0,1914.65,477131.262796
2026-06-05,1868.01,1926.841,1825.23,1843.94,365943.235909
2026-06-08,1886.8,1889.5412,1796.1,1852.03,354298.966908
2026-06-09,1876.49,1907.41,1737.24,1831.56,554377.816072
2026-06-10,1819.5,1838.26,1705.0,1719.48,532653.498344
2026-06-11,1731.0,1850.9999,1720.5,1843.42,500973.240975
